osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,junction
"[43354873, 1102869358]",2,Chilkwell Street,tertiary,20 mph,False,True,263.30499999999995,"LINESTRING (-2.7104353 51.1445717, -2.7104339 51.14465, -2.7104704 51.1447409, -2.7105772 51.1448964, -2.7108156 51.1452147, -2.711134 51.1456446, -2.7112694 51.1458273, -2.7117086 51.1463714, -2.7118376 51.1467524)",,,
"[1102869360, 365712979]",2,Bere Lane,trunk,20 mph,False,True,288.774,"LINESTRING (-2.7104353 51.1445717, -2.7116717 51.1442414, -2.7122826 51.1440904, -2.7123178 51.1440809, -2.71344 51.1437742, -2.7142597 51.1435791)",A361,yes,
"[1004785731, 1096878615]",2,Street Road,trunk,20 mph,False,True,237.544,"LINESTRING (-2.7174022 51.1445106, -2.7181043 51.144417, -2.7187034 51.144332, -2.7189314 51.1442996, -2.7196733 51.1441829, -2.7206995 51.143983)",A361,,
"[1096878616, 4889106]",2,Magdalene Street,tertiary,20 mph,False,False,196.72299999999998,"LINESTRING (-2.7174022 51.1445106, -2.7173744 51.1446212, -2.7173978 51.1448084, -2.7174526 51.1450563, -2.7175737 51.1455584, -2.7175866 51.1456106, -2.7176761 51.1459737, -2.7177079 51.1461591, -2.717726 51.1462631)",,,
56223180,,St Benedict's Close,residential,20 mph,False,True,84.264,"LINESTRING (-2.7205742 51.1465994, -2.7203844 51.1465683, -2.7201153 51.1465243, -2.7199337 51.1465165, -2.7193833 51.1464927)",,,
113838383,,Benedict Street,residential,20 mph,False,False,83.00699999999999,"LINESTRING (-2.7205742 51.1465994, -2.7202993 51.1466271, -2.7200106 51.1466773, -2.7198264 51.1467142, -2.7196712 51.1467398, -2.7194341 51.1468038)",,,
113838383,,Benedict Street,residential,20 mph,False,True,87.73,"LINESTRING (-2.7205742 51.1465994, -2.7209318 51.146593, -2.7212184 51.1466007, -2.7216614 51.146634, -2.7218271 51.1466465)",,,
57744907,,St Benedict's Close,residential,20 mph,False,True,34.933,"LINESTRING (-2.7194341 51.1468038, -2.7193991 51.1467206, -2.7193833 51.1464927)",,,
113838383,,Benedict Street,residential,20 mph,False,False,119.168,"LINESTRING (-2.7194341 51.1468038, -2.719246 51.1468574, -2.7189616 51.14694, -2.718455 51.1470745, -2.7180264 51.1471835, -2.7179885 51.1471932, -2.7178655 51.1472279)",,,
113838383,,Benedict Street,residential,20 mph,False,True,83.00699999999999,"LINESTRING (-2.7194341 51.1468038, -2.7196712 51.1467398, -2.7198264 51.1467142, -2.7200106 51.1466773, -2.7202993 51.1466271, -2.7205742 51.1465994)",,,
