osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
17411367,Douglas Street,tertiary,False,False,230.39299999999997,"LINESTRING (-87.5220311 41.6148556, -87.5215041 41.6148569, -87.5213019 41.6148574, -87.520927 41.6148582, -87.5206168 41.614859, -87.5203192 41.6148597, -87.5197666 41.614861, -87.5194702 41.6148617, -87.5192597 41.6148622)",,,
"[435365098, 435365099, 435365102]",Hohman Avenue,secondary,False,False,112.836,"LINESTRING (-87.5220311 41.6148556, -87.5220261 41.6144925, -87.5220225 41.6142369, -87.5220169 41.6138409)",5,,
"[435365105, 435365103]",Hohman Avenue,secondary,False,True,116.851,"LINESTRING (-87.5220311 41.6148556, -87.5220353 41.6151408, -87.5220366 41.6152345, -87.5220391 41.6154155, -87.5220461 41.6159064)",5,,
17411367,Douglas Street,tertiary,False,False,143.038,"LINESTRING (-87.5192597 41.6148622, -87.5190163 41.6148628, -87.5187677 41.6148634, -87.5183456 41.6148644, -87.517726 41.6148659, -87.5175391 41.6148663)",,,
17411367,Douglas Street,tertiary,False,True,230.393,"LINESTRING (-87.5192597 41.6148622, -87.5194702 41.6148617, -87.5197666 41.614861, -87.5203192 41.6148597, -87.5206168 41.614859, -87.520927 41.6148582, -87.5213019 41.6148574, -87.5215041 41.6148569, -87.5220311 41.6148556)",,,
161493164,Lyman Avenue,residential,False,False,113.753,"LINESTRING (-87.5192597 41.6148622, -87.5192593 41.6147917, -87.5192568 41.614366, -87.5192538 41.6138392)",2,20 mph,
17411367,Douglas Street,tertiary,False,False,88.262,"LINESTRING (-87.5175391 41.6148663, -87.5168087 41.6148681, -87.5164774 41.6148689)",,,
17411367,Douglas Street,tertiary,False,True,143.038,"LINESTRING (-87.5175391 41.6148663, -87.517726 41.6148659, -87.5183456 41.6148644, -87.5187677 41.6148634, -87.5190163 41.6148628, -87.5192597 41.6148622)",,,
17413129,Oakley Avenue,residential,False,True,216.219,"LINESTRING (-87.5175391 41.6148663, -87.517539 41.6149233, -87.5175381 41.615744, -87.5175378 41.6159958, -87.5175368 41.6168108)",,,
"[17411681, 976554154, 976554153]","['Clinton Street', 'Lyman Avenue']",residential,False,"[False, True]",314.855,"LINESTRING (-87.5196369 41.6168325, -87.5195247 41.6163911, -87.5194468 41.6160869, -87.5194415 41.6160257, -87.5194602 41.6159776, -87.5194844 41.6159475, -87.5195179 41.6159264, -87.5195675 41.6159154, -87.5197097 41.6159084, -87.5197844 41.6159088, -87.5206169 41.6159133, -87.5206255 41.6159134, -87.5215641 41.6159184, -87.5217803 41.6159195, -87.5219426 41.6159204, -87.5220461 41.6159064)",,,
161493164,Lyman Avenue,residential,False,True,97.178,"LINESTRING (-87.5192427 41.6129653, -87.5192482 41.6134016, -87.5192538 41.6138392)",2,20 mph,
17423316,Ann Avenue,residential,False,False,84.01,"LINESTRING (-87.523732 41.6176007, -87.5237369 41.6171075, -87.5237395 41.6168452)",,,
604119694,Muenich Court,residential,True,False,12.392,"LINESTRING (-87.523732 41.6176007, -87.5238167 41.6176303, -87.5238662 41.6176492)",,,
435365105,Hohman Avenue,secondary,False,False,96.033,"LINESTRING (-87.5220714 41.6177012, -87.5220592 41.6168376)",,,
435365105,Hohman Avenue,secondary,False,True,63.951,"LINESTRING (-87.5220714 41.6177012, -87.5220683 41.6177901, -87.5220582 41.617899, -87.5220239 41.6180116, -87.5218867 41.6182522)",,,
604119676,Muenich Court,residential,False,False,69.08800000000001,"LINESTRING (-87.5220714 41.6177012, -87.5226444 41.6177016, -87.5227148 41.6177017, -87.5227852 41.6177017, -87.5229025 41.6177018)",,,
17424558,Willow Court,tertiary,False,False,66.526,"LINESTRING (-87.5225519 41.6216445, -87.521839 41.6213726)",,,
772958306,Morton Court,unclassified,False,True,89.33500000000001,"LINESTRING (-87.5225519 41.6216445, -87.5229716 41.6210364, -87.5230213 41.6209232)",,,
17426827,State Street,unclassified,False,True,200.62199999999999,"LINESTRING (-87.5230213 41.6209232, -87.5231323 41.6210156, -87.5235456 41.6211747, -87.5245407 41.6215577, -87.5248714 41.6216871, -87.5251283 41.6217877)",,,
360448904,Morton Court,unclassified,False,True,112.383,"LINESTRING (-87.5230213 41.6209232, -87.5230569 41.6208472, -87.5230687 41.6208219, -87.5232863 41.6204809, -87.5235361 41.6200786, -87.5235823 41.6200042)",,,
772958306,Morton Court,unclassified,False,False,89.33500000000001,"LINESTRING (-87.5230213 41.6209232, -87.5229716 41.6210364, -87.5225519 41.6216445)",,,
17412101,Morton Court,residential,False,True,113.881,"LINESTRING (-87.5241431 41.6190698, -87.5238816 41.619512, -87.5235823 41.6200042)",,,
161493167,Rimbach Street,residential,False,False,62.532,"LINESTRING (-87.5241431 41.6190698, -87.5241089 41.6190574, -87.5234658 41.6188251)",2,20 mph,
"[961208229, 161493167]",Rimbach Street,residential,False,True,83.76499999999999,"LINESTRING (-87.5241431 41.6190698, -87.5242276 41.6190868, -87.5245672 41.6190875, -87.5250292 41.6190885, -87.5251348 41.6191288)",2,20 mph,
17412445,Bulletin Avenue,residential,False,False,112.773,"LINESTRING (-87.5196677 41.6205405, -87.5197326 41.6204434, -87.5197477 41.6204092, -87.5197509 41.6203771, -87.5197455 41.620333, -87.5197272 41.6202677, -87.519652 41.6200823, -87.5195615 41.6198593, -87.5194344 41.6195751)",,,
161493171,Willow Court,tertiary,False,False,288.118,"LINESTRING (-87.5196677 41.6205405, -87.5179268 41.6198736, -87.5170258 41.6195284, -87.5165831 41.6193588)",,,
161493171,Willow Court,tertiary,False,True,46.002,"LINESTRING (-87.5196677 41.6205405, -87.5198635 41.6206167, -87.5199172 41.6206277, -87.5199655 41.6206327, -87.5200674 41.6206307, -87.5201921 41.6206157)",,,
17412445,Bulletin Avenue,residential,False,True,112.773,"LINESTRING (-87.5194344 41.6195751, -87.5195615 41.6198593, -87.519652 41.6200823, -87.5197272 41.6202677, -87.5197455 41.620333, -87.5197509 41.6203771, -87.5197477 41.6204092, -87.5197326 41.6204434, -87.5196677 41.6205405)",,,
17426818,State Street,tertiary,False,False,225.391,"LINESTRING (-87.5194344 41.6195751, -87.519033 41.61942, -87.518983 41.6194011, -87.5183341 41.6191555, -87.517017 41.6186571)",,,
17426818,State Street,tertiary,False,True,140.998,"LINESTRING (-87.5194344 41.6195751, -87.519568 41.619625, -87.5196255 41.6196482, -87.5197348 41.6196923, -87.5198675 41.6197725, -87.5199145 41.6198147, -87.5199668 41.6198858, -87.520003 41.619956, -87.5200285 41.6200412, -87.5200312 41.6200518, -87.5200861 41.6202708, -87.5201517 41.6205321, -87.5201684 41.6205744, -87.5201921 41.6206157)",,,
161493171,Willow Court,tertiary,False,True,288.118,"LINESTRING (-87.5165831 41.6193588, -87.5170258 41.6195284, -87.5179268 41.6198736, -87.5196677 41.6205405)",,,
919627770,Oakley Avenue,residential,False,False,85.959,"LINESTRING (-87.5165831 41.6193588, -87.5168048 41.6190003, -87.517017 41.6186571)",,,
17426818,State Street,tertiary,False,True,225.39100000000002,"LINESTRING (-87.517017 41.6186571, -87.5183341 41.6191555, -87.518983 41.6194011, -87.519033 41.61942, -87.5194344 41.6195751)",,,
919627770,Oakley Avenue,residential,False,False,94.101,"LINESTRING (-87.517017 41.6186571, -87.5172567 41.6182713, -87.5174939 41.6178896)",,,
919627770,Oakley Avenue,residential,False,True,85.959,"LINESTRING (-87.517017 41.6186571, -87.5168048 41.6190003, -87.5165831 41.6193588)",,,
17413129,Oakley Avenue,residential,False,False,17.691,"LINESTRING (-87.5175368 41.6169699, -87.5175368 41.6168108)",,,
17415746,Fayette Street,tertiary,False,False,39.256,"LINESTRING (-87.5175368 41.6169699, -87.517112 41.6168157)",,,
17413129,Oakley Avenue,residential,False,True,103.12499999999999,"LINESTRING (-87.5175368 41.6169699, -87.5175453 41.6173965, -87.5175464 41.6174527, -87.5175476 41.6175464, -87.5175502 41.6177573, -87.5175456 41.6177906, -87.5175337 41.6178219, -87.5174939 41.6178896)",,,
17415746,Fayette Street,tertiary,False,True,388.29200000000003,"LINESTRING (-87.5175368 41.6169699, -87.5193731 41.6176539, -87.5198404 41.6178311, -87.5202005 41.6179637, -87.5203043 41.6180029, -87.5206014 41.6181151, -87.520905 41.6182297, -87.5210667 41.6182908, -87.5217126 41.6185346)",,,
17413129,Oakley Avenue,residential,False,True,17.691,"LINESTRING (-87.5175368 41.6168108, -87.5175368 41.6169699)",,,
1153896213,Russell Street,residential,True,False,35.318,"LINESTRING (-87.5175368 41.6168108, -87.517112 41.6168157)",,,
17413129,Oakley Avenue,residential,False,False,216.21899999999997,"LINESTRING (-87.5175368 41.6168108, -87.5175378 41.6159958, -87.5175381 41.615744, -87.517539 41.6149233, -87.5175391 41.6148663)",,,
1153896214,Russell Street,residential,False,True,149.93,"LINESTRING (-87.5175368 41.6168108, -87.517672 41.6168317, -87.5191756 41.6168319, -87.5193375 41.6168322)",,,
17423316,Ann Avenue,residential,False,True,84.01,"LINESTRING (-87.5237395 41.6168452, -87.5237369 41.6171075, -87.523732 41.6176007)",,,
1153896212,Russell Street,residential,False,False,139.685,"LINESTRING (-87.5237395 41.6168452, -87.5232703 41.6168431, -87.5229844 41.6168418, -87.5226247 41.6168402, -87.5220592 41.6168376)",,,
1153896212,Russell Street,residential,False,True,116.261,"LINESTRING (-87.5237395 41.6168452, -87.5244245 41.6168502, -87.525138 41.6168472)",,,
435365105,Hohman Avenue,secondary,False,False,103.551,"LINESTRING (-87.5220592 41.6168376, -87.5220461 41.6159064)",,,
435365105,Hohman Avenue,secondary,False,True,96.033,"LINESTRING (-87.5220592 41.6168376, -87.5220714 41.6177012)",,,
17415401,Russell Street,residential,True,False,201.36599999999999,"LINESTRING (-87.5220592 41.6168376, -87.5212619 41.6168359, -87.5210957 41.6168356, -87.5210579 41.6168355, -87.5208107 41.616835, -87.5207943 41.616835, -87.5206495 41.6168346, -87.5201965 41.6168337, -87.5200786 41.6168334, -87.5198455 41.6168329, -87.5197781 41.6168328, -87.5196369 41.6168325)",,,
1153896212,Russell Street,residential,False,True,139.685,"LINESTRING (-87.5220592 41.6168376, -87.5226247 41.6168402, -87.5229844 41.6168418, -87.5232703 41.6168431, -87.5237395 41.6168452)",,,
