osmid,oneway,name,highway,reversed,length,maxspeed,geometry,bridge,lanes,ref
24099321,True,Prairie Avenue,residential,False,168.211,,"LINESTRING (-87.8674266 41.9545695, -87.8674097 41.9530568)",,,
"[24087369, 24066874]",False,Rose Street,residential,True,210.607,20 mph,"LINESTRING (-87.8674266 41.9545695, -87.8671221 41.954527, -87.8667815 41.9544795, -87.8667822 41.9543704, -87.8667847 41.953959, -87.8667898 41.9531352, -87.8667902 41.9530736)",,,
554918101,False,Prairie Avenue,residential,True,48.084,,"LINESTRING (-87.8674266 41.9545695, -87.8674209 41.954913, -87.8674194 41.9550019)",,,
951367164,False,Belle Plaine Avenue,residential,False,51.264,,"LINESTRING (-87.8667902 41.9530736, -87.8674097 41.9530568)",,,
"[24087369, 24066874]",False,Rose Street,residential,False,210.607,20 mph,"LINESTRING (-87.8667902 41.9530736, -87.8667898 41.9531352, -87.8667847 41.953959, -87.8667822 41.9543704, -87.8667815 41.9544795, -87.8671221 41.954527, -87.8674266 41.9545695)",,,
951367164,False,Belle Plaine Avenue,residential,True,51.264,,"LINESTRING (-87.8674097 41.9530568, -87.8667902 41.9530736)",,,
951367164,False,Belle Plaine Avenue,residential,False,100.417,,"LINESTRING (-87.8674097 41.9530568, -87.8680239 41.9530402, -87.8686232 41.9530239)",,,
24078253,False,Belle Plaine Avenue,residential,False,99.456,,"LINESTRING (-87.8686232 41.9530239, -87.8698257 41.9530394)",,,
24091489,False,Wagner Avenue,residential,False,237.97199999999998,20 mph,"LINESTRING (-87.8686232 41.9530239, -87.8686144 41.9539361, -87.8686109 41.9542087, -87.8686054 41.9546357, -87.8686044 41.9547106, -87.8685934 41.9551639)",,,
951367164,False,Belle Plaine Avenue,residential,True,100.417,,"LINESTRING (-87.8686232 41.9530239, -87.8680239 41.9530402, -87.8674097 41.9530568)",,,
24078253,False,Belle Plaine Avenue,residential,True,99.456,,"LINESTRING (-87.8698257 41.9530394, -87.8686232 41.9530239)",,,
24078253,False,Belle Plaine Avenue,residential,False,100.043,,"LINESTRING (-87.8698257 41.9530394, -87.8703793 41.9530465, -87.8710353 41.9530549)",,,
24105595,False,Atlantic Avenue,residential,True,254.623,,"LINESTRING (-87.8698257 41.9530394, -87.8698032 41.9548701, -87.8698021 41.9553292)",,,
24078253,False,Belle Plaine Avenue,residential,True,100.043,,"LINESTRING (-87.8710353 41.9530549, -87.8703793 41.9530465, -87.8698257 41.9530394)",,,
323938360,False,25th Avenue,residential,True,269.072,,"LINESTRING (-87.8710353 41.9530549, -87.8710301 41.9550257, -87.871031 41.9551374, -87.8710324 41.9553029, -87.8710329 41.9553664, -87.8710338 41.9554747)",,,
160139287,False,Scott Street,residential,False,101.666,,"LINESTRING (-87.8759232 41.9592172, -87.875919 41.9601315)",,,
160139287,False,Scott Street,residential,True,101.176,,"LINESTRING (-87.8759232 41.9592172, -87.8759223 41.9583073)",,,
24082449,False,Sunnyside Avenue,residential,False,90.088,,"LINESTRING (-87.8737066 41.9602495, -87.8739309 41.9601922, -87.8742957 41.9600605, -87.8744727 41.9599768, -87.8746604 41.9598691)",,,
