osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,maxspeed,access,width
202780349,Nesbit Street,residential,False,True,42.069,"LINESTRING (-82.0500356 26.9392142, -82.0499823 26.9391536, -82.0498138 26.9389799, -82.0497613 26.9389256)",,,,,,
84079603,Taylor Street,residential,False,True,107.569,"LINESTRING (-82.0528819 26.9369619, -82.0521664 26.9362346)",,,,,,
10819950,Harborside Avenue,residential,False,False,155.405,"LINESTRING (-82.0528819 26.9369619, -82.0528645 26.9369758, -82.0527465 26.9370701, -82.0524633 26.9372946, -82.0522447 26.937471, -82.052145 26.9375507, -82.051803 26.937824, -82.0517145 26.9378947)",,,,,,
523416461,Harborside Avenue,residential,False,False,123.257,"LINESTRING (-82.0528819 26.9369619, -82.0529149 26.9369353, -82.0531772 26.9367239, -82.0534351 26.936516, -82.0536544 26.9363393, -82.0536773 26.9363208, -82.0538042 26.9362185)",,,,,,
"[10815313, 158977916, 86103357, 48379142]","['Cross Street', 'Tamiami Trail']",primary,True,False,463.186,"LINESTRING (-82.0559814 26.9387045, -82.055838 26.9384197, -82.0556942 26.9381663, -82.0555816 26.9379738, -82.0554792 26.93781, -82.0553066 26.9375539, -82.0551382 26.9373335, -82.0549978 26.9371518, -82.0544372 26.936533, -82.0539262 26.9360164, -82.0535044 26.9355874, -82.0532661 26.9353428)",yes,"['3', '2']",US 41,"['35 mph', '45 mph']",,
770727018,West Retta Esplanade,residential,False,True,143.761,"LINESTRING (-82.0532661 26.9353428, -82.0533386 26.9352843, -82.0534518 26.9351919, -82.05364 26.935039, -82.0539289 26.9348044, -82.054338 26.934472)",,,,,yes,
"[128933092, 772644789]",Cross Street,primary,True,False,147.966,"LINESTRING (-82.0532661 26.9353428, -82.0529655 26.9350452, -82.0525483 26.9346205, -82.0522781 26.9343454)",,3,US 41,"['35 mph', '30 mph']",,
772644790,West Retta Esplanade,residential,False,False,73.614,"LINESTRING (-82.0532661 26.9353428, -82.0531969 26.9353996, -82.05272 26.9357914)",,,,,yes,
48379231,West Marion Avenue,tertiary,True,False,73.574,"LINESTRING (-82.0522781 26.9343454, -82.0524594 26.9342013, -82.0527909 26.9339377, -82.052832 26.933905)",,2,,,,
128933092,Cross Street,primary,True,False,148.642,"LINESTRING (-82.0522781 26.9343454, -82.0518719 26.9339319, -82.0516381 26.933694, -82.0515516 26.9336059, -82.0512902 26.9333398)",,3,US 41,30 mph,,
