osmid,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,ref
117351048,residential,False,False,54.489999999999995,"LINESTRING (19.701096 45.2386804, 19.7010977 45.2385945, 19.701104 45.2382669, 19.7011039 45.2381904)",,,,
1193021779,residential,False,True,57.204,"LINESTRING (19.701096 45.2386804, 19.7010932 45.2387914, 19.7010993 45.2391948)",2,Железничка,RS:urban,
"[366315091, 1228234395, 1193021780]",primary,False,True,159.729,"LINESTRING (19.701096 45.2386804, 19.7013602 45.2387786, 19.7013927 45.2387907, 19.7014228 45.2388019, 19.7016024 45.238879, 19.7017346 45.2389449, 19.7018921 45.2390385, 19.7020735 45.2391464, 19.702222 45.2392347, 19.7023597 45.2393165, 19.7026303 45.2394529, 19.7027517 45.2395116)","['2', '3']",Раде Кондића,RS:urban,12
190958706,residential,False,False,87.707,"LINESTRING (19.7010617 45.2399828, 19.7010912 45.2396877, 19.7010993 45.2391948)",2,Железничка,RS:urban,
190958706,residential,False,True,102.225,"LINESTRING (19.7010617 45.2399828, 19.701017 45.2403588, 19.7009524 45.2408989)",2,Железничка,RS:urban,
263192188,residential,False,True,680.21,"LINESTRING (19.7010617 45.2399828, 19.7020935 45.2401743, 19.7094445 45.2415891)",,Доктора Младена Стојановића,50,
190958706,residential,False,True,87.707,"LINESTRING (19.7010993 45.2391948, 19.7010912 45.2396877, 19.7010617 45.2399828)",2,Железничка,RS:urban,
646140472,residential,False,True,136.17,"LINESTRING (19.7010993 45.2391948, 19.7019324 45.2394026, 19.7024346 45.2395195, 19.7025098 45.2395362, 19.7025889 45.239539, 19.70266 45.2395334, 19.7027517 45.2395116)",,,40,
1193021779,residential,False,False,57.204,"LINESTRING (19.7010993 45.2391948, 19.7010932 45.2387914, 19.701096 45.2386804)",2,Железничка,RS:urban,
190958706,residential,False,False,102.225,"LINESTRING (19.7009524 45.2408989, 19.701017 45.2403588, 19.7010617 45.2399828)",2,Железничка,RS:urban,
190958706,residential,False,True,101.74000000000001,"LINESTRING (19.7009524 45.2408989, 19.7009394 45.2413749, 19.7009513 45.2418137)",2,Железничка,RS:urban,
115395618,tertiary,False,False,181.823,"LINESTRING (19.7011039 45.2381904, 19.7033919 45.237911)",,Цара Лазара,50,
115395618,tertiary,False,True,8.919,"LINESTRING (19.7011039 45.2381904, 19.7009907 45.2381993)",,Цара Лазара,50,
117351048,residential,False,True,54.489999999999995,"LINESTRING (19.7011039 45.2381904, 19.701104 45.2382669, 19.7010977 45.2385945, 19.701096 45.2386804)",,,,
115395970,residential,False,True,35.865,"LINESTRING (19.7114464 45.2383326, 19.711369 45.2380147)",,Грмечка,50,
115395298,residential,False,True,346.425,"LINESTRING (19.7114464 45.2383326, 19.7110362 45.2383692, 19.7102523 45.2384391, 19.7070571 45.2387242)",,Змај Јовина,50,
115395970,residential,False,False,136.16799999999998,"LINESTRING (19.7114464 45.2383326, 19.7118541 45.2393533, 19.7118574 45.2393853, 19.7118512 45.239419, 19.7118396 45.2394537, 19.7118 45.2395097)",,Грмечка,50,
115395304,residential,False,False,82.774,"LINESTRING (19.7035109 45.2397634, 19.7035113 45.2396758, 19.7035114 45.2396545, 19.7035143 45.239019)",,Његошева,40,
366315091,primary,False,False,65.891,"LINESTRING (19.7035109 45.2397634, 19.7032657 45.2397004, 19.7030894 45.239647, 19.7029233 45.2395805, 19.7027517 45.2395116)",2,Раде Кондића,RS:urban,12
366315091,primary,False,True,486.007,"LINESTRING (19.7035109 45.2397634, 19.703873 45.2398341, 19.7083398 45.2407058, 19.7092955 45.2408913, 19.7094931 45.2409297)",2,Раде Кондића,RS:urban,12
115395298,residential,False,False,279.325,"LINESTRING (19.7035143 45.239019, 19.7070571 45.2387242)",,Змај Јовина,50,
115395304,residential,False,False,123.576,"LINESTRING (19.7035143 45.239019, 19.7033919 45.237911)",,Његошева,40,
115395304,residential,False,True,82.774,"LINESTRING (19.7035143 45.239019, 19.7035114 45.2396545, 19.7035113 45.2396758, 19.7035109 45.2397634)",,Његошева,40,
115395300,residential,False,True,136.717,"LINESTRING (19.7067979 45.2375083, 19.7070571 45.2387242)",,Уроша Предића,40,
115395618,tertiary,False,False,6.241,"LINESTRING (19.7067979 45.2375083, 19.7068763 45.2374982)",,Цара Лазара,50,
115395618,tertiary,False,True,270.423,"LINESTRING (19.7067979 45.2375083, 19.7056138 45.2376461, 19.7049863 45.2377217, 19.7033919 45.237911)",,Цара Лазара,50,
115395304,residential,False,True,123.576,"LINESTRING (19.7033919 45.237911, 19.7035143 45.239019)",,Његошева,40,
115395618,tertiary,False,True,181.823,"LINESTRING (19.7033919 45.237911, 19.7011039 45.2381904)",,Цара Лазара,50,
115395618,tertiary,False,False,270.423,"LINESTRING (19.7033919 45.237911, 19.7049863 45.2377217, 19.7056138 45.2376461, 19.7067979 45.2375083)",,Цара Лазара,50,
115395298,residential,False,True,279.325,"LINESTRING (19.7070571 45.2387242, 19.7035143 45.239019)",,Змај Јовина,50,
115395300,residential,False,False,136.717,"LINESTRING (19.7070571 45.2387242, 19.7067979 45.2375083)",,Уроша Предића,40,
115395298,residential,False,False,346.425,"LINESTRING (19.7070571 45.2387242, 19.7102523 45.2384391, 19.7110362 45.2383692, 19.7114464 45.2383326)",,Змај Јовина,50,
115395970,residential,False,True,156.611,"LINESTRING (19.7101498 45.2410248, 19.7102666 45.2409238, 19.7107457 45.2405091, 19.7113605 45.2399045)",,Грмечка,50,
1193021783,primary,False,False,52.493,"LINESTRING (19.7101498 45.2410248, 19.7100441 45.2410095, 19.7099417 45.2409947, 19.7094931 45.2409297)",3,Раде Кондића,RS:urban,12
1224991583,tertiary,False,False,83.586,"LINESTRING (19.7101498 45.2410248, 19.7099975 45.2411467, 19.7094445 45.2415891)",,Грмечка,RS:urban,
115395618,tertiary,False,False,145.264,"LINESTRING (19.7081498 45.2373134, 19.7099812 45.2371048)",,Цара Лазара,50,
115395618,tertiary,False,True,101.811,"LINESTRING (19.7081498 45.2373134, 19.7068763 45.2374982)",,Цара Лазара,50,
115395971,residential,False,True,200.12099999999998,"LINESTRING (19.7081498 45.2373134, 19.7082564 45.2377617, 19.7082846 45.237795, 19.7083349 45.2378236, 19.7084182 45.237841, 19.7101169 45.2379332)",,Пионирска,50,
115395970,residential,False,False,35.865,"LINESTRING (19.711369 45.2380147, 19.7114464 45.2383326)",,Грмечка,50,
115395971,residential,False,False,13.657,"LINESTRING (19.711369 45.2380147, 19.7111959 45.2379996)",,Пионирска,50,
115395971,residential,False,True,46.559,"LINESTRING (19.711369 45.2380147, 19.7119627 45.238038)",,Пионирска,50,
115395970,residential,False,False,55.779,"LINESTRING (19.7118 45.2395097, 19.7113605 45.2399045)",,Грмечка,50,
115395970,residential,False,True,136.168,"LINESTRING (19.7118 45.2395097, 19.7118396 45.2394537, 19.7118512 45.239419, 19.7118574 45.2393853, 19.7118541 45.2393533, 19.7114464 45.2383326)",,Грмечка,50,
115395969,residential,False,False,124.686,"LINESTRING (19.7119833 45.2357458, 19.7119951 45.2368671)",,Сремска,50,
646121883,residential,False,True,83.54100000000001,"LINESTRING (19.7119833 45.2357458, 19.711274 45.2358375, 19.7111467 45.2358588, 19.7110798 45.2358776, 19.7110262 45.2359106, 19.7109823 45.2359505)",,Рибарска,50,
115395618,tertiary,False,False,8.919,"LINESTRING (19.7009907 45.2381993, 19.7011039 45.2381904)",,Цара Лазара,50,
190958697,residential,False,False,216.33200000000005,"LINESTRING (19.7009907 45.2381993, 19.7009703 45.2380904, 19.7009656 45.2380499, 19.7009675 45.2376895, 19.7010466 45.2369788, 19.7010581 45.2369096, 19.7011654 45.2362619)",,Фрушкогорска,50,
190958697,residential,False,True,20.332,"LINESTRING (19.7014887 45.2343076, 19.7013777 45.2344729)",,Фрушкогорска,50,
190958676,residential,False,True,114.305,"LINESTRING (19.7109823 45.2359505, 19.7110604 45.236977)",,Ратарска,50,
190958671,residential,False,True,89.698,"LINESTRING (19.7109823 45.2359505, 19.7102486 45.236005, 19.7098409 45.23601)",,Фрушкогорска,50,
646121883,residential,False,False,83.541,"LINESTRING (19.7109823 45.2359505, 19.7110262 45.2359106, 19.7110798 45.2358776, 19.7111467 45.2358588, 19.711274 45.2358375, 19.7119833 45.2357458)",,Рибарска,50,
