osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry
76910252,132,Трг слободе,secondary,False,False,157.352,,"LINESTRING (20.9651129 45.0801293, 20.9667453 45.0809502)"
110373737,310,Трг слободе,tertiary,False,False,148.719,80,"LINESTRING (20.9651129 45.0801293, 20.9662129 45.0790405)"
1065029876,310,Братства и јединства,tertiary,False,True,251.715,80,"LINESTRING (20.9651129 45.0801293, 20.9646498 45.0805, 20.964196 45.0809104, 20.9641589 45.080943, 20.9630886 45.081884)"
"[110373708, 1065029877]",132,Железничка,secondary,False,True,157.57999999999996,,"LINESTRING (20.9651129 45.0801293, 20.9650042 45.0800807, 20.9644461 45.0797805, 20.9643565 45.0796554, 20.9643643 45.0795457, 20.9643817 45.0793591, 20.9644179 45.0791915, 20.9644273 45.0790807, 20.9644152 45.0790163, 20.9644072 45.0789907, 20.9643964 45.0789699)"
110373708,132,Железничка,secondary,False,True,80.674,,"LINESTRING (20.9611443 45.0767255, 20.9602913 45.0763211)"
93037916,,Виноградска,residential,False,True,323.505,,"LINESTRING (20.9611443 45.0767255, 20.9612147 45.0766573, 20.9612388 45.0766473, 20.961275 45.0766445, 20.9613126 45.076645, 20.9613535 45.0766511, 20.9618269 45.0768869, 20.9624921 45.0772047, 20.9631586 45.0775825, 20.9632029 45.0775967, 20.9632391 45.0776024, 20.9632766 45.0775977, 20.9633209 45.0775778, 20.9636977 45.077145, 20.9640719 45.0767075)"
110373708,132,Железничка,secondary,False,False,359.68799999999993,,"LINESTRING (20.9611443 45.0767255, 20.9621461 45.0772245, 20.9621794 45.0772386, 20.9622601 45.0772728, 20.9623995 45.0773723, 20.9634778 45.0781772, 20.9641349 45.0787123, 20.9642918 45.0788373, 20.9643415 45.0788941, 20.9643964 45.0789699)"
110373697,,Бригадирска,residential,False,True,95.456,,"LINESTRING (20.9612381 45.0835975, 20.9602674 45.0830806)"
110373751,310,Братства и јединства,tertiary,False,False,239.607,80,"LINESTRING (20.9612381 45.0835975, 20.9630886 45.081884)"
1065029880,310,Жарка Зрењанина,tertiary,False,False,8.944,80,"LINESTRING (20.9677224 45.0770427, 20.967778 45.0769725)"
