osmid,highway,oneway,reversed,length,geometry,lanes,name,ref,bridge
465551372,residential,False,True,26.514,"LINESTRING (20.22568 43.7778962, 20.225754 43.7779116, 20.225817 43.7779407, 20.225861 43.7779697, 20.2259399 43.7780339)",,,,
881050971,residential,True,False,152.669,"LINESTRING (20.22568 43.7778962, 20.2260624 43.7766397, 20.2261186 43.7765633)",1,Републике,,
73988104,tertiary,False,False,7.334,"LINESTRING (20.2259399 43.7780339, 20.2258743 43.7780798)",2,Браће Јечменића,,
73988104,tertiary,False,True,63.354,"LINESTRING (20.2259399 43.7780339, 20.2264945 43.7776286)",2,Браће Јечменића,,
465551372,residential,False,False,26.514000000000003,"LINESTRING (20.2259399 43.7780339, 20.225861 43.7779697, 20.225817 43.7779407, 20.225754 43.7779116, 20.22568 43.7778962)",,,,
73988106,tertiary,False,False,24.619,"LINESTRING (20.2254492 43.7805972, 20.2254307 43.7803762)",2,Републике,,
73988106,tertiary,False,True,113.97999999999999,"LINESTRING (20.2254492 43.7805972, 20.225474 43.7809026, 20.225499 43.781412, 20.22551 43.7815117, 20.2255211 43.7816208)",2,Републике,,
1223829446,residential,False,True,63.969,"LINESTRING (20.2254492 43.7805972, 20.2253419 43.7806011, 20.2246553 43.7805565)",,Седмог јула,,
465551379,residential,True,False,107.572,"LINESTRING (20.2263654 43.7761792, 20.2266493 43.7759826, 20.2269203 43.7757732, 20.2270886 43.7756006, 20.2271721 43.7755116, 20.2272125 43.7754769, 20.227253 43.7754619)",1,Републике,,
1223829445,residential,False,True,19.496,"LINESTRING (20.2261186 43.7765633, 20.2259525 43.7764354)",,Богдана Капелана,,
881050972,residential,True,False,47.175,"LINESTRING (20.2261186 43.7765633, 20.2261774 43.7764587, 20.2262439 43.7763458, 20.2262934 43.7762649, 20.2263654 43.7761792)",1,Републике,,
"[1223829445, 881050975]",residential,False,False,105.346,"LINESTRING (20.2261186 43.7765633, 20.2261904 43.7766182, 20.2265294 43.7768801, 20.2268974 43.7771631, 20.2270161 43.7772544)",2,"['Трг слободе', 'Богдана Капелана']",,
881050974,tertiary,False,False,32.15,"LINESTRING (20.2270161 43.7772544, 20.2272643 43.7770794, 20.2273026 43.7770524)",2,Трг слободе,,
"[73988104, 881050974]",tertiary,False,"[False, True]",59.037,"LINESTRING (20.2270161 43.7772544, 20.2267425 43.7774473, 20.2266001 43.7775514, 20.2264945 43.7776286)",2,"['Трг слободе', 'Браће Јечменића']",,
"[1223829445, 881050975]",residential,False,True,105.34599999999999,"LINESTRING (20.2270161 43.7772544, 20.2268974 43.7771631, 20.2265294 43.7768801, 20.2261904 43.7766182, 20.2261186 43.7765633)",2,"['Трг слободе', 'Богдана Капелана']",,
