osmid,oneway,name,highway,maxspeed,reversed,length,ref,geometry,bridge
114253055,False,Његошева,residential,50,False,228.345,,"LINESTRING (19.4513149 45.6582499, 19.4529663 45.6599484)",
114253061,False,Ивана Милутиновића,residential,50,False,216.504,,"LINESTRING (19.4513149 45.6582499, 19.4536163 45.6571528)",
494959406,False,Маршала Тита,primary,50,False,287.302,15,"LINESTRING (19.4498995 45.6613912, 19.4529663 45.6599484)",
114253042,False,Лоле Рибара,residential,50,False,294.77,,"LINESTRING (19.4608779 45.6587028, 19.4577235 45.6601748)",
494495167,False,Петра Драпшина,residential,50,False,219.005,,"LINESTRING (19.4608779 45.6587028, 19.4624427 45.6603408)",
494495167,False,Петра Драпшина,residential,50,True,229.803,,"LINESTRING (19.4608779 45.6587028, 19.460652 45.6584679, 19.4592284 45.6569876)",
494959406,False,Маршала Тита,primary,50,True,285.594,15,"LINESTRING (19.4622655 45.6555418, 19.4621328 45.6556058, 19.4592284 45.6569876)",
"[219506656, 494959418]",False,Моше Пијаде,residential,50,False,221.666,,"LINESTRING (19.4528233 45.6551177, 19.4532696 45.6555589, 19.4544525 45.6567539)",yes
494495167,False,Петра Драпшина,residential,50,True,219.005,,"LINESTRING (19.4624427 45.6603408, 19.4608779 45.6587028)",
114253030,False,Саве Ковачевића,residential,50,False,293.96299999999997,,"LINESTRING (19.4624427 45.6603408, 19.4607084 45.6611682, 19.4593186 45.6618313)",
114253061,False,Ивана Милутиновића,residential,50,False,293.23199999999997,,"LINESTRING (19.4544525 45.6567539, 19.4546342 45.6566664, 19.4548089 45.6565837, 19.4557793 45.656116, 19.4575718 45.6552705)",
114253061,False,Ивана Милутиновића,residential,50,True,78.68299999999999,,"LINESTRING (19.4544525 45.6567539, 19.4542509 45.6568503, 19.4536163 45.6571528)",
219506654,False,Моше Пијаде,residential,40,False,229.627,,"LINESTRING (19.4544525 45.6567539, 19.4551074 45.6574456, 19.4559438 45.658344, 19.456064 45.6584846)",
"[219506656, 494959418]",False,Моше Пијаде,residential,50,True,221.666,,"LINESTRING (19.4544525 45.6567539, 19.4532696 45.6555589, 19.4528233 45.6551177)",yes
114253063,False,Петра Драпшина,residential,40,False,82.734,,"LINESTRING (19.4570089 45.654639, 19.4575718 45.6552705)",
114253042,False,Лоле Рибара,residential,50,True,293.953,,"LINESTRING (19.4545943 45.6616599, 19.4577235 45.6601748)",
114253055,False,Његошева,residential,50,True,228.572,,"LINESTRING (19.4545943 45.6616599, 19.4538053 45.6607941, 19.4529663 45.6599484)",
114253063,False,Петра Драпшина,residential,40,False,230.288,,"LINESTRING (19.4575718 45.6552705, 19.4592284 45.6569876)",
114253063,False,Петра Драпшина,residential,40,True,82.734,,"LINESTRING (19.4575718 45.6552705, 19.4570089 45.654639)",
114253061,False,Ивана Милутиновића,residential,50,True,293.23199999999997,,"LINESTRING (19.4575718 45.6552705, 19.4557793 45.656116, 19.4548089 45.6565837, 19.4546342 45.6566664, 19.4544525 45.6567539)",
114253042,False,Лоле Рибара,residential,50,False,293.953,,"LINESTRING (19.4577235 45.6601748, 19.4545943 45.6616599)",
114253042,False,Лоле Рибара,residential,50,True,294.77,,"LINESTRING (19.4577235 45.6601748, 19.4608779 45.6587028)",
828129939,False,Моше Пијаде,tertiary,50,False,222.023,,"LINESTRING (19.4577235 45.6601748, 19.4593186 45.6618313)",
828129939,False,Моше Пијаде,tertiary,50,True,227.94400000000002,,"LINESTRING (19.4577235 45.6601748, 19.4562535 45.6586862, 19.456064 45.6584846)",
828129939,False,Моше Пијаде,tertiary,50,True,222.023,,"LINESTRING (19.4593186 45.6618313, 19.4577235 45.6601748)",
114253030,False,Саве Ковачевића,residential,50,True,293.96299999999997,,"LINESTRING (19.4593186 45.6618313, 19.4607084 45.6611682, 19.4624427 45.6603408)",
114253063,False,Петра Драпшина,residential,40,True,230.288,,"LINESTRING (19.4592284 45.6569876, 19.4575718 45.6552705)",
494495167,False,Петра Драпшина,residential,50,False,229.803,,"LINESTRING (19.4592284 45.6569876, 19.460652 45.6584679, 19.4608779 45.6587028)",
494959406,False,Маршала Тита,primary,50,False,285.594,15,"LINESTRING (19.4592284 45.6569876, 19.4621328 45.6556058, 19.4622655 45.6555418)",
494959406,False,Маршала Тита,primary,50,True,296.987,15,"LINESTRING (19.4592284 45.6569876, 19.4591018 45.6570451, 19.4575476 45.6577737, 19.4563347 45.6583619, 19.456064 45.6584846)",
114253055,False,Његошева,residential,50,True,228.345,,"LINESTRING (19.4529663 45.6599484, 19.4513149 45.6582499)",
494959406,False,Маршала Тита,primary,50,True,287.302,15,"LINESTRING (19.4529663 45.6599484, 19.4498995 45.6613912)",
114253055,False,Његошева,residential,50,False,228.572,,"LINESTRING (19.4529663 45.6599484, 19.4538053 45.6607941, 19.4545943 45.6616599)",
494959406,False,Маршала Тита,primary,50,False,290.635,15,"LINESTRING (19.4529663 45.6599484, 19.4531067 45.6598892, 19.4559064 45.6585531, 19.456064 45.6584846)",
219506654,False,Моше Пијаде,residential,40,True,229.627,,"LINESTRING (19.456064 45.6584846, 19.4559438 45.658344, 19.4551074 45.6574456, 19.4544525 45.6567539)",
494959406,False,Маршала Тита,primary,50,False,296.98699999999997,15,"LINESTRING (19.456064 45.6584846, 19.4563347 45.6583619, 19.4575476 45.6577737, 19.4591018 45.6570451, 19.4592284 45.6569876)",
494959406,False,Маршала Тита,primary,50,True,290.635,15,"LINESTRING (19.456064 45.6584846, 19.4559064 45.6585531, 19.4531067 45.6598892, 19.4529663 45.6599484)",
