osmid,lanes,ref,highway,oneway,reversed,length,name,geometry,maxspeed,bridge,junction
1051259852,2,259,secondary,False,False,13.801,,"LINESTRING (22.7787112 43.0131508, 22.7785612 43.0130927)",,,
91618931,,,residential,False,False,144.912,Зеленгорска,"LINESTRING (22.7787112 43.0131508, 22.7796957 43.0130229, 22.7804743 43.0130792)",,,
"[1088735443, 1051259855]",2,259,secondary,False,True,97.231,,"LINESTRING (22.7787112 43.0131508, 22.7789691 43.0132935, 22.7793632 43.0135116, 22.7796212 43.0137138)",40,,
91618932,,,tertiary,False,True,201.747,Најдена Кирова,"LINESTRING (22.7843211 43.0157904, 22.7842465 43.0158218, 22.7841043 43.0158532, 22.783676 43.0159423, 22.7832293 43.0159974, 22.7818808 43.016003)",,,
665183140,2,259,secondary,False,False,202.559,,"LINESTRING (22.7843211 43.0157904, 22.7836588 43.0157102, 22.783172 43.0155898, 22.7828713 43.0154013, 22.7824918 43.0151187, 22.7822168 43.0149394)",40,,
220870027,,,residential,False,True,85.137,Бошко Буха,"LINESTRING (22.7733686 43.0141178, 22.7732975 43.0140241, 22.7726386 43.0135752)",,,
383809719,,,residential,False,False,71.668,Христе Снирненског,"LINESTRING (22.7733686 43.0141178, 22.7733941 43.0140336, 22.7734221 43.0139579, 22.7735096 43.0137812, 22.7736608 43.013511)",,,
392959158,,429,tertiary,False,False,22.594,Балканска,"LINESTRING (22.7733686 43.0141178, 22.7734187 43.0141246, 22.7735179 43.0141565, 22.7736272 43.0141901)",,,
392959158,,429,tertiary,False,True,13.010000000000002,Балканска,"LINESTRING (22.7733686 43.0141178, 22.7733035 43.0141251, 22.7732141 43.0141467)",,,
392959158,,429,tertiary,False,True,23.243,Балканска,"LINESTRING (22.7732141 43.0141467, 22.7729492 43.0140681)",,,
91615556,,,residential,True,False,41.491,Железничка,"LINESTRING (22.7732141 43.0141467, 22.7732381 43.0141894, 22.7732385 43.0142311, 22.7732249 43.0142707, 22.7732052 43.0143088, 22.7730966 43.0144964)",,,
