osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,width
871958654,False,Панчевачки пут,tertiary,50,False,28.443,"LINESTRING (20.702587 44.8105529, 20.7028185 44.8103568)",,
722327052,False,Жарка Зрењанина,residential,,False,223.353,"LINESTRING (20.702587 44.8105529, 20.7024551 44.8104919, 20.702335 44.8104656, 20.6998167 44.8101896)",,
"[895065770, 895065771]",False,Панчевачки пут,tertiary,"['40', '50']",True,176.75300000000001,"LINESTRING (20.702587 44.8105529, 20.7023835 44.8107277, 20.7011634 44.8117804)",OP1,
871958654,False,Панчевачки пут,tertiary,50,True,74.132,"LINESTRING (20.7053977 44.8082122, 20.7047441 44.8086912)",,
871958654,False,Панчевачки пут,tertiary,50,False,58.721000000000004,"LINESTRING (20.7053977 44.8082122, 20.7055543 44.8081298, 20.7057595 44.8079995, 20.7058676 44.8079056, 20.705903 44.8078369)",,
74217856,False,Бориса Кидрича,residential,,True,12.668,"LINESTRING (20.7053755 44.8057568, 20.7052348 44.8057019)",,
848539162,False,Панчевачки пут,tertiary,50,True,112.202,"LINESTRING (20.7053755 44.8057568, 20.7053534 44.8058019, 20.7053456 44.8058469, 20.7053677 44.8059561, 20.7056351 44.8067391)",,
323870636,False,Маршала Тита,residential,50,False,243.49900000000002,"LINESTRING (20.7056351 44.8067391, 20.7055343 44.8067559, 20.7026196 44.8072061)",,
848539162,False,Панчевачки пут,tertiary,50,False,112.20199999999998,"LINESTRING (20.7056351 44.8067391, 20.7053677 44.8059561, 20.7053456 44.8058469, 20.7053534 44.8058019, 20.7053755 44.8057568)",,
"[895065769, 871958654]",False,Панчевачки пут,tertiary,50,True,124.70899999999999,"LINESTRING (20.7056351 44.8067391, 20.7056487 44.8067826, 20.705666 44.8068378, 20.7056992 44.8069453, 20.7058747 44.8074803, 20.7058961 44.807547, 20.7059169 44.8076143, 20.705925 44.8077054, 20.705918 44.8077654, 20.705903 44.8078369)",,
871958654,False,Панчевачки пут,tertiary,50,False,74.132,"LINESTRING (20.7047441 44.8086912, 20.7053977 44.8082122)",,
871958654,False,Панчевачки пут,tertiary,50,True,239.535,"LINESTRING (20.7047441 44.8086912, 20.7028185 44.8103568)",,
74217672,False,Лењинова,residential,,True,178.561,"LINESTRING (20.7047441 44.8086912, 20.7045133 44.8086835, 20.7024811 44.808703)",,
895065771,False,Панчевачки пут,tertiary,50,False,139.475,"LINESTRING (20.70004 44.812749, 20.7011634 44.8117804)",,
895065771,False,Панчевачки пут,tertiary,50,True,76.525,"LINESTRING (20.70004 44.812749, 20.6994198 44.8132782)",,
74217750,False,Иваначки пут,residential,,False,110.418,"LINESTRING (20.70004 44.812749, 20.6999659 44.8126522, 20.6998918 44.8117709)",,4
74217672,False,Лењинова,residential,,True,224.341,"LINESTRING (20.6997657 44.8087803, 20.6969225 44.8088204)",,
74217750,False,Иваначки пут,residential,,False,159.947,"LINESTRING (20.6997657 44.8087803, 20.6996478 44.8073443)",,4
74217750,False,Иваначки пут,residential,,True,134.598,"LINESTRING (20.6997657 44.8087803, 20.6997841 44.8099907)",,4
74217672,False,Лењинова,residential,,False,214.417,"LINESTRING (20.6997657 44.8087803, 20.7017302 44.8087101, 20.7024811 44.808703)",,
74217856,False,Бориса Кидрича,residential,,False,260.058,"LINESTRING (20.6934771 44.8064207, 20.6938373 44.8064627, 20.6941409 44.8064727, 20.6967649 44.8063775)",,
74219862,False,Вука Караџића,residential,,False,85.42500000000001,"LINESTRING (20.6934771 44.8064207, 20.6935808 44.8063124, 20.6938679 44.8058499, 20.6939217 44.8057236)",,
74217856,False,Бориса Кидрича,residential,,False,220.126,"LINESTRING (20.6967649 44.8063775, 20.6995513 44.806274)",,
74219510,False,Војвођанска,residential,,False,85.844,"LINESTRING (20.6967649 44.8063775, 20.6966844 44.8056076)",,
