osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,ref
278577540,2,Дунавска,residential,False,False,317.625,"LINESTRING (22.6096061 44.6115831, 22.6096315 44.6116502, 22.6097068 44.6118543, 22.6097554 44.6119783, 22.6099103 44.6123884, 22.6099434 44.6124759, 22.6099581 44.6125082, 22.6099775 44.6125401, 22.6100004 44.6125569, 22.6100494 44.6125666, 22.6101151 44.6125636, 22.6108154 44.6125092, 22.6125699 44.6123839)",,
729110233,,,secondary,True,False,8.248999999999999,"LINESTRING (22.6096061 44.6115831, 22.6095542 44.6115861, 22.6095038 44.6115766)",roundabout,
121602145,,Лоле Рибара,residential,False,False,213.636,"LINESTRING (22.6150974 44.6085985, 22.6125577 44.6092483)",,
1233935448,,Стефаније Михајловић,secondary,False,True,22.067,"LINESTRING (22.6150974 44.6085985, 22.6152082 44.6087806)",,167
1233935448,,Стефаније Михајловић,secondary,False,False,45.28,"LINESTRING (22.6150974 44.6085985, 22.6149896 44.6084097, 22.6148526 44.6082312)",,167
1233957536,,Николе Јанковића,residential,False,True,30.756,"LINESTRING (22.610063 44.6110832, 22.6099471 44.6108192)",,
122094361,,Ивана Косанчића,residential,False,True,91.332,"LINESTRING (22.6129384 44.6099946, 22.6118678 44.6103008)",,
174662569,,Ивана Косанчића,residential,False,False,216.283,"LINESTRING (22.6129384 44.6099946, 22.6154936 44.6093059)",,
292930524,,Обилићева,residential,False,True,88.288,"LINESTRING (22.6129384 44.6099946, 22.6125577 44.6092483)",,
122094362,2,Обилићева,residential,False,False,63.93600000000001,"LINESTRING (22.6129384 44.6099946, 22.6131517 44.6104378, 22.6131932 44.6104779, 22.613247 44.6105197)",,
709025099,,22. септембар,secondary,False,True,102.444,"LINESTRING (22.613247 44.6105197, 22.6120385 44.6108493)",,
122094362,2,Обилићева,residential,False,False,95.63600000000001,"LINESTRING (22.613247 44.6105197, 22.6132791 44.6105419, 22.6133408 44.6106092, 22.6134082 44.6107145, 22.6136898 44.611314)",,
122094362,2,Обилићева,residential,False,True,63.936,"LINESTRING (22.613247 44.6105197, 22.6131932 44.6104779, 22.6131517 44.6104378, 22.6129384 44.6099946)",,
709025099,,22. септембар,secondary,False,False,213.93,"LINESTRING (22.613247 44.6105197, 22.6138764 44.6103523, 22.6157786 44.6098464)",,
122094361,,Ивана Косанчића,residential,False,False,162.602,"LINESTRING (22.6099471 44.6108192, 22.6118678 44.6103008)",,
1233957536,,Николе Јанковића,residential,False,False,30.756,"LINESTRING (22.6099471 44.6108192, 22.610063 44.6110832)",,
"[1233957536, 709044774]",,"['Лоле Рибара', 'Николе Јанковића']",residential,False,True,263.64,"LINESTRING (22.6099471 44.6108192, 22.6096402 44.6099581, 22.6098417 44.6099116, 22.6116056 44.609468)",,
