osmid,highway,oneway,reversed,length,ref,name,geometry,maxspeed,lanes
26496104,residential,False,False,93.485,,,"LINESTRING (19.1062864 44.3757178, 19.1051133 44.3757791)",,
26496099,primary,False,False,126.998,28,Краља Петра Првог,"LINESTRING (19.1062864 44.3757178, 19.1063381 44.3759367, 19.1063845 44.3761211, 19.1064131 44.376221, 19.1064417 44.376317, 19.1064702 44.3763919, 19.1064817 44.376419, 19.1064988 44.3764592, 19.1065956 44.3766458, 19.1066816 44.376821)",,
26496099,primary,False,True,173.253,28,Краља Петра Првог,"LINESTRING (19.1062864 44.3757178, 19.1062306 44.3754392, 19.1061958 44.3752653, 19.1061573 44.3750621, 19.1061327 44.374947, 19.1061081 44.3748358, 19.1060874 44.3747265, 19.1060617 44.3745885, 19.1060359 44.3744006, 19.1060156 44.3742166, 19.1060109 44.3741727)",,
26496104,residential,False,True,93.485,,,"LINESTRING (19.1051133 44.3757791, 19.1062864 44.3757178)",,
397411871,residential,False,False,75.866,,Рибарска,"LINESTRING (19.1051133 44.3757791, 19.1050288 44.3750995)",,
26496104,residential,False,False,118.972,,,"LINESTRING (19.1051133 44.3757791, 19.1044929 44.3758133, 19.1042858 44.3752059)",,
159664264,residential,False,True,144.341,,Рибарска,"LINESTRING (19.1051133 44.3757791, 19.1051733 44.3762764, 19.1051766 44.3763034, 19.1052061 44.3765246, 19.1052295 44.3767003, 19.105229 44.3767221, 19.1052216 44.3770734)",,
26496099,primary,False,False,48.473,28,Краља Петра Првог,"LINESTRING (19.1066816 44.376821, 19.1068825 44.3772326)",,
159664263,residential,False,False,119.382,,Рибарска,"LINESTRING (19.1066816 44.376821, 19.1052216 44.3770734)",,
26496099,primary,False,True,126.998,28,Краља Петра Првог,"LINESTRING (19.1066816 44.376821, 19.1065956 44.3766458, 19.1064988 44.3764592, 19.1064817 44.376419, 19.1064702 44.3763919, 19.1064417 44.376317, 19.1064131 44.376221, 19.1063845 44.3761211, 19.1063381 44.3759367, 19.1062864 44.3757178)",,
26496104,residential,False,True,156.4,,,"LINESTRING (19.1038215 44.3714395, 19.1037789 44.3717079, 19.1037701 44.3720017, 19.103778 44.3723802, 19.1037971 44.372844)",,
26496104,residential,False,False,176.633,,,"LINESTRING (19.1040715 44.374419, 19.1039559 44.3737954, 19.1038949 44.373571, 19.1038443 44.3733282, 19.1037971 44.372844)",,
26496104,residential,False,True,89.16,,,"LINESTRING (19.1040715 44.374419, 19.1041371 44.3747004, 19.1042858 44.3752059)",,
1046745803,residential,False,False,47.008,,,"LINESTRING (19.1040715 44.374419, 19.1043434 44.3743915, 19.1043832 44.3743776, 19.1044067 44.3743484, 19.1044138 44.3742995, 19.10441 44.3742324, 19.104412 44.3742186, 19.1044225 44.3742113, 19.1044499 44.3742054)",,
26496104,residential,False,False,89.16,,,"LINESTRING (19.1042858 44.3752059, 19.1041371 44.3747004, 19.1040715 44.374419)",,
26496104,residential,False,True,118.972,,,"LINESTRING (19.1042858 44.3752059, 19.1044929 44.3758133, 19.1051133 44.3757791)",,
1047012621,residential,False,False,60.355000000000004,,,"LINESTRING (19.1042858 44.3752059, 19.1043489 44.3751877, 19.1044414 44.3751704, 19.1046493 44.3751445, 19.1050288 44.3750995)",,
159664263,residential,False,False,40.374,,Рибарска,"LINESTRING (19.1052216 44.3770734, 19.1053627 44.3774222)",,
