osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,access
325086695,True,Владимира Перића Валтера,residential,False,110.351,"LINESTRING (19.6457225 43.3881936, 19.6455451 43.3880752, 19.6454435 43.3880009, 19.6453129 43.3878967, 19.6450424 43.387691, 19.6449023 43.3875837, 19.6447768 43.3874785)",,,,
332210131,False,Зоре Томашевић,residential,False,45.515,"LINESTRING (19.6457225 43.3881936, 19.6453983 43.3884965, 19.6453767 43.3885167)",,,,
430419358,False,,residential,False,42.558,"LINESTRING (19.6447768 43.3874785, 19.6444109 43.3877178, 19.6443853 43.3877345)",,,,
325086695,True,Владимира Перића Валтера,residential,False,106.637,"LINESTRING (19.6468985 43.3886077, 19.6467963 43.3885994, 19.6466907 43.3885829, 19.6465941 43.3885598, 19.6463771 43.3884754, 19.6462005 43.3883951, 19.6460613 43.3883342, 19.645903 43.3882664, 19.6457225 43.3881936)",,,,
325089543,False,Бранка Радичевића,residential,True,219.844,"LINESTRING (19.6468985 43.3886077, 19.6468706 43.3887482, 19.6468909 43.3887703, 19.646923 43.3887863, 19.6469652 43.3887961, 19.6470835 43.3888231, 19.6473302 43.3888784, 19.6475171 43.3889304, 19.6475465 43.3889386, 19.647744 43.3890018, 19.6481971 43.3891536, 19.6485528 43.3892591, 19.6487554 43.3893229, 19.6488862 43.3893503, 19.6489676 43.389362, 19.6490302 43.3893712, 19.6490753 43.3893758, 19.6491275 43.3893874, 19.6492039 43.3894204)",,,,
290193047,False,Нијазије Мусабеговића,residential,True,28.306,"LINESTRING (19.6493933 43.3892063, 19.6493499 43.3892559, 19.6493052 43.3893093, 19.6492039 43.3894204)",,,,
325086695,True,Владимира Перића Валтера,residential,False,217.157,"LINESTRING (19.6493933 43.3892063, 19.6491889 43.3891019, 19.6490694 43.3890411, 19.6488805 43.388945, 19.6487304 43.3888839, 19.648541 43.3888142, 19.6484404 43.3887858, 19.6483249 43.3887531, 19.6481823 43.388723, 19.6477793 43.3886596, 19.6475028 43.3886366, 19.647121 43.3886141, 19.6468985 43.3886077)",,,,
"[235105000, 235105002, 283458247]",False,Владимира Перића Валтера,residential,True,140.72799999999998,"LINESTRING (19.6537451 43.3911384, 19.6532605 43.3905648, 19.6531646 43.390482, 19.6530553 43.3903772, 19.6528307 43.3901825, 19.6527339 43.3901132)",yes,,,
784533736,False,Рифата Бурџевића Трша,tertiary,False,57.934,"LINESTRING (19.6537451 43.3911384, 19.6535923 43.3911754, 19.6534622 43.3912236, 19.6531228 43.3913906)",,200,,
871073009,False,Милешевска,tertiary,True,126.59300000000002,"LINESTRING (19.6537451 43.3911384, 19.65393 43.3910973, 19.654131 43.3910559, 19.6543492 43.3910282, 19.6546744 43.3909975, 19.6549433 43.3909785, 19.6552867 43.390956)",,200,,
