osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,ref,junction
871187111,Венијамина Маринковића,tertiary,False,True,42.94,,"LINESTRING (20.2298801 43.5809544, 20.2302033 43.5806473)",,,
"[993930330, 993930331, 871187111]",Венијамина Маринковића,tertiary,False,False,122.68599999999999,yes,"LINESTRING (20.2298801 43.5809544, 20.2296324 43.5811316, 20.2294232 43.5812543, 20.2293363 43.5813053, 20.2293126 43.5813192, 20.2289964 43.5814993, 20.2287901 43.5816015, 20.2286982 43.581647)",,,
147538559,Јаворска,primary,False,False,134.58,,"LINESTRING (20.2286982 43.581647, 20.2284747 43.5812895, 20.2283862 43.5811282, 20.2283138 43.5809961, 20.228232 43.5808436, 20.2280968 43.5805898, 20.2280643 43.5805276)",2,21,
886222684,Јаворска,primary,False,True,51.028,,"LINESTRING (20.2286982 43.581647, 20.228767 43.5817462, 20.2288227 43.5818123, 20.2289023 43.581897, 20.228952 43.5819499, 20.2289725 43.5819877, 20.2289778 43.5820212, 20.2289734 43.5820507)",3,21,
"[993930330, 993930331, 871187111]",Венијамина Маринковића,tertiary,False,True,122.686,yes,"LINESTRING (20.2286982 43.581647, 20.2287901 43.5816015, 20.2289964 43.5814993, 20.2293126 43.5813192, 20.2293363 43.5813053, 20.2294232 43.5812543, 20.2296324 43.5811316, 20.2298801 43.5809544)",,,
723495173,Његошева,residential,True,False,36.848,,"LINESTRING (20.2268132 43.5831497, 20.2271412 43.5833807)",,,
315911089,Његошева,residential,True,False,53.536,,"LINESTRING (20.2268132 43.5831497, 20.2266607 43.5830651, 20.2263699 43.5829468, 20.2262488 43.5828973)",,,
976140048,Милинка Кушића,primary,False,True,4.7,,"LINESTRING (20.2245601 43.5852925, 20.2245909 43.5852566)",2,21,
"[976140048, 258511165, 976140047]",Милинка Кушића,primary,False,False,29.917,yes,"LINESTRING (20.2245601 43.5852925, 20.2245386 43.585322, 20.2245065 43.5853664, 20.2244822 43.5854185, 20.2244595 43.5854707, 20.2244342 43.5855443)",2,21,
886209669,13. септембра,residential,False,False,6.333,,"LINESTRING (20.2301019 43.5825962, 20.2301779 43.5825816)",,,
