osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction
34562852,False,,Војске Југославије,residential,,True,107.465,"LINESTRING (22.0951199 44.080591, 22.0951936 44.081556)",
35558154,False,,,residential,,False,60.731,"LINESTRING (22.0951199 44.080591, 22.0943609 44.0806228)",
34562852,False,,Војске Југославије,residential,,False,105.112,"LINESTRING (22.0951199 44.080591, 22.0950785 44.0802533, 22.0950462 44.0798666, 22.095028 44.0796481)",
34562855,False,,,residential,,False,81.842,"LINESTRING (22.0951199 44.080591, 22.095617 44.0805707, 22.0961433 44.0805565)",
35558164,False,,Иве Лоле Рибара,residential,,False,38.957,"LINESTRING (22.0961433 44.0805565, 22.0961649 44.0809065)",
34562855,False,,,residential,,True,81.842,"LINESTRING (22.0961433 44.0805565, 22.095617 44.0805707, 22.0951199 44.080591)",
448149634,False,,Бошка Бухе,residential,,False,94.994,"LINESTRING (22.096084 44.0744071, 22.0958523 44.0741142, 22.0957553 44.0739924, 22.0956389 44.0738988, 22.0953798 44.0737296)",
448149634,False,,Бошка Бухе,residential,,True,54.607,"LINESTRING (22.096084 44.0744071, 22.0962007 44.0745652, 22.0963524 44.0747447, 22.0964586 44.0748126)",
36863660,False,,Димитрија Туцовића,residential,,False,541.1879999999998,"LINESTRING (22.0953798 44.0737296, 22.0953581 44.0739259, 22.0953278 44.0742437, 22.0953079 44.0744748, 22.0952969 44.0746041, 22.0952928 44.0747438, 22.0952931 44.0751188, 22.0953013 44.0755115, 22.0952989 44.0757006, 22.0952738 44.0760194, 22.0952626 44.0761856, 22.0952453 44.0763694, 22.0952057 44.0765502, 22.0951688 44.0767085, 22.0951219 44.0768445, 22.0950303 44.0770977, 22.0949611 44.0772827, 22.0948859 44.077383, 22.0947876 44.077478, 22.0946384 44.07758, 22.0945715 44.0776045, 22.0944733 44.0776257, 22.0942652 44.077626, 22.0942389 44.0776214, 22.0940936 44.0776011, 22.0938174 44.0775177, 22.093625 44.0774182, 22.0935315 44.0773206)",
448149634,False,,Бошка Бухе,residential,,False,43.821,"LINESTRING (22.0953798 44.0737296, 22.0950072 44.073556, 22.0949119 44.0735253)",
448149634,False,,Бошка Бухе,residential,,True,94.994,"LINESTRING (22.0953798 44.0737296, 22.0956389 44.0738988, 22.0957553 44.0739924, 22.0958523 44.0741142, 22.096084 44.0744071)",
34993497,False,,Филипа Филиповића,residential,,True,98.22,"LINESTRING (22.0949119 44.0735253, 22.094776 44.0737752, 22.094633 44.0740311, 22.0944368 44.0743397)",
448149634,False,,Бошка Бухе,residential,,True,43.821,"LINESTRING (22.0949119 44.0735253, 22.0950072 44.073556, 22.0953798 44.0737296)",
34993497,False,,Филипа Филиповића,residential,,False,98.22,"LINESTRING (22.0944368 44.0743397, 22.094633 44.0740311, 22.094776 44.0737752, 22.0949119 44.0735253)",
34993497,False,,Филипа Филиповића,residential,,True,84.261,"LINESTRING (22.0944368 44.0743397, 22.0943101 44.0744845, 22.0940874 44.0747013, 22.0939763 44.0748069, 22.0938881 44.0748872, 22.0938077 44.0749463)",
36915468,False,,Тимочке буне,residential,,False,372.793,"LINESTRING (22.0944368 44.0743397, 22.0944305 44.0748161, 22.0944216 44.0753821, 22.0943995 44.0757975, 22.0943968 44.0758453, 22.0943752 44.076037, 22.0943663 44.0760825, 22.0943478 44.0761325, 22.0943443 44.0761598, 22.0943571 44.0761918, 22.0944338 44.076237, 22.0944989 44.0762792, 22.0945198 44.0763128, 22.0945159 44.0763449, 22.0944313 44.0764855, 22.0944039 44.0765363, 22.0943785 44.0765989, 22.094342 44.0767178, 22.0942946 44.0768256, 22.0942248 44.0769405, 22.0941525 44.0770531, 22.0941181 44.0770888, 22.0940754 44.0771273, 22.0940415 44.0771522, 22.0940034 44.0771712, 22.0939618 44.0771854, 22.0939128 44.0771963, 22.093822 44.0772128, 22.0937161 44.0772419, 22.0936094 44.0772734, 22.0935315 44.0773206)",
34993497,False,,Филипа Филиповића,residential,,False,84.261,"LINESTRING (22.0938077 44.0749463, 22.0938881 44.0748872, 22.0939763 44.0748069, 22.0940874 44.0747013, 22.0943101 44.0744845, 22.0944368 44.0743397)",
36862733,False,,Васе Пелагића,residential,,False,60.852000000000004,"LINESTRING (22.0938077 44.0749463, 22.0938119 44.0750373, 22.0938157 44.0754935)",
34386147,False,,,residential,,True,73.602,"LINESTRING (22.0966215 44.0785728, 22.0966447 44.0785939, 22.0966477 44.0786219, 22.0966388 44.0786596, 22.0966114 44.0787839, 22.0965793 44.0789323, 22.0965642 44.0790361, 22.0965668 44.0792244)",
35558170,False,,Ђуре Ђаковића,residential,,False,580.856,"LINESTRING (22.0966215 44.0785728, 22.0965764 44.0785444, 22.0965191 44.0785269, 22.0964189 44.0785058, 22.0963018 44.0784821, 22.0962715 44.0784751, 22.0961343 44.0784559, 22.0960442 44.0784467, 22.0958146 44.0784591, 22.0956319 44.0784806, 22.0954131 44.0785088, 22.0953086 44.0785208, 22.0951609 44.0785256, 22.0950399 44.0784981, 22.0949556 44.0784533, 22.0948753 44.0783841, 22.0948312 44.0782855, 22.0948204 44.0781675, 22.0948401 44.0780247, 22.0948813 44.0779426, 22.0950124 44.0777799, 22.0952171 44.077617, 22.0955665 44.0773508, 22.0959571 44.077067, 22.0962088 44.0768443, 22.0963898 44.0766225, 22.0965248 44.0764004, 22.0965754 44.0762861, 22.0966355 44.0761395, 22.0967446 44.0758867, 22.0968395 44.0756295, 22.0968652 44.0755074, 22.0968694 44.0754308, 22.0968405 44.075184, 22.0967993 44.0749607)",
