osmid,highway,oneway,reversed,length,geometry,ref,maxspeed,name
228049315,secondary,False,False,32.653,"LINESTRING (19.7114538 41.6362474, 19.7114147 41.6365396)",,,
754422941,residential,False,False,47.213,"LINESTRING (19.7114538 41.6362474, 19.7120217 41.636259)",,,
228049315,secondary,False,True,128.183,"LINESTRING (19.7114538 41.6362474, 19.7115339 41.6357074, 19.7115424 41.6356326, 19.7115497 41.6353812, 19.7115241 41.6350989)",,,
314533693,secondary,False,True,154.168,"LINESTRING (19.7114538 41.6362474, 19.710897 41.6362147, 19.7096009 41.6361881)",SH35,40,
228053872,tertiary,False,True,76.31,"LINESTRING (19.7125533 41.6387829, 19.7132466 41.6383329)",,,Unaza e Laçit
1017002451,residential,False,False,77.975,"LINESTRING (19.7125533 41.6387829, 19.7118415 41.6392398)",,,
228049315,secondary,False,False,139.393,"LINESTRING (19.7125533 41.6387829, 19.7129622 41.6391142, 19.713525 41.639605, 19.7136422 41.6397347)",,,
228049315,secondary,False,True,101.378,"LINESTRING (19.7125533 41.6387829, 19.7122726 41.6385295, 19.712199 41.6384631, 19.7119259 41.638229, 19.7118508 41.6381666, 19.7117577 41.638092)",,,
228053872,tertiary,False,False,32.386,"LINESTRING (19.7150631 41.6353373, 19.7150414 41.6356281)",,,Unaza e Laçit
228053873,residential,False,False,149.694,"LINESTRING (19.7150631 41.6353373, 19.7132683 41.6352235)",,,
228053872,tertiary,False,True,76.549,"LINESTRING (19.7150631 41.6353373, 19.7151021 41.6348147, 19.7151043 41.6346497)",,,Unaza e Laçit
228053872,tertiary,False,False,41.094,"LINESTRING (19.7124176 41.6319088, 19.7128121 41.6321316)",,,Unaza e Laçit
228053871,residential,False,False,253.748,"LINESTRING (19.7124176 41.6319088, 19.7123585 41.6320279, 19.7123427 41.6321107, 19.7122639 41.6331023, 19.7121783 41.6341784)",,,Boulevardi i Laçit
314533693,secondary,False,False,154.168,"LINESTRING (19.7096009 41.6361881, 19.710897 41.6362147, 19.7114538 41.6362474)",SH35,40,
314533693,secondary,False,True,46.066,"LINESTRING (19.7096009 41.6361881, 19.7093723 41.6361988, 19.709206 41.6362178, 19.7090529 41.6362439)",SH35,40,
"[762121920, 762121921, 762121922]",residential,False,True,78.52199999999999,"LINESTRING (19.7096009 41.6361881, 19.709605 41.6362321, 19.7096112 41.6363477, 19.7096252 41.6364816, 19.709647 41.636535, 19.7096858 41.6365687, 19.7098955 41.6366837, 19.7099499 41.6367011, 19.7100478 41.6367011)",,,
762121923,residential,False,True,50.478,"LINESTRING (19.7096009 41.6361881, 19.7095848 41.6359789, 19.7096081 41.6357351)",,,
228053871,residential,False,False,103.279,"LINESTRING (19.7121783 41.6341784, 19.7121298 41.6351065)",,,Boulevardi i Laçit
515049656,residential,False,False,91.367,"LINESTRING (19.7121783 41.6341784, 19.7110806 41.634133)",,,
515049656,residential,False,True,70.257,"LINESTRING (19.7121783 41.6341784, 19.7130221 41.6342169)",,,
228053871,residential,False,True,253.748,"LINESTRING (19.7121783 41.6341784, 19.7122639 41.6331023, 19.7123427 41.6321107, 19.7123585 41.6320279, 19.7124176 41.6319088)",,,Boulevardi i Laçit
228053873,residential,False,True,26.148,"LINESTRING (19.7129548 41.6352036, 19.7132683 41.6352235)",,,
228053885,residential,False,False,70.934,"LINESTRING (19.7129548 41.6352036, 19.7129551 41.635169, 19.7129617 41.6351197, 19.7129866 41.6350688, 19.7130288 41.6350249, 19.7130758 41.6349994, 19.7131346 41.6349445, 19.7131506 41.6348836, 19.7131789 41.6346147)",,,
"[228053885, 762121902]",residential,False,True,145.374,"LINESTRING (19.7129548 41.6352036, 19.7128037 41.6351896, 19.712766 41.6351671, 19.7127437 41.6351295, 19.7126944 41.635054, 19.7125181 41.634924, 19.712486 41.6348872, 19.7124873 41.634772, 19.7125144 41.6346899, 19.7125699 41.6345794, 19.7125896 41.6345545, 19.7127203 41.6345379, 19.7127672 41.6345416, 19.7128436 41.6345711, 19.7129139 41.6345978, 19.7129435 41.6346033, 19.7131789 41.6346147)",,,
515049656,residential,False,True,91.367,"LINESTRING (19.7110806 41.634133, 19.7121783 41.6341784)",,,
228049315,secondary,False,False,113.647,"LINESTRING (19.7110806 41.634133, 19.7114682 41.6349286, 19.7115241 41.6350989)",,,
228049315,secondary,False,True,306.24199999999996,"LINESTRING (19.7110806 41.634133, 19.7110015 41.6339603, 19.7109544 41.6338147, 19.7109168 41.6336298, 19.7108752 41.6333183, 19.7108475 41.6331114, 19.7108464 41.6329867, 19.7108452 41.6328546, 19.7108779 41.6326373, 19.7110289 41.6321073, 19.7112124 41.6314633, 19.7112232 41.6314262)",,,
