osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref
"[543074441, 169204708]",,Rruga Nexjip Benja,residential,30,False,False,147.911,"LINESTRING (20.3553864 40.2334002, 20.3555066 40.2333553, 20.3556097 40.2333168, 20.3559799 40.2332226, 20.3562635 40.2331327, 20.356368 40.2330706, 20.3563232 40.2328657, 20.3563022 40.23277, 20.3561642 40.2325974)",,
"[30457883, 1041395877, 30457894]",2,Rruga Vëllezërit Frashëri,tertiary,40,False,"[False, True]",105.943,"LINESTRING (20.3546717 40.233595, 20.3546959 40.233674, 20.3548087 40.2343886, 20.3548181 40.234465, 20.3548189 40.2344899, 20.3548205 40.2345401)",yes,
134439343,2,Rruga Permetit,tertiary,40,False,False,66.344,"LINESTRING (20.3546717 40.233595, 20.3548457 40.2335764, 20.3548706 40.2335737, 20.3550611 40.2335434, 20.3551814 40.2335191, 20.3552675 40.2334882, 20.3553279 40.2334528, 20.3553864 40.2334002)",,
233770335,2,Rruga Permetit,tertiary,40,False,True,366.5899999999999,"LINESTRING (20.3546717 40.233595, 20.354525 40.2336231, 20.3545136 40.2336267, 20.3545005 40.2336309, 20.3543799 40.233669, 20.3539458 40.2338509, 20.3528765 40.2343403, 20.3527291 40.234413, 20.3526321 40.2345079, 20.3525495 40.2345984, 20.3524571 40.2347383, 20.3524062 40.2350223, 20.3523955 40.2352599, 20.3523585 40.2357488, 20.3523471 40.2358396, 20.3523339 40.2359441)",,
234012649,2,Shetitoria Mentor Xhemali,tertiary,40,False,True,117.389,"LINESTRING (20.3517216 40.2358284, 20.3520926 40.2348114)",,
181543530,2,Rruga Tomor Mullaraj,tertiary,40,False,False,53.544,"LINESTRING (20.3517216 40.2358284, 20.3517863 40.2358406, 20.3523339 40.2359441)",,
181543530,2,Rruga Tomor Mullaraj,tertiary,40,False,True,80.562,"LINESTRING (20.3517216 40.2358284, 20.3516377 40.2358126, 20.3508039 40.2356437)",,
181543530,2,Rruga Tomor Mullaraj,tertiary,40,False,True,53.544,"LINESTRING (20.3523339 40.2359441, 20.3517863 40.2358406, 20.3517216 40.2358284)",,
233770335,2,Rruga Permetit,tertiary,40,False,False,366.59,"LINESTRING (20.3523339 40.2359441, 20.3523471 40.2358396, 20.3523585 40.2357488, 20.3523955 40.2352599, 20.3524062 40.2350223, 20.3524571 40.2347383, 20.3525495 40.2345984, 20.3526321 40.2345079, 20.3527291 40.234413, 20.3528765 40.2343403, 20.3539458 40.2338509, 20.3543799 40.233669, 20.3545005 40.2336309, 20.3545136 40.2336267, 20.354525 40.2336231, 20.3546717 40.233595)",,
"[542896938, 542896940, 152429743]","['1', '2']",Rruga Vëllezërit Frashëri,tertiary,40,False,"[False, True]",271.88999999999993,"LINESTRING (20.3548205 40.2345401, 20.3554435 40.2345226, 20.3558176 40.2345121, 20.3568648 40.2344674, 20.3577906 40.2344072, 20.3578538 40.234405, 20.3579074 40.2344142, 20.3579544 40.2344327, 20.3579873 40.2344674)",,
"[30457883, 1041395877, 30457894]",2,Rruga Vëllezërit Frashëri,tertiary,40,False,"[False, True]",105.943,"LINESTRING (20.3548205 40.2345401, 20.3548189 40.2344899, 20.3548181 40.234465, 20.3548087 40.2343886, 20.3546959 40.233674, 20.3546717 40.233595)",yes,
543074244,,Rruga Baba Alushi,residential,,False,False,24.087,"LINESTRING (20.3494841 40.2295993, 20.3492355 40.2294949)",,
"[543074250, 543074252]",,Rruga Baba Alushi,residential,30,False,False,116.137,"LINESTRING (20.3494841 40.2295993, 20.3497607 40.2296928, 20.349999 40.2297271, 20.3502937 40.229755, 20.3508147 40.2298107)",,
"[756766635, 172699037, 543074246]",,Rruga Vangjel Gjika,residential,,False,"[False, True]",176.004,"LINESTRING (20.3494841 40.2295993, 20.3495905 40.22945, 20.3497453 40.2292872, 20.3497711 40.2292509, 20.3500512 40.2294145, 20.3501237 40.2294456, 20.3503561 40.2294977, 20.350477 40.2295009, 20.3505257 40.229469, 20.3505735 40.2294298, 20.3505938 40.2294299, 20.3506543 40.2294537, 20.3506988 40.2294867, 20.3507772 40.2295942, 20.3508175 40.22973, 20.3508147 40.2298107)",,
168023890,,Rruga Baba Alushi,residential,30,False,False,78.13599999999998,"LINESTRING (20.3536093 40.2297798, 20.3538654 40.2297474, 20.3542294 40.2297165, 20.354377 40.2297014, 20.3544443 40.2297079, 20.3544817 40.229717, 20.3545181 40.2297267)",,
168023890,,Rruga Baba Alushi,residential,30,False,True,68.72899999999998,"LINESTRING (20.3536093 40.2297798, 20.3534389 40.2298264, 20.3531585 40.2299149, 20.3529348 40.2299684, 20.3528484 40.2299896)",,
168023891,,Rruga Shen Gjergji,residential,,False,True,77.358,"LINESTRING (20.3536093 40.2297798, 20.3535876 40.2297388, 20.3535178 40.2296947, 20.3533286 40.2295684, 20.3533065 40.2295025, 20.3534495 40.2293323, 20.3535273 40.2292278)",,
168023890,,Rruga Baba Alushi,residential,30,False,False,200.017,"LINESTRING (20.3545181 40.2297267, 20.3554048 40.2300931, 20.3555181 40.230164, 20.3556262 40.2302453, 20.3558336 40.2304528, 20.3560907 40.2306906, 20.3562768 40.230874)",,
168023890,,Rruga Baba Alushi,residential,30,False,True,78.136,"LINESTRING (20.3545181 40.2297267, 20.3544817 40.229717, 20.3544443 40.2297079, 20.354377 40.2297014, 20.3542294 40.2297165, 20.3538654 40.2297474, 20.3536093 40.2297798)",,
"[168024291, 168024283]",,Rruga Stefanaq Pollo,residential,30,False,"[False, True]",78.663,"LINESTRING (20.3545181 40.2297267, 20.354528 40.229672, 20.3545213 40.229603, 20.3544081 40.2294013, 20.3542086 40.2292408, 20.3540845 40.2291346)",,
"[168023888, 169204699, 543074255]",1,Rruga At Stath Melani,residential,30,False,False,33.081,"LINESTRING (20.3526163 40.2299781, 20.3526123 40.230018, 20.3525979 40.230131, 20.352565 40.2301853, 20.3525033 40.230255)",yes,
168023890,,Rruga Baba Alushi,residential,30,False,False,19.796,"LINESTRING (20.3526163 40.2299781, 20.3527483 40.229991, 20.3528484 40.2299896)",,
543074252,,Rruga Baba Alushi,residential,30,False,True,154.09,"LINESTRING (20.3526163 40.2299781, 20.3517287 40.2298848, 20.3508147 40.2298107)",,
168023892,,Rruga Sejfulla Malshova,residential,30,False,False,102.378,"LINESTRING (20.3525033 40.230255, 20.3526045 40.2302899, 20.3529604 40.2303826, 20.3531079 40.2304373, 20.3532187 40.2305074, 20.3533345 40.2305811, 20.35349 40.2306391, 20.3535729 40.2306597)",,
169204699,,Rruga At Stath Melani,residential,30,False,False,87.35600000000001,"LINESTRING (20.3525033 40.230255, 20.3523618 40.2304078, 20.3522996 40.2305283, 20.3521732 40.2307034, 20.3521049 40.2307626, 20.3519782 40.2308101, 20.3518753 40.2308349)",,
"[168023888, 169204699, 543074255]",1,Rruga At Stath Melani,residential,30,False,True,33.081,"LINESTRING (20.3525033 40.230255, 20.352565 40.2301853, 20.3525979 40.230131, 20.3526123 40.230018, 20.3526163 40.2299781)",yes,
168023892,,Rruga Sejfulla Malshova,residential,30,False,True,102.37799999999999,"LINESTRING (20.3535729 40.2306597, 20.35349 40.2306391, 20.3533345 40.2305811, 20.3532187 40.2305074, 20.3531079 40.2304373, 20.3529604 40.2303826, 20.3526045 40.2302899, 20.3525033 40.230255)",,
181543533,,Rruga Shen Premte,residential,30,False,False,44.559,"LINESTRING (20.3535729 40.2306597, 20.3535942 40.2304552, 20.3536185 40.2302605)",,
543077636,,Rruga Shen Premte,residential,30,False,True,53.223,"LINESTRING (20.3535729 40.2306597, 20.3535706 40.2306871, 20.3535529 40.230762, 20.3535138 40.2308504, 20.353489 40.2308948, 20.3534676 40.230933, 20.3533557 40.2311049)",,
169204704,2,Rruga Meleq Gosnishti,tertiary,40,False,True,85.152,"LINESTRING (20.3533557 40.2311049, 20.3541078 40.2316116)",,
543077636,,Rruga Shen Premte,residential,30,False,False,53.223,"LINESTRING (20.3533557 40.2311049, 20.3534676 40.230933, 20.353489 40.2308948, 20.3535138 40.2308504, 20.3535529 40.230762, 20.3535706 40.2306871, 20.3535729 40.2306597)",,
"[543084571, 181543555]",2,"['Rruga Shen Premte', 'Rruga 13 Shtatori']",tertiary,40,False,True,81.21000000000001,"LINESTRING (20.3533557 40.2311049, 20.3530516 40.2314502, 20.3530007 40.2315208, 20.3529599 40.2315813, 20.3529593 40.2316661, 20.3529797 40.2317454)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,False,46.746,"LINESTRING (20.3565937 40.2312001, 20.357016 40.2309303)",,
168023890,,Rruga Baba Alushi,residential,30,False,True,45.15,"LINESTRING (20.3565937 40.2312001, 20.3562768 40.230874)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,True,74.17699999999999,"LINESTRING (20.3565937 40.2312001, 20.3564102 40.2313188, 20.355929 40.2316331)",,
168024283,,Rruga Stefanaq Pollo,residential,30,False,True,25.555,"LINESTRING (20.3537488 40.2287693, 20.3537907 40.2288579, 20.3539033 40.2289628)",,
168024283,,Rruga Stefanaq Pollo,residential,30,False,False,25.555,"LINESTRING (20.3539033 40.2289628, 20.3537907 40.2288579, 20.3537488 40.2287693)",,
168024283,,Rruga Stefanaq Pollo,residential,30,False,True,24.732,"LINESTRING (20.3539033 40.2289628, 20.3540333 40.2291049, 20.3540845 40.2291346)",,
168024283,,Rruga Stefanaq Pollo,residential,30,False,False,24.732,"LINESTRING (20.3540845 40.2291346, 20.3540333 40.2291049, 20.3539033 40.2289628)",,
"[168024283, 168024291]",,Rruga Stefanaq Pollo,residential,30,False,"[False, True]",78.66300000000001,"LINESTRING (20.3540845 40.2291346, 20.3542086 40.2292408, 20.3544081 40.2294013, 20.3545213 40.229603, 20.354528 40.229672, 20.3545181 40.2297267)",,
468434205,,Rruga Shen Gjergji,residential,,False,False,48.613,"LINESTRING (20.3540845 40.2291346, 20.3535702 40.2292309, 20.3535273 40.2292278)",,
168024296,,Rruga Marko Bocari,tertiary,30,False,False,56.535,"LINESTRING (20.3580295 40.2302712, 20.3577662 40.2298042)",,
543077633,2,Rruga Kongresi i Përmetit,residential,30,False,False,18.324,"LINESTRING (20.3580295 40.2302712, 20.3581964 40.2301667)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,True,57.78,"LINESTRING (20.3580295 40.2302712, 20.357699 40.2304851, 20.3575079 40.230605)",,
"[234003810, 169204699]",,Rruga At Stath Melani,residential,30,False,False,107.774,"LINESTRING (20.3518753 40.2308349, 20.3518075 40.2308724, 20.3516269 40.2309695, 20.3515867 40.2309936, 20.3515777 40.231, 20.3510343 40.2313726, 20.3510062 40.231399, 20.3509733 40.2314467, 20.350969 40.2314893)",,
169204699,,Rruga At Stath Melani,residential,30,False,True,87.356,"LINESTRING (20.3518753 40.2308349, 20.3519782 40.2308101, 20.3521049 40.2307626, 20.3521732 40.2307034, 20.3522996 40.2305283, 20.3523618 40.2304078, 20.3525033 40.230255)",,
"[234003811, 183207374]",,Rruga Robert D'Angjeli,residential,30,False,True,37.005,"LINESTRING (20.3518753 40.2308349, 20.3517851 40.2307409, 20.3517196 40.2306517, 20.3516433 40.2305537)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,True,16.939,"LINESTRING (20.355929 40.2316331, 20.3557758 40.2317307)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,False,74.17699999999999,"LINESTRING (20.355929 40.2316331, 20.3564102 40.2313188, 20.3565937 40.2312001)",,
"[169204712, 543074425]",,Rruga Kostandin Ixgari,residential,30,False,False,61.759,"LINESTRING (20.355929 40.2316331, 20.3562805 40.2319331, 20.3561596 40.232055)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,False,34.417,"LINESTRING (20.3554666 40.2319309, 20.355634 40.231821, 20.3557758 40.2317307)",,
134439336,2,Rruga Kongresi i Përmetit,tertiary,40,False,True,60.782999999999994,"LINESTRING (20.3554666 40.2319309, 20.3550784 40.2321858, 20.3550332 40.2322211, 20.3549348 40.2322964)",,
543074441,,Rruga Nexjip Benja,residential,30,False,True,95.03,"LINESTRING (20.3554666 40.2319309, 20.3556299 40.2321221, 20.3556638 40.2321546, 20.3561642 40.2325974)",,
"[169204712, 543084563]",,Rruga Kostandin Ixgari,residential,30,False,False,74.154,"LINESTRING (20.3561596 40.232055, 20.356232 40.2321825, 20.3562475 40.2322155, 20.3562935 40.2323138, 20.3563968 40.2324514, 20.3561642 40.2325974)",,
"[169204712, 543074425]",,Rruga Kostandin Ixgari,residential,30,False,True,61.759,"LINESTRING (20.3561596 40.232055, 20.3562805 40.2319331, 20.355929 40.2316331)",,
543074438,,Rruga Kostandin Ixgari,residential,30,False,False,48.599000000000004,"LINESTRING (20.3561596 40.232055, 20.3559703 40.2318951, 20.3557758 40.2317307)",,
169204713,,Rruga Avdiut,residential,30,False,False,90.145,"LINESTRING (20.3500095 40.2324216, 20.3501227 40.232299, 20.3501788 40.232288, 20.3502473 40.2323102, 20.3504536 40.2324307, 20.3504928 40.2324551, 20.3505796 40.2325093, 20.3508545 40.2326197)",,
543074441,,Rruga Nexjip Benja,residential,30,False,False,95.03,"LINESTRING (20.3561642 40.2325974, 20.3556638 40.2321546, 20.3556299 40.2321221, 20.3554666 40.2319309)",,
"[543074441, 169204708]",,Rruga Nexjip Benja,residential,30,False,True,147.911,"LINESTRING (20.3561642 40.2325974, 20.3563022 40.23277, 20.3563232 40.2328657, 20.356368 40.2330706, 20.3562635 40.2331327, 20.3559799 40.2332226, 20.3556097 40.2333168, 20.3555066 40.2333553, 20.3553864 40.2334002)",,
"[169204712, 543084563]",,Rruga Kostandin Ixgari,residential,30,False,True,74.15400000000001,"LINESTRING (20.3561642 40.2325974, 20.3563968 40.2324514, 20.3562935 40.2323138, 20.3562475 40.2322155, 20.356232 40.2321825, 20.3561596 40.232055)",,
181543555,2,Rruga 13 Shtatori,tertiary,40,False,False,19.355,"LINESTRING (20.3534187 40.2329344, 20.3532861 40.2327928)",,
"[234012648, 168023893]",2,"['Rruga 13 Shtatori', 'Sheshi Abdyl Frashëri']",tertiary,"['40', '30']",False,True,29.176,"LINESTRING (20.3534187 40.2329344, 20.3536192 40.2331116, 20.3536469 40.2331303)",,
171046827,,Rruga Gjergji Komnino,residential,30,False,False,28.895,"LINESTRING (20.3525437 40.2333406, 20.352544 40.2332438, 20.3524773 40.2330889)",,
"[233770331, 234003812]",1,Rruga Sami Frasheri,tertiary,40,True,False,91.00399999999999,"LINESTRING (20.3525437 40.2333406, 20.3526555 40.2333506, 20.3527887 40.2333419, 20.3530007 40.2332101, 20.3531153 40.2331344, 20.3533233 40.2329973, 20.3534187 40.2329344)",,
543084570,,Rruga Elena Gjika,residential,30,False,True,80.299,"LINESTRING (20.3519537 40.2335658, 20.3513542 40.2330072)",,
233770331,1,Rruga Sami Frasheri,tertiary,40,True,False,56.382,"LINESTRING (20.3519537 40.2335658, 20.3523903 40.233371, 20.3525437 40.2333406)",,
543077634,2,Rruga Amerika,tertiary,40,False,True,34.714,"LINESTRING (20.3506391 40.2369654, 20.3504017 40.2372196)",,
181543538,,Rruga Bolenges,unclassified,30,False,True,226.20700000000002,"LINESTRING (20.3506391 40.2369654, 20.3505698 40.2369713, 20.3501483 40.2370068, 20.3500282 40.2369902, 20.34991 40.2369536, 20.3497982 40.2368893, 20.3497298 40.236816, 20.3496845 40.2367479, 20.3495184 40.2363949, 20.3494297 40.2363267, 20.3493307 40.2362777, 20.3492262 40.2362357, 20.3491547 40.2362295, 20.3490998 40.2362521, 20.3490787 40.2363104, 20.3490264 40.2363659, 20.3489891 40.2365015, 20.3489605 40.2365728, 20.3489146 40.2366248, 20.3488688 40.2366241)",,
543074079,2,Rruga Amerika,tertiary,40,False,False,57.761,"LINESTRING (20.3506391 40.2369654, 20.3506847 40.2368648, 20.3507498 40.2367127, 20.3507949 40.236592, 20.3508155 40.2364655)",,
169204707,2,Rruga Kamber Benja,tertiary,40,False,False,41.591,"LINESTRING (20.3504017 40.2372196, 20.3508007 40.2374367)",,
543077634,2,Rruga Amerika,tertiary,40,False,False,34.714,"LINESTRING (20.3504017 40.2372196, 20.3506391 40.2369654)",,
543073989,2,Rruga Kostandin Duka,unclassified,30,False,True,33.396,"LINESTRING (20.3504017 40.2372196, 20.3502564 40.2373752, 20.3501734 40.2374642)",,
232366015,,Rruga Skender Caci,tertiary,30,False,False,90.83299999999998,"LINESTRING (20.3584212 40.2291645, 20.3581808 40.2294462, 20.3580347 40.2295685, 20.3579006 40.2296621, 20.3578165 40.2297339, 20.3577662 40.2298042)",,
234012647,,Lagjia e Re,residential,,False,True,71.717,"LINESTRING (20.3584212 40.2291645, 20.3587604 40.2294742, 20.358973 40.2296527)",,
168024296,,Rruga Marko Bocari,tertiary,30,False,True,56.535,"LINESTRING (20.3577662 40.2298042, 20.3580295 40.2302712)",,
543074203,,Rruga Sulejman Lame,residential,,False,True,73.116,"LINESTRING (20.3577662 40.2298042, 20.3571491 40.2302629)",,
232366015,,Rruga Skender Caci,tertiary,30,False,True,90.833,"LINESTRING (20.3577662 40.2298042, 20.3578165 40.2297339, 20.3579006 40.2296621, 20.3580347 40.2295685, 20.3581808 40.2294462, 20.3584212 40.2291645)",,
"[543084571, 181543555]",2,"['Rruga Shen Premte', 'Rruga 13 Shtatori']",tertiary,40,False,False,81.21000000000001,"LINESTRING (20.3529797 40.2317454, 20.3529593 40.2316661, 20.3529599 40.2315813, 20.3530007 40.2315208, 20.3530516 40.2314502, 20.3533557 40.2311049)",,
181543555,2,Rruga 13 Shtatori,tertiary,40,False,True,119.699,"LINESTRING (20.3529797 40.2317454, 20.3532112 40.2326559, 20.3532446 40.2327345, 20.3532861 40.2327928)",,
234003830,,Rruga Gjergji Komnino,residential,30,False,True,103.676,"LINESTRING (20.3529797 40.2317454, 20.3529007 40.2317826, 20.3527213 40.2318577, 20.3526049 40.2319467, 20.3525083 40.2320592, 20.35239 40.2321551, 20.3522813 40.232238, 20.3520598 40.2323371)",,
543074198,,,residential,30,False,True,6.572,"LINESTRING (20.3520598 40.2323371, 20.3519833 40.2323462)",,
234003806,,Rruga Gjergji Komnino,residential,30,False,True,19.198999999999998,"LINESTRING (20.3520598 40.2323371, 20.3521046 40.2324267, 20.3521405 40.2324984)",,
234003830,,Rruga Gjergji Komnino,residential,30,False,False,103.676,"LINESTRING (20.3520598 40.2323371, 20.3522813 40.232238, 20.35239 40.2321551, 20.3525083 40.2320592, 20.3526049 40.2319467, 20.3527213 40.2318577, 20.3529007 40.2317826, 20.3529797 40.2317454)",,
"[543084568, 171066837]",,"['Rruga Janaq Paco', 'Rruga Shenkollit']",residential,30,False,False,51.864999999999995,"LINESTRING (20.3516331 40.2320149, 20.3517854 40.2321195, 20.3519148 40.2322106, 20.3519807 40.2322222, 20.3519833 40.2323462)",,
171066837,,Rruga Janaq Paco,residential,30,False,True,56.84,"LINESTRING (20.3516331 40.2320149, 20.3514174 40.2320789, 20.3512804 40.2321486, 20.3511588 40.2322513, 20.3511133 40.2323125)",,
756780211,,,residential,,False,False,27.478,"LINESTRING (20.3516331 40.2320149, 20.351718 40.2319401, 20.3517778 40.2318966, 20.3518669 40.2318455)",,
171066840,,,residential,30,False,True,22.83,"LINESTRING (20.3519833 40.2323462, 20.3517792 40.2324799)",,
543074198,,,residential,30,False,False,6.572,"LINESTRING (20.3519833 40.2323462, 20.3520598 40.2323371)",,
"[543084568, 171066837]",,"['Rruga Janaq Paco', 'Rruga Shenkollit']",residential,30,False,True,51.864999999999995,"LINESTRING (20.3519833 40.2323462, 20.3519807 40.2322222, 20.3519148 40.2322106, 20.3517854 40.2321195, 20.3516331 40.2320149)",,
169204713,,Rruga Avdiut,residential,30,False,True,90.14500000000001,"LINESTRING (20.3508545 40.2326197, 20.3505796 40.2325093, 20.3504928 40.2324551, 20.3504536 40.2324307, 20.3502473 40.2323102, 20.3501788 40.232288, 20.3501227 40.232299, 20.3500095 40.2324216)",,
171066837,,Rruga Janaq Paco,residential,30,False,False,40.973,"LINESTRING (20.3508545 40.2326197, 20.3509429 40.2324779, 20.3510156 40.2323906, 20.3511133 40.2323125)",,
543084570,,Rruga Elena Gjika,residential,30,False,False,60.556000000000004,"LINESTRING (20.3508545 40.2326197, 20.3509257 40.2326615, 20.3509899 40.2327148, 20.3511787 40.2328714, 20.3513542 40.2330072)",,
543084570,,Rruga Elena Gjika,residential,30,False,False,80.299,"LINESTRING (20.3513542 40.2330072, 20.3519537 40.2335658)",,
171066838,,Rruga Kasem Trebeshina,residential,30,False,True,27.994,"LINESTRING (20.3513542 40.2330072, 20.3512702 40.2330262, 20.3511383 40.2330668, 20.3510463 40.2330966)",,
543074193,,,residential,,False,False,31.781,"LINESTRING (20.3513542 40.2330072, 20.3514672 40.232959, 20.3516705 40.2328547)",,
543084570,,Rruga Elena Gjika,residential,30,False,True,60.556000000000004,"LINESTRING (20.3513542 40.2330072, 20.3511787 40.2328714, 20.3509899 40.2327148, 20.3509257 40.2326615, 20.3508545 40.2326197)",,
