osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,junction
506198113,2,SH3,primary,60,False,False,62.379000000000005,"LINESTRING (20.984454 40.6248544, 20.9846927 40.6246238, 20.9848982 40.6244062)",,
506198113,2,SH3,primary,60,False,True,198.55999999999995,"LINESTRING (20.984454 40.6248544, 20.9843276 40.6249732, 20.984264 40.6250311, 20.9842157 40.6250807, 20.9840434 40.6252578, 20.9837812 40.6254852, 20.9837629 40.6255, 20.9835465 40.625675, 20.9834926 40.6257186, 20.983443 40.6257587, 20.983286 40.6258904, 20.983266 40.6259071, 20.9832592 40.6259142, 20.9831104 40.6260694, 20.9829661 40.6262339)",,
"[765519070, 765519071]",,,residential,,False,True,375.896,"LINESTRING (20.984454 40.6248544, 20.9842247 40.6247439, 20.9840839 40.62469, 20.9838451 40.6246269, 20.9836829 40.624578, 20.9834656 40.6245006, 20.9833127 40.6244477, 20.9831545 40.624407, 20.9829935 40.6243703, 20.98296 40.6243683, 20.9829238 40.6244039, 20.9828567 40.624519, 20.9827602 40.6247307, 20.9826797 40.6248935, 20.9825537 40.625036, 20.982382 40.6251928, 20.9821513 40.6253638, 20.9820172 40.6254839, 20.9818187 40.6257119, 20.9816551 40.6259623, 20.9815235 40.6261822)",,
506198113,2,SH3,primary,60,False,True,15.568,"LINESTRING (20.9856788 40.6235658, 20.9855699 40.6236788)",,
504579362,,,residential,,False,True,64.721,"LINESTRING (20.9856788 40.6235658, 20.9854115 40.6234234, 20.9850352 40.6232499)",,
504579393,2,SH3,primary,40,False,False,127.102,"LINESTRING (20.9856788 40.6235658, 20.9858514 40.623383, 20.9859592 40.6232663, 20.9860797 40.6231359, 20.9862242 40.6229718, 20.9863321 40.6228474, 20.9865244 40.6226202)",Fuat Babani,
506198113,2,SH3,primary,60,False,False,15.568,"LINESTRING (20.9855699 40.6236788, 20.9856788 40.6235658)",,
506198113,2,SH3,primary,60,False,True,98.773,"LINESTRING (20.9855699 40.6236788, 20.9852149 40.6240586, 20.985189 40.6240863, 20.9848982 40.6244062)",,
686904330,,,residential,,False,True,68.74600000000001,"LINESTRING (20.9855699 40.6236788, 20.9860834 40.6239005, 20.9862779 40.6239845)",Rruga Mihal Dallaj,
506106333,,,residential,,False,False,91.467,"LINESTRING (20.9864652 40.6218465, 20.9866184 40.6217485, 20.9869125 40.6215706, 20.9873159 40.6213371)",,
548955557,2,,secondary,30,False,False,56.949000000000005,"LINESTRING (20.9864652 40.6218465, 20.9866648 40.6221012, 20.9867111 40.6221704, 20.9867381 40.6222223, 20.9867767 40.6222993)",,
548955557,2,,secondary,30,False,True,76.063,"LINESTRING (20.9864652 40.6218465, 20.9862936 40.6216601, 20.9861131 40.6214839, 20.9859169 40.6213041)",,
548955557,2,,secondary,30,False,True,8.823,"LINESTRING (20.9851993 40.6207355, 20.9851227 40.6206815)",,
506106331,,,residential,,False,False,133.375,"LINESTRING (20.9851993 40.6207355, 20.9855199 40.6202431, 20.9856087 40.6200984, 20.9858712 40.6196501)",Rruga Hasan Prishtina,
548955557,2,,secondary,30,False,False,87.565,"LINESTRING (20.9851993 40.6207355, 20.9853932 40.6208813, 20.9859169 40.6213041)",,
303232241,,,residential,,False,True,19.848,"LINESTRING (20.9823883 40.6281773, 20.982312 40.6281416, 20.9822525 40.6281139, 20.9821921 40.6280792)",Rruga Fan Noli,
686904336,,,residential,30,False,False,52.41,"LINESTRING (20.9823883 40.6281773, 20.9821029 40.6284405, 20.9820681 40.6284754, 20.9820342 40.6284895, 20.9819617 40.6285057)",,
