osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry,junction,bridge
583931821,True,secondary_link,False,34.509,,,,"LINESTRING (20.0743807 42.3567401, 20.0739842 42.3566378)",,
611953424,True,secondary,False,17.591,2,Rruga Haxhi Zeka,40,"LINESTRING (20.0743807 42.3567401, 20.07437 42.3565821)",,
30710305,False,secondary,True,117.92500000000001,2,,40,"LINESTRING (20.0770537 42.3569589, 20.0770673 42.3568809, 20.0772139 42.3560424, 20.0772374 42.3559071)",,
30710308,False,secondary,False,112.135,2,Ram Sadria,40,"LINESTRING (20.0770537 42.3569589, 20.0770485 42.3570333, 20.0769805 42.3579659)",,
611953427,False,tertiary,False,103.93199999999999,2,Rruga Beselidhja Malesise,30,"LINESTRING (20.0770537 42.3569589, 20.0771539 42.3569581, 20.0783185 42.3569498)",,
611953427,False,tertiary,True,199.471,2,Rruga Beselidhja Malesise,30,"LINESTRING (20.0770537 42.3569589, 20.0769071 42.3569599, 20.076397 42.3569636, 20.0757414 42.3569683, 20.0756023 42.3569691, 20.0753162 42.3569757, 20.0748105 42.3569875, 20.0746266 42.356985)",,
30453139,False,secondary,False,41.013,2,,40,"LINESTRING (20.0772374 42.3559071, 20.077064 42.3559783, 20.0769087 42.3560216, 20.0767865 42.3560636)",,
30710305,False,secondary,False,117.92500000000001,2,,40,"LINESTRING (20.0772374 42.3559071, 20.0772139 42.3560424, 20.0770673 42.3568809, 20.0770537 42.3569589)",,
170359158,False,secondary,True,64.071,2,,40,"LINESTRING (20.0772374 42.3559071, 20.0775112 42.3557415, 20.077845 42.355546)",,
611953427,False,tertiary,True,59.551,2,Rruga Beselidhja Malesise,30,"LINESTRING (20.0803653 42.356935, 20.0796406 42.3569402)",,
170319174,False,secondary,True,21.68,,Mic Sokoli,,"LINESTRING (20.0746306 42.3565516, 20.07437 42.3565821)",,
170319167,False,secondary,False,81.882,2,,40,"LINESTRING (20.0746306 42.3565516, 20.0748101 42.3565072, 20.0752597 42.3564305, 20.0755962 42.3563717)",,
"[611953425, 731187341]",True,secondary,False,48.193,,Rruga Haxhi Zeka,,"LINESTRING (20.0746306 42.3565516, 20.07463 42.3567451, 20.0746266 42.356985)",,
170771916,False,unclassified,True,231.41299999999998,,,,"LINESTRING (20.0725044 42.3565511, 20.0724866 42.3564634, 20.0724877 42.3563444, 20.0725519 42.3562257, 20.0726755 42.3561211, 20.072789 42.3560523, 20.0729115 42.3559571, 20.0730744 42.3557813, 20.0732596 42.3555477, 20.0733645 42.3553967, 20.0734141 42.3553224, 20.0734821 42.3551998, 20.073498 42.3551576, 20.0735157 42.3550971, 20.073518 42.3549821, 20.0735146 42.3548248, 20.0735088 42.3547049)",,
583931810,True,unclassified,False,35.099000000000004,,,,"LINESTRING (20.0725044 42.3565511, 20.0725888 42.3566313, 20.0726985 42.3567092, 20.0728083 42.3567704)",,
170319174,False,secondary,False,21.68,,Mic Sokoli,,"LINESTRING (20.07437 42.3565821, 20.0746306 42.3565516)",,
583931820,False,unclassified,True,32.3,,Mic Sokoli,20,"LINESTRING (20.07437 42.3565821, 20.0739842 42.3566378)",,
