osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed,junction,tunnel
96698982,True,Avenida Heróis de São Marcos,residential,False,266.38599999999997,"LINESTRING (-7.3518998 40.7750908, -7.3515951 40.7754288, -7.3511877 40.7760459, -7.3510434 40.7762255, -7.3503022 40.7771555)",,,,
451607265,False,,primary,False,102.012,"LINESTRING (-7.3518998 40.7750908, -7.3517678 40.7753856, -7.3517282 40.775683, -7.3517518 40.7759897)",EN 226,,,
451607272,False,Avenida Heróis de São Marcos,primary,True,81.57900000000001,"LINESTRING (-7.3518998 40.7750908, -7.3521601 40.774747, -7.3522507 40.7746272, -7.3523816 40.7744543)",EN 226,,,
96693136,False,,residential,True,48.054,"LINESTRING (-7.3517868 40.7773426, -7.3520204 40.7769483)",,,,
451607265,False,,primary,False,52.202,"LINESTRING (-7.3517868 40.7773426, -7.3515212 40.7777668)",EN 226,,,
451607265,False,,primary,True,49.814,"LINESTRING (-7.3517868 40.7773426, -7.3518316 40.7768959)",EN 226,,,
451607265,False,,primary,True,39.634,"LINESTRING (-7.350833 40.7789656, -7.3510343 40.7786434)",EN 226,,,
96693165,True,,tertiary,False,129.328,"LINESTRING (-7.350833 40.7789656, -7.3510062 40.7790182, -7.3516677 40.7791466, -7.3523289 40.7792098)",,50,,
"[96698992, 451607265]",False,,primary,False,32.533,"LINESTRING (-7.350833 40.7789656, -7.350797 40.7790262, -7.3507569 40.7790937, -7.3507362 40.779245)",EN 226,,,
96698833,False,,primary,False,42.556,"LINESTRING (-7.351043 40.779732, -7.3514088 40.7799961)",EN 226,,,
96698960,False,,primary,False,27.066,"LINESTRING (-7.351043 40.779732, -7.3509546 40.7796625, -7.3508469 40.7795403)",EN 226,,,
96698828,False,Avenida Álvares Pereira,tertiary,True,69.458,"LINESTRING (-7.3496831 40.7809864, -7.349743 40.7816094)",EM 600,50,,
96698828,False,Avenida Álvares Pereira,tertiary,False,25.408,"LINESTRING (-7.3496831 40.7809864, -7.3496891 40.7809392, -7.3497083 40.7808172, -7.3497174 40.7807594)",EM 600,50,,
96698976,False,,residential,False,26.717,"LINESTRING (-7.3496831 40.7809864, -7.3496533 40.7809404, -7.3496226 40.7807528)",,,,
96698828,False,Avenida Álvares Pereira,tertiary,False,21.523,"LINESTRING (-7.3501008 40.7800173, -7.3502205 40.7798651, -7.3502316 40.779851)",EM 600,50,,
96698828,False,Avenida Álvares Pereira,tertiary,True,89.34299999999999,"LINESTRING (-7.3501008 40.7800173, -7.3498908 40.7803323, -7.3497913 40.7804815, -7.3497174 40.7807594)",EM 600,50,,
96698919,False,Avenida Rainha Santa Isabel,residential,False,54.195,"LINESTRING (-7.3501008 40.7800173, -7.3500021 40.7800186, -7.3495208 40.7802121)",,,,
96698822,False,Rua Eduarda Lapa,residential,True,8.016,"LINESTRING (-7.3497174 40.7807594, -7.3496226 40.7807528)",,50,,
96698822,False,Rua Eduarda Lapa,residential,False,97.019,"LINESTRING (-7.3497174 40.7807594, -7.3498015 40.7807562, -7.3501206 40.7806817, -7.3504371 40.7806636, -7.3506525 40.7806696, -7.3508519 40.7806898)",,50,,
96698828,False,Avenida Álvares Pereira,tertiary,False,89.34299999999999,"LINESTRING (-7.3497174 40.7807594, -7.3497913 40.7804815, -7.3498908 40.7803323, -7.3501008 40.7800173)",EM 600,50,,
96698828,False,Avenida Álvares Pereira,tertiary,True,25.408,"LINESTRING (-7.3497174 40.7807594, -7.3497083 40.7808172, -7.3496891 40.7809392, -7.3496831 40.7809864)",EM 600,50,,
95927746,True,,tertiary,False,47.084,"LINESTRING (-7.3502316 40.779851, -7.3504565 40.7797171, -7.3505817 40.7796691, -7.3507105 40.7796447)",EM 600,,,
96698828,False,Avenida Álvares Pereira,tertiary,True,21.523,"LINESTRING (-7.3502316 40.779851, -7.3502205 40.7798651, -7.3501008 40.7800173)",EM 600,50,,
96698828,False,Avenida Álvares Pereira,tertiary,False,69.458,"LINESTRING (-7.349743 40.7816094, -7.3496831 40.7809864)",EM 600,50,,
96698828,False,Avenida Álvares Pereira,tertiary,True,47.164,"LINESTRING (-7.349743 40.7816094, -7.3498056 40.7820309)",EM 600,50,,
96698868,False,Rua João Rodrigues Fernandes,residential,True,41.441,"LINESTRING (-7.349743 40.7816094, -7.3502334 40.7815777)",,,,
96698817,False,,residential,False,172.468,"LINESTRING (-7.349743 40.7816094, -7.349269 40.7816611, -7.3491692 40.7816988, -7.3491161 40.7817693, -7.3492889 40.7827837)",,,,
96693149,False,Rua das Sortes das Viúvas,residential,True,69.279,"LINESTRING (-7.3543768 40.7791189, -7.3544525 40.7797393)",,,,
96693137,False,Rua General Garcês,tertiary,True,172.874,"LINESTRING (-7.3543768 40.7791189, -7.3525652 40.7792196, -7.3523289 40.7792098)",CM 1043,50,,
96693092,False,,residential,True,33.578,"LINESTRING (-7.3546509 40.7813676, -7.354454 40.7816302)",,,,
96693149,False,Rua das Sortes das Viúvas,residential,False,113.554,"LINESTRING (-7.3546509 40.7813676, -7.354527 40.7803507)",,,,
96693140,False,,residential,False,96.802,"LINESTRING (-7.3517518 40.7759897, -7.3528155 40.7756595)",,,,
451607265,False,,primary,False,100.988,"LINESTRING (-7.3517518 40.7759897, -7.3517648 40.7761369, -7.3517956 40.7764871, -7.351821 40.776776, -7.3518316 40.7768959)",EN 226,,,
