osmid,lanes,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,name,tunnel
30406183,1,EN 125,primary,50,roundabout,True,False,12.139,"LINESTRING (-8.4592623 37.1346661, -8.4591306 37.134696)",,
106971715,,,secondary,,,True,False,55.885999999999996,"LINESTRING (-8.4544537 37.1289662, -8.4545276 37.1292718, -8.4545454 37.129373, -8.4545407 37.1294621)",,
106971717,,,tertiary_link,,,True,False,18.738,"LINESTRING (-8.4550855 37.1292069, -8.4549988 37.1292747, -8.4549283 37.1293192)",,
40065537,,,residential,,,False,False,38.405,"LINESTRING (-8.4573159 37.135055, -8.4572463 37.1353959)",,
151542224,,,tertiary,,,False,False,37.73,"LINESTRING (-8.4573159 37.135055, -8.4577361 37.135109)",Rua Doutor Ernesto Cabrita,
151542224,,,tertiary,,,False,True,95.09100000000001,"LINESTRING (-8.4573159 37.135055, -8.4568374 37.1349905, -8.4566341 37.1349679, -8.4564476 37.1349472, -8.4562556 37.1349259)",Rua Doutor Ernesto Cabrita,
40065538,,,residential,,,True,False,6.08,"LINESTRING (-8.4563622 37.1356899, -8.4563735 37.1357157, -8.4563937 37.1357378)",Rua Francisco L. M. Veloso,
40065539,,,residential,,,True,False,30.942,"LINESTRING (-8.4569176 37.1356455, -8.4565706 37.1356154)",Rua Francisco L. M. Veloso,
106907822,,,residential,,,False,False,13.632,"LINESTRING (-8.4569176 37.1356455, -8.4570693 37.1356656)",Rua Francisco L. M. Veloso,
106907822,,,residential,,,False,True,71.507,"LINESTRING (-8.4589343 37.1358993, -8.4581361 37.1358064)",Rua Francisco L. M. Veloso,
151167278,,,residential,,,True,False,11.04,"LINESTRING (-8.4589343 37.1358993, -8.4590583 37.1358901)",,
151167277,,,residential,,,True,False,21.494999999999997,"LINESTRING (-8.4589343 37.1358993, -8.4590171 37.1359413, -8.459043 37.1360545)",,
151542224,,,tertiary,,,False,False,95.09100000000001,"LINESTRING (-8.4562556 37.1349259, -8.4564476 37.1349472, -8.4566341 37.1349679, -8.4568374 37.1349905, -8.4573159 37.135055)",Rua Doutor Ernesto Cabrita,
151542224,,,tertiary,,,False,True,39.997,"LINESTRING (-8.4562556 37.1349259, -8.4560401 37.1349026, -8.4558085 37.1348775)",Rua Doutor Ernesto Cabrita,
"[481761977, 151542223]",,,tertiary,,,False,True,70.825,"LINESTRING (-8.4562556 37.1349259, -8.4560759 37.1350465, -8.4556526 37.1353437)","['Rua Hintze Ribeiro', 'Rua Miguel Bombarda']",
151436994,,,residential,,,False,True,32.684,"LINESTRING (-8.4590171 37.1365502, -8.4593832 37.1365851)",,
106594373,,,residential,50,,True,False,69.40100000000001,"LINESTRING (-8.4590171 37.1365502, -8.4590841 37.1364117, -8.4591373 37.1359379)",Rua Município de São Domingo,
40068467,,,residential,,,False,False,24.057,"LINESTRING (-8.4567657 37.1362809, -8.4564984 37.1362435)",Rua Doutor João António da Silva Vieira,
40068467,,,residential,,,False,True,13.704,"LINESTRING (-8.4567657 37.1362809, -8.4569186 37.1362991)",Rua Doutor João António da Silva Vieira,
92722252,,,residential,,,False,False,21.95,"LINESTRING (-8.4567657 37.1362809, -8.456543 37.1361946)",,
92722252,,,residential,,,False,True,21.95,"LINESTRING (-8.456543 37.1361946, -8.4567657 37.1362809)",,
92722252,,,residential,,,False,False,31.332,"LINESTRING (-8.456543 37.1361946, -8.4564922 37.136128, -8.456455 37.1360237, -8.4564473 37.1359285)",,
106906060,,,residential,,,False,False,8.338000000000001,"LINESTRING (-8.456543 37.1361946, -8.4565492 37.1362244, -8.4564984 37.1362435)",,
151169491,,,residential,,,False,False,8.617,"LINESTRING (-8.4556526 37.1353437, -8.4555624 37.1353148)",,
151542223,,,tertiary,,,False,True,22.734,"LINESTRING (-8.4556526 37.1353437, -8.4554903 37.135502)",Rua Miguel Bombarda,
40068468,,,residential,,,False,True,45.655,"LINESTRING (-8.4556526 37.1353437, -8.4559232 37.1354797, -8.4561053 37.1355356)",Rua Francisco L. M. Veloso,
"[481761977, 151542223]",,,tertiary,,,False,False,70.825,"LINESTRING (-8.4556526 37.1353437, -8.4560759 37.1350465, -8.4562556 37.1349259)","['Rua Hintze Ribeiro', 'Rua Miguel Bombarda']",
92718845,,,residential,,,True,False,10.325,"LINESTRING (-8.4498052 37.1327659, -8.4498564 37.1326825)",Rua da Pontinha,
92718850,,,residential,,,True,False,55.815,"LINESTRING (-8.4498052 37.1327659, -8.4502605 37.1331126)",Rua Doutor João Lúcio,
650022165,,,residential,,,False,False,34.403,"LINESTRING (-8.4512536 37.1361043, -8.4509964 37.1358726)",Rua Visconde de Lagoa,
650022165,,,residential,,,False,True,15.515,"LINESTRING (-8.4512536 37.1361043, -8.4513429 37.1362243)",Rua Visconde de Lagoa,
650022168,,,residential,,,False,False,19.135,"LINESTRING (-8.4512536 37.1361043, -8.4510518 37.1361654)",Rua Sousa Martins,
650022168,,,residential,,,False,True,49.194,"LINESTRING (-8.4512536 37.1361043, -8.4516769 37.1358182)",Rua Sousa Martins,
92718875,,,residential,,,False,False,47.69800000000001,"LINESTRING (-8.454229 37.1348057, -8.4542496 37.1349446, -8.4543174 37.1351181, -8.4543849 37.135211)",Rua Vasco da Gama,
92718883,,,residential,,,False,True,71.31099999999999,"LINESTRING (-8.454229 37.1348057, -8.45423 37.1347531, -8.4537421 37.1343112)",Rua Alferes Viana,
92718888,,,residential,,,False,True,44.323,"LINESTRING (-8.454229 37.1348057, -8.4541491 37.1347749, -8.453812 37.1349627)",Rua Luís de Camões,
151534968,,,residential,,,False,False,73.925,"LINESTRING (-8.454229 37.1348057, -8.4543155 37.1348265, -8.4544295 37.1348281, -8.4549666 37.1347618, -8.4550483 37.1347402)",Rua Machado dos Santos,
650022168,,,residential,,,False,False,49.194,"LINESTRING (-8.4516769 37.1358182, -8.4512536 37.1361043)",Rua Sousa Martins,
650022168,,,residential,,,False,True,22.444,"LINESTRING (-8.4516769 37.1358182, -8.4518882 37.135707)",Rua Sousa Martins,
92718860,,,residential,,,False,False,28.954,"LINESTRING (-8.4522026 37.1343638, -8.4524087 37.1341618)",,
