osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed,ref,access,lanes,bridge
54664255,Travessa 25 de Abril,residential,False,False,24.812,"LINESTRING (-8.5034654 41.1916387, -8.5033022 41.1914524)",,,,,,
"[963074970, 156513646]",Avenida 25 de Abril,tertiary,False,False,109.638,"LINESTRING (-8.5034654 41.1916387, -8.5027529 41.1922783, -8.5026252 41.1923953)",,,,,,
54664355,Rua do Vale de Achas,tertiary,True,False,62.808,"LINESTRING (-8.5037642 41.1928406, -8.50374 41.1926871, -8.5037936 41.1925091, -8.503956 41.1923169)",,,,,,
156514143,,secondary,True,False,25.393,"LINESTRING (-8.5037642 41.1928406, -8.5037084 41.1928218, -8.503649 41.1928114, -8.5035899 41.1928098, -8.5035289 41.192817, -8.5034721 41.1928326)",roundabout,,,,,
156514143,,secondary,True,False,15.736,"LINESTRING (-8.5034721 41.1928326, -8.5034163 41.1928582, -8.5033712 41.19289, -8.5033356 41.1929272)",roundabout,,,,,
156514143,,secondary,True,False,41.671,"LINESTRING (-8.5038802 41.1931665, -8.5039064 41.1931236, -8.5039207 41.1930777, -8.5039228 41.1930327, -8.5039131 41.1929865, -8.5038911 41.1929422, -8.503858 41.192902, -8.5038157 41.1928682, -8.5037642 41.1928406)",roundabout,,,,,
1156376531,Rua Mário Cal Brandão,secondary,False,True,11.472,"LINESTRING (-8.5033037 41.1936313, -8.5032219 41.1935485)",,,,,,
156514076,,secondary,True,False,46.397999999999996,"LINESTRING (-8.5033037 41.1936313, -8.5033169 41.1935275, -8.5033923 41.1934126, -8.5034591 41.1933569, -8.5035657 41.1932819)",,,,,,
1208344472,,secondary,True,False,20.652,"LINESTRING (-8.5036884 41.1932762, -8.5037464 41.19326, -8.5037995 41.1932353, -8.503844 41.1932041, -8.5038802 41.1931665)",roundabout,,,,,
1208337192,,secondary,True,False,10.337,"LINESTRING (-8.5035657 41.1932819, -8.5036279 41.1932836, -8.5036884 41.1932762)",roundabout,,,,,
54664394,Rua João de Deus,residential,False,False,7.768,"LINESTRING (-8.5028593 41.1869076, -8.5027695 41.1869253)",,50,,,,
54664277,Rua Sousa Viterbo,residential,False,True,33.014,"LINESTRING (-8.5028593 41.1869076, -8.5029685 41.1868813, -8.5032033 41.1867667)",,50,,,,
54664277,Rua Sousa Viterbo,residential,False,False,9.739,"LINESTRING (-8.503301 41.1867191, -8.5032033 41.1867667)",,50,,,,
54664394,Rua João de Deus,residential,False,True,7.768,"LINESTRING (-8.5027695 41.1869253, -8.5028593 41.1869076)",,50,,,,
54664283,Rua Dias de Oliveira,residential,False,True,107.722,"LINESTRING (-8.5027695 41.1869253, -8.5027606 41.1869762, -8.5027682 41.1871059, -8.5027186 41.1874444, -8.502597 41.1877619, -8.5025363 41.1878692)",,30,,,,
