osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,junction,access
44350990,True,1,EN 362,Avenida da Igreja,secondary,False,21.039,"LINESTRING (-8.8202935 39.6024615, -8.8204052 39.602293)",,,,
858276775,False,2,EN 362,Rua Mestre de Aviz,secondary,True,18.078,"LINESTRING (-8.8202935 39.6024615, -8.8204128 39.6025956)",,,,
55446818,True,1,EN 243,,primary,False,19.307,"LINESTRING (-8.8241762 39.5994721, -8.8240223 39.5994365, -8.8239606 39.5994216)",,,,
55446815,False,2,EN 243,Avenida de São Pedro,primary,False,35.788,"LINESTRING (-8.8234751 39.599486, -8.8230575 39.5994788)",50,,,
55446820,True,1,EN 243,,primary,False,25.304,"LINESTRING (-8.8234751 39.599486, -8.823701 39.5995283, -8.8237621 39.5995397)",,,,
"[55446815, 546539340, 546539335]",False,2,EN 243,Avenida de São Pedro,primary,True,216.73000000000002,"LINESTRING (-8.8205404 39.5996427, -8.8209762 39.5995751, -8.8229412 39.5994835, -8.8230575 39.5994788)",50,yes,,
787352414,False,2,EN 243,Largo do Rossio,primary,True,19.877000000000002,"LINESTRING (-8.8205404 39.5996427, -8.8204796 39.5996488, -8.8203091 39.5996549)",50,,,
787352416,False,,,Beco do Lena,residential,True,48.260999999999996,"LINESTRING (-8.8205404 39.5996427, -8.8205624 39.5994717, -8.8205795 39.5993328, -8.8206206 39.5992143)",,,,
546538937,True,1,EN 243,Largo do Rossio,primary,False,32.674,"LINESTRING (-8.8199316 39.5996966, -8.8201286 39.5996748, -8.8203091 39.5996549)",50,,,
863185362,True,1,EN 243,Rotunda do Rossio,primary,False,14.786,"LINESTRING (-8.8199316 39.5996966, -8.8199481 39.5996659, -8.8199514 39.5996328, -8.8199412 39.5996005, -8.8199184 39.5995722)",,,roundabout,
798968232,True,1,EN 243,Rotunda do Rossio,primary,False,3.33,"LINESTRING (-8.8197618 39.5997387, -8.8197994 39.5997463)",,,roundabout,
787352424,False,2,EN 362,Avenida da Igreja,secondary,True,19.484,"LINESTRING (-8.8197994 39.5997463, -8.8198336 39.5998167, -8.8198706 39.5999126)",,,,
798968232,True,1,EN 243,Rotunda do Rossio,primary,False,13.259,"LINESTRING (-8.8197994 39.5997463, -8.819838 39.5997454, -8.8198749 39.5997363, -8.8199069 39.5997196, -8.8199316 39.5996966)",,,roundabout,
863185361,True,1,EN 243,Rotunda do Rossio,primary,False,7.375,"LINESTRING (-8.8199184 39.5995722, -8.8198855 39.5995508, -8.8198456 39.5995384)",,,roundabout,
798968232,True,1,EN 243,Rotunda do Rossio,primary,False,7.841,"LINESTRING (-8.8196913 39.5995955, -8.8196812 39.5996177, -8.8196777 39.5996411, -8.819681 39.5996644)",,,roundabout,
787352421,True,1,EM 543,Avenida da Liberdade,secondary,False,26.385,"LINESTRING (-8.819681 39.5996644, -8.8195679 39.5998851)",50,,,
798968232,True,1,EN 243,Rotunda do Rossio,primary,False,11.173,"LINESTRING (-8.819681 39.5996644, -8.8196919 39.5996881, -8.8197097 39.5997091, -8.8197334 39.5997264, -8.8197618 39.5997387)",,,roundabout,
861223296,False,,,Rua da Saudade,residential,True,50.513,"LINESTRING (-8.8160951 39.6014577, -8.8157169 39.6011092)",50,,,
861223296,False,,,Rua da Saudade,residential,False,27.577,"LINESTRING (-8.8160951 39.6014577, -8.8163032 39.6015674, -8.8163688 39.6015856)",50,,,
863103296,False,,,Azinhaga do Escorial,residential,False,179.01,"LINESTRING (-8.8160951 39.6014577, -8.815988 39.6015005, -8.8159101 39.60152, -8.8158093 39.601527, -8.8157359 39.6015429, -8.8156832 39.6015606, -8.8156489 39.6015853, -8.8156191 39.6016277, -8.8155778 39.6017212, -8.8155343 39.6018731, -8.8154747 39.6021415, -8.8154243 39.6022898, -8.8154174 39.6024381, -8.8154678 39.6025776, -8.8155952 39.6027692)",,,,
787356737,True,,EN 243,,primary,False,17.268,"LINESTRING (-8.8237621 39.5995397, -8.8237787 39.5995494, -8.8238108 39.5995607, -8.8238456 39.5995647, -8.8238806 39.5995613, -8.8239129 39.5995506, -8.8239434 39.5995309)",,,roundabout,
55446819,True,1,EN 243,,primary,False,22.185,"LINESTRING (-8.8237258 39.5994361, -8.8234751 39.599486)",,,,
