osmid,name,highway,oneway,reversed,length,bridge,geometry,ref,junction,tunnel
"[116504794, 116504458, 116504484, 118312021]",Avenida Doutor Carlos Ferreira Soares,tertiary,False,False,442.722,yes,"LINESTRING (-8.5891066 41.0121144, -8.5916771 41.0112732, -8.5925021 41.0109906, -8.5925996 41.0109305, -8.592664 41.0108684, -8.5926992 41.0108101, -8.5927126 41.0107381, -8.5926951 41.0106533, -8.5926586 41.0105711, -8.5926046 41.0104652, -8.5923618 41.0100824, -8.5922808 41.0099317)",,,
"[371520329, 116504505, 913808730]",Rua da Venezuela,tertiary,False,True,144.385,yes,"LINESTRING (-8.5891066 41.0121144, -8.5888485 41.0119153, -8.5881017 41.0113016, -8.5879612 41.0111478)",,,
116504794,Avenida Doutor Carlos Ferreira Soares,tertiary,False,True,4.743,,"LINESTRING (-8.5923132 41.0097647, -8.592305 41.0098069)",,,
941602969,Rua Floresta e Mar,residential,True,False,21.356,,"LINESTRING (-8.5923132 41.0097647, -8.592225 41.0097162, -8.5920805 41.0097041)",,,
116504822,Rua Floresta e Mar,residential,False,False,82.751,,"LINESTRING (-8.5917573 41.0098177, -8.5911474 41.0099887, -8.5908366 41.0100842)",,,
941602970,Rua Floresta e Mar,residential,True,False,26.161,,"LINESTRING (-8.5917573 41.0098177, -8.5920649 41.0098095, -8.5920681 41.0098113)",,,
116504569,Rua da Jacinta,residential,False,True,110.816,,"LINESTRING (-8.5906302 41.0091565, -8.5907166 41.0091239, -8.5910512 41.0090954, -8.591537 41.0090221, -8.5918284 41.0089814, -8.5919225 41.0089941)",,,
118312221,Rua da Portela,residential,False,False,228.55,,"LINESTRING (-8.5906302 41.0091565, -8.5905092 41.0089669, -8.5903068 41.0086764, -8.5900749 41.0083822, -8.5899169 41.0081215, -8.5898627 41.0078422, -8.5898676 41.007615, -8.5898765 41.0072368)",,,
118312221,Rua da Portela,residential,False,True,86.694,,"LINESTRING (-8.5906302 41.0091565, -8.5906474 41.0092313, -8.590672 41.009317, -8.5906918 41.0098049, -8.5906918 41.0098942, -8.590704 41.0099317)",,,
116504822,Rua Floresta e Mar,residential,False,True,82.751,,"LINESTRING (-8.5908366 41.0100842, -8.5911474 41.0099887, -8.5917573 41.0098177)",,,
