osmid,ref,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,bridge
434884642,EM 545-3,Rua da Fonte Velha,secondary,30,False,True,40.387,,"LINESTRING (-8.641745 41.204039, -8.641722 41.2036762)",
"[1016953368, 434882600, 168970820]",EM 545-3,"['Rua da Fonte Velha', 'Rua da Cal']",secondary,30,False,False,92.455,yes,"LINESTRING (-8.641745 41.204039, -8.6418753 41.204273, -8.6420565 41.2046577, -8.6421144 41.2047934, -8.6421254 41.2048192)",
25704813,,Rua 26 de Agosto de 2003,secondary,,False,True,378.08500000000004,,"LINESTRING (-8.6479845 41.207874, -8.6480497 41.207808, -8.6483055 41.2075488, -8.6484803 41.2073601, -8.6486574 41.2071595, -8.6487261 41.2070561, -8.6487862 41.2069205, -8.6489093 41.2065614, -8.6490694 41.206094, -8.6491638 41.2058357, -8.6492583 41.2056743, -8.6493441 41.205558, -8.6494557 41.2054612, -8.6495643 41.2053776, -8.6497265 41.2052913, -8.6499617 41.2052169, -8.6502781 41.2051455)",
95799832,EM 545-3,Rua António José de Almeida,secondary,,False,False,220.237,,"LINESTRING (-8.6479845 41.207874, -8.6481081 41.2079739, -8.6481142 41.2079788, -8.6494183 41.2093004, -8.6494682 41.2093839, -8.6494942 41.2094819)",
"[95799832, 95799833, 25687606]",EM 545-3,Rua António José de Almeida,secondary,,False,True,25.369999999999997,,"LINESTRING (-8.6479845 41.207874, -8.6478801 41.2078141, -8.6478702 41.2078084, -8.6477435 41.2077557, -8.6477305 41.2077505)",yes
25687606,EM 545-3,Rua António José de Almeida,secondary,,False,False,223.945,,"LINESTRING (-8.6421254 41.2048192, -8.6424258 41.2049547, -8.6439124 41.2052872, -8.6440775 41.2053565, -8.6441921 41.205458, -8.6443387 41.2056437, -8.6444013 41.205723)",
"[434882600, 1016953368, 168970820]",EM 545-3,"['Rua da Fonte Velha', 'Rua da Cal']",secondary,30,False,True,92.455,yes,"LINESTRING (-8.6421254 41.2048192, -8.6421144 41.2047934, -8.6420565 41.2046577, -8.6418753 41.204273, -8.641745 41.204039)",
1123747339,EM 545-3,Rua da Cal,tertiary,,False,False,171.032,,"LINESTRING (-8.6421254 41.2048192, -8.64234 41.2054004, -8.6425116 41.2058266, -8.6425253 41.2060843, -8.6425376 41.2063158)",
434884642,EM 545-3,Rua da Fonte Velha,secondary,30,False,False,40.387,,"LINESTRING (-8.641722 41.2036762, -8.641745 41.204039)",
1118730755,,Largo do Souto,secondary,,True,False,41.744,,"LINESTRING (-8.641722 41.2036762, -8.6419215 41.2033321)",
