osmid,name,highway,oneway,reversed,length,geometry,ref,junction
98519043,,residential,False,False,172.778,"LINESTRING (-8.4467979 40.6280821, -8.4467957 40.6279894, -8.4467806 40.6278687, -8.4467224 40.6276466, -8.4466879 40.627487, -8.4466663 40.6272628, -8.4466426 40.6271464, -8.4465887 40.6270084, -8.4464939 40.6268833, -8.4463882 40.626782, -8.446302 40.6267065, -8.446261 40.6266202)",,
154250300,Rua do Passal,tertiary,False,True,188.72400000000002,"LINESTRING (-8.4467979 40.6280821, -8.4462044 40.6273885, -8.4460605 40.6272311, -8.4459081 40.6270924, -8.4457363 40.6270014, -8.4455513 40.6269347, -8.4454425 40.6269167, -8.4453127 40.6269065)",,
163799400,Rua Ponte da Sardanita,tertiary,False,False,93.571,"LINESTRING (-8.4384163 40.6246641, -8.4393006 40.6251717)",EM 575-1,
98519043,,residential,False,True,702.5860000000002,"LINESTRING (-8.4384163 40.6246641, -8.438502 40.6246321, -8.4385745 40.6246056, -8.4386778 40.6245897, -8.4389269 40.6245765, -8.4391132 40.6245712, -8.439289 40.6245482, -8.4393932 40.6245155, -8.4395186 40.6244369, -8.4398144 40.6242462, -8.44009 40.6240536, -8.4402967 40.6239318, -8.440468 40.6238532, -8.4407798 40.6237216, -8.4408795 40.6236818, -8.4410076 40.623665, -8.4413335 40.6236394, -8.4415172 40.6236324, -8.4416444 40.623635, -8.4418069 40.6236518, -8.4419376 40.623658, -8.442108 40.6236562, -8.4425443 40.6236121, -8.4428614 40.6235785, -8.4430098 40.623567, -8.4431581 40.6235864, -8.4432924 40.62362, -8.4440086 40.6239856, -8.4440943 40.6240263, -8.4443626 40.6241598, -8.4447766 40.6244205, -8.4450176 40.6245767, -8.4452302 40.6247052, -8.4453956 40.6248077, -8.4454811 40.6248586, -8.4455941 40.6249116, -8.4457306 40.6249708)",,
98519043,,residential,False,False,702.5860000000001,"LINESTRING (-8.4457306 40.6249708, -8.4455941 40.6249116, -8.4454811 40.6248586, -8.4453956 40.6248077, -8.4452302 40.6247052, -8.4450176 40.6245767, -8.4447766 40.6244205, -8.4443626 40.6241598, -8.4440943 40.6240263, -8.4440086 40.6239856, -8.4432924 40.62362, -8.4431581 40.6235864, -8.4430098 40.623567, -8.4428614 40.6235785, -8.4425443 40.6236121, -8.442108 40.6236562, -8.4419376 40.623658, -8.4418069 40.6236518, -8.4416444 40.623635, -8.4415172 40.6236324, -8.4413335 40.6236394, -8.4410076 40.623665, -8.4408795 40.6236818, -8.4407798 40.6237216, -8.440468 40.6238532, -8.4402967 40.6239318, -8.44009 40.6240536, -8.4398144 40.6242462, -8.4395186 40.6244369, -8.4393932 40.6245155, -8.439289 40.6245482, -8.4391132 40.6245712, -8.4389269 40.6245765, -8.4386778 40.6245897, -8.4385745 40.6246056, -8.438502 40.6246321, -8.4384163 40.6246641)",,
98519043,,residential,False,True,189.88099999999997,"LINESTRING (-8.4457306 40.6249708, -8.4457564 40.6251023, -8.4458297 40.6253352, -8.4458686 40.6254732, -8.4459246 40.6255939, -8.4460152 40.6257319, -8.4461165 40.6259475, -8.446164 40.6260726, -8.446179 40.6261955, -8.44622 40.6263723, -8.4462502 40.6265275, -8.446261 40.6266202)",,
98519043,,residential,False,False,189.88099999999997,"LINESTRING (-8.446261 40.6266202, -8.4462502 40.6265275, -8.44622 40.6263723, -8.446179 40.6261955, -8.446164 40.6260726, -8.4461165 40.6259475, -8.4460152 40.6257319, -8.4459246 40.6255939, -8.4458686 40.6254732, -8.4458297 40.6253352, -8.4457564 40.6251023, -8.4457306 40.6249708)",,
98519043,,residential,False,True,172.778,"LINESTRING (-8.446261 40.6266202, -8.446302 40.6267065, -8.4463882 40.626782, -8.4464939 40.6268833, -8.4465887 40.6270084, -8.4466426 40.6271464, -8.4466663 40.6272628, -8.4466879 40.627487, -8.4467224 40.6276466, -8.4467806 40.6278687, -8.4467957 40.6279894, -8.4467979 40.6280821)",,
363221962,,residential,False,False,86.184,"LINESTRING (-8.446261 40.6266202, -8.4457785 40.6267696, -8.4454607 40.6268722, -8.4453127 40.6269065)",,
105667874,Rua do Ramal,residential,False,False,120.99300000000001,"LINESTRING (-8.4387382 40.6307971, -8.4387472 40.6309682, -8.4387788 40.6312744, -8.4388463 40.631576, -8.4388733 40.6317876, -8.4389003 40.6318765)",,
