osmid,ref,highway,junction,oneway,reversed,length,geometry,name,bridge,lanes
1054361643,EN 13;EN 101,primary,roundabout,True,False,12.538,"LINESTRING (-8.6420192 42.0267377, -8.641964 42.0267765, -8.6419302 42.0268269)",,,
"[462325488, 462325495, 157523871]",EN 101,primary,,True,False,100.843,"LINESTRING (-8.6419302 42.0268269, -8.6416706 42.0268933, -8.641557 42.0269158, -8.6412429 42.026952, -8.6411678 42.0269645, -8.6409166 42.0270073, -8.640749 42.0270477)",,,
1054361643,EN 13;EN 101,primary,roundabout,True,False,13.144,"LINESTRING (-8.6419302 42.0268269, -8.641922 42.0268857, -8.641943 42.0269427)",,,
"[1054361643, 30641239]",EN 13;EN 101,primary,roundabout,True,False,9.96,"LINESTRING (-8.641943 42.0269427, -8.6419765 42.0269799, -8.6420225 42.0270089)",EN 101,,
30641239,EN 13;EN 101,primary,roundabout,True,False,14.764,"LINESTRING (-8.6420225 42.0270089, -8.6421063 42.027032, -8.6421955 42.0270281)",EN 101,,
173863215,EN 13,primary,,True,False,47.568,"LINESTRING (-8.6420225 42.0270089, -8.6420389 42.0270402, -8.6420723 42.0271091, -8.6420766 42.0272018, -8.6420348 42.0273761, -8.6420245 42.0274267)",Avenida de Espanha,,
30641239,EN 13;EN 101,primary,roundabout,True,False,18.177999999999997,"LINESTRING (-8.6421955 42.0270281, -8.6422464 42.0270125, -8.6422902 42.0269878, -8.6423244 42.0269558, -8.6423466 42.0269184)",EN 101,,
48255727,EN 13,primary,,True,False,32.577,"LINESTRING (-8.6421535 42.0273193, -8.6421737 42.0272146, -8.6421955 42.0270281)",Avenida de Espanha,,
173863213,,primary,,False,False,23.537,"LINESTRING (-8.6420322 42.0314943, -8.6421259 42.0316942)",Avenida de Espanha,,
173863213,,primary,,False,True,156.455,"LINESTRING (-8.6420322 42.0314943, -8.641989 42.0313359, -8.6419578 42.0300907)",Avenida de Espanha,,
1161379842,EN 13-10,unclassified,,True,False,32.068,"LINESTRING (-8.6420322 42.0314943, -8.641947 42.0315615, -8.6419152 42.0316733, -8.6419128 42.0317551)",,,
1136327409,,tertiary,,True,False,16.962,"LINESTRING (-8.6420203 42.0228305, -8.6421501 42.0229487)",,,
55179870,,residential,,False,False,239.55599999999998,"LINESTRING (-8.6389829 42.030849, -8.6390963 42.0306399, -8.639199 42.0304458, -8.6393106 42.0302426, -8.6394179 42.0297804, -8.6394822 42.0294217, -8.6395312 42.0292389, -8.6395209 42.0291652, -8.6394323 42.0290861, -8.6391313 42.0288762)",,,
"[126754840, 126753490, 126754854]",,residential,,False,False,303.004,"LINESTRING (-8.6389829 42.030849, -8.638463 42.030657, -8.6382984 42.030553, -8.6378157 42.0302027, -8.637642 42.0301381, -8.6374687 42.0300869, -8.6372567 42.030049, -8.6370319 42.0300742, -8.6367239 42.0301057, -8.6363234 42.0301961, -8.6359128 42.0302969, -8.6357143 42.0303453)",,yes,
126753490,,residential,,False,True,124.016,"LINESTRING (-8.6389829 42.030849, -8.6394272 42.0310224, -8.6398849 42.0311598, -8.6403693 42.0312683)",,,
80432548,,residential,,False,False,247.17000000000002,"LINESTRING (-8.6391248 42.025848, -8.6394648 42.0253817, -8.6396697 42.0251007, -8.6397578 42.0250527, -8.6398804 42.0250161, -8.6400562 42.0249954, -8.6402773 42.0249735, -8.6409455 42.0249089, -8.6412945 42.0248752, -8.6414734 42.0248604)",,,
"[462325497, 80432548]",,residential,,False,True,192.99699999999999,"LINESTRING (-8.6391248 42.025848, -8.6385396 42.0266485, -8.6383988 42.0269781, -8.6383823 42.0270562, -8.638379 42.0271223, -8.6384313 42.0273327, -8.6384448 42.027397, -8.6384548 42.0274512)",,,
80432549,,residential,,False,False,251.474,"LINESTRING (-8.6391248 42.025848, -8.639268 42.0258984, -8.6400896 42.0261261, -8.6401958 42.0261491, -8.6412414 42.026376, -8.6420095 42.0265651)",,,
80432742,,residential,,False,False,93.232,"LINESTRING (-8.637326 42.0276541, -8.637303 42.0278885, -8.6371201 42.0282706, -8.6370991 42.0283541, -8.6371208 42.0284659)",,,
111658877,EN 101,primary,,False,False,91.437,"LINESTRING (-8.637326 42.0276541, -8.6367994 42.0277423, -8.6362461 42.027835)",,,
"[462325498, 462325499, 111658877, 111658933]",EN 101,primary,,False,True,95.932,"LINESTRING (-8.637326 42.0276541, -8.63741 42.0276402, -8.6376752 42.0275947, -8.6383079 42.0274796, -8.6383867 42.0274651, -8.6384548 42.0274512)",,yes,
80432742,,residential,,False,True,93.232,"LINESTRING (-8.6371208 42.0284659, -8.6370991 42.0283541, -8.6371201 42.0282706, -8.637303 42.0278885, -8.637326 42.0276541)",,,
80432548,,residential,,False,True,247.16999999999996,"LINESTRING (-8.6414734 42.0248604, -8.6412945 42.0248752, -8.6409455 42.0249089, -8.6402773 42.0249735, -8.6400562 42.0249954, -8.6398804 42.0250161, -8.6397578 42.0250527, -8.6396697 42.0251007, -8.6394648 42.0253817, -8.6391248 42.025848)",,,
126754079,,tertiary,,False,True,83.229,"LINESTRING (-8.6414734 42.0248604, -8.6416394 42.0248429, -8.6423621 42.0247822, -8.6424738 42.0247715)",Avenida do Colégio Português,,
566455492,EN 13,primary,,False,False,172.26299999999998,"LINESTRING (-8.6414734 42.0248604, -8.641518 42.0249975, -8.6417213 42.0256155, -8.6419723 42.0263646)",Avenida Miguel Dantas,,2
100180642,EN 13,primary,,True,False,19.209,"LINESTRING (-8.6420095 42.0265651, -8.6420192 42.0267377)",,,
80432549,,residential,,False,True,251.474,"LINESTRING (-8.6420095 42.0265651, -8.6412414 42.026376, -8.6401958 42.0261491, -8.6400896 42.0261261, -8.639268 42.0258984, -8.6391248 42.025848)",,,
100180642,EN 13,primary,,True,False,22.505,"LINESTRING (-8.6419723 42.0263646, -8.6420095 42.0265651)",,,
566455492,EN 13,primary,,False,True,172.263,"LINESTRING (-8.6419723 42.0263646, -8.6417213 42.0256155, -8.641518 42.0249975, -8.6414734 42.0248604)",Avenida Miguel Dantas,,2
126754081,,residential,,False,True,55.14,"LINESTRING (-8.6437894 42.0246481, -8.6431264 42.0247058)",,,
126754087,,residential,,False,False,62.242,"LINESTRING (-8.6437894 42.0246481, -8.6436874 42.0240935)",,,
126754081,,residential,,False,False,78.346,"LINESTRING (-8.6437894 42.0246481, -8.6438211 42.0247021, -8.6441054 42.0250607, -8.6443176 42.0252275)",,,
126754082,,tertiary,,False,True,55.307,"LINESTRING (-8.6426129 42.0248674, -8.6426371 42.0250361, -8.642696 42.0253609)",,,
126754095,,tertiary,roundabout,True,False,21.876,"LINESTRING (-8.6426129 42.0248674, -8.6426565 42.0248624, -8.6426958 42.0248475, -8.642727 42.0248242, -8.6427468 42.024795, -8.6427534 42.0247625, -8.6427461 42.0247302)",,,
126754082,,tertiary,,False,False,75.08800000000001,"LINESTRING (-8.643047 42.0264894, -8.6430213 42.0264249, -8.6427954 42.0258405)",,,
412071352,EN 101,primary,,True,False,71.587,"LINESTRING (-8.643047 42.0264894, -8.6430165 42.0265003, -8.6429387 42.0265362, -8.6428582 42.026576, -8.642708 42.0266537, -8.6426248 42.0266956, -8.6425524 42.0267294, -8.6424869 42.0267547, -8.642413 42.0267713, -8.6423566 42.0267753, -8.6422925 42.0267589)",Avenida dos Bombeiros Voluntários,,2
126754068,,residential,,False,False,49.946,"LINESTRING (-8.6458354 42.0238094, -8.6452909 42.0236141)",,,
