osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
488940758,Rua do Estrela,secondary,,True,False,88.747,"LINESTRING (-25.5225576 37.8231106, -25.5226432 37.8230841, -25.5234904 37.8228039)",,,,,
156808772,Rua do Ouvidor,residential,,False,False,75.783,"LINESTRING (-25.5207472 37.8198198, -25.5213696 37.81973, -25.5215931 37.8196869)",,,50,,
584535464,Rua Dos Condes da Ribeira Grande,residential,,True,False,114.81,"LINESTRING (-25.5207472 37.8198198, -25.5206866 37.8206538, -25.5207494 37.8208446)",,,,,
156808772,Rua do Ouvidor,residential,,False,True,62.042,"LINESTRING (-25.5233033 37.8192442, -25.5226376 37.8194307)",,,50,,
49449122,Rua das Rosas,residential,,True,False,79.374,"LINESTRING (-25.5233033 37.8192442, -25.523958 37.8189772, -25.5241075 37.8189187)",,,,,
156806153,Rua Artur Hintze Ribeiro,tertiary,,True,False,123.794,"LINESTRING (-25.5233033 37.8192442, -25.5229169 37.8185936, -25.5227322 37.8182269)",,,50,,
87555839,Rua do Passal,primary,,True,False,24.258,"LINESTRING (-25.5197936 37.8222579, -25.5196802 37.8223017, -25.5195562 37.8223683)",,ER 1-1ª,50,,
"[87555836, 87555841, 543339524]",,primary,,False,True,30.293,"LINESTRING (-25.5197936 37.8222579, -25.5198486 37.8222399, -25.5200147 37.8221812, -25.520107 37.8221444)",,ER 1-1ª,50,yes,
307013418,Rua East Providence,residential,,True,False,34.694,"LINESTRING (-25.5210172 37.8235882, -25.5212501 37.8238402)",,,,,
"[51301544, 488939370, 488940758]","['Rua Sousa e Silva', 'Rua do Estrela']",secondary,4.5,True,False,145.357,"LINESTRING (-25.5210172 37.8235882, -25.5213574 37.8234769, -25.5217745 37.8233511, -25.5224272 37.8231487, -25.5225576 37.8231106)",,,"['50', '30']",yes,
"[543534953, 87213061]",Rua East Providence,residential,,True,False,94.675,"LINESTRING (-25.5210172 37.8235882, -25.5206057 37.8230806, -25.5203456 37.8232207)",,,,,
382480533,Rua da Praca,residential,,False,False,12.732,"LINESTRING (-25.5225738 37.8248095, -25.5226667 37.8247216)",,,,,
382480533,Rua da Praca,residential,,False,True,55.858,"LINESTRING (-25.5225738 37.8248095, -25.5222253 37.8252297)",,,,,
488935564,Rua Do Conde Jacome Correia,residential,,True,False,44.382,"LINESTRING (-25.5197001 37.8230898, -25.5199656 37.8234294)",,,,,
"[1209547634, 51301510]",Rua da Praca,residential,,True,False,80.86,"LINESTRING (-25.5197001 37.8230898, -25.5200529 37.8229039, -25.5203456 37.8232207)",1,,,,
488935564,Rua Do Conde Jacome Correia,residential,,True,False,66.787,"LINESTRING (-25.5193005 37.8225788, -25.5197001 37.8230898)",,,,,
87555839,Rua do Passal,primary,,True,False,75.027,"LINESTRING (-25.5193005 37.8225788, -25.5189085 37.8228776, -25.5186841 37.8230459)",,ER 1-1ª,50,,
584535475,Rua Do Conde Jacome Correia,residential,,True,False,52.193,"LINESTRING (-25.5199656 37.8234294, -25.5202649 37.8238349)",,,,,
