osmid,highway,oneway,reversed,length,bridge,lanes,geometry,name,junction
"[133422696, 133422699]",secondary,False,True,239.84999999999997,viaduct,2,"LINESTRING (-8.6019902 40.6850635, -8.6014314 40.6845883, -8.6008926 40.6841536, -8.6004873 40.6838235, -8.6000557 40.6834824)",,
160093607,secondary,True,False,49.714000000000006,,,"LINESTRING (-8.6019902 40.6850635, -8.6019947 40.68519, -8.6019894 40.6852469, -8.6019518 40.6853079, -8.6018928 40.6853771, -8.6018019 40.6854676)",,
547942824,secondary,True,False,72.066,yes,1,"LINESTRING (-8.5992803 40.6832418, -8.5995997 40.6832831, -8.5998626 40.6833685, -8.6000557 40.6834824)",,
160093602,secondary,False,True,33.721,,,"LINESTRING (-8.6015084 40.6856736, -8.6018019 40.6854676)",Rua Major Lucas Amaro Rodrigues,
158889959,residential,False,True,143.587,,,"LINESTRING (-8.6015084 40.6856736, -8.602118 40.6859344, -8.6023433 40.686089, -8.6024881 40.6862639, -8.6026383 40.6864917, -8.6026838 40.6865514)",Rua da Mêlhera,
158889973,residential,False,False,315.141,,,"LINESTRING (-8.6015084 40.6856736, -8.6012328 40.685552, -8.6009271 40.6854585, -8.6007768 40.6854666, -8.6006106 40.6855398, -8.6004174 40.6856741, -8.600301 40.6857231, -8.6002136 40.6857188, -8.59913 40.6853527, -8.5989814 40.6853245, -8.59874 40.6852878, -8.5980624 40.6852838)",Rua da Mêlhera,
160093602,secondary,False,False,191.22899999999998,,,"LINESTRING (-8.6015084 40.6856736, -8.6013763 40.6857691, -8.6009164 40.6861015, -8.600399 40.6864886, -8.6000881 40.6867245, -8.6000352 40.6867647, -8.5998825 40.6868724)",Rua Major Lucas Amaro Rodrigues,
559572570,secondary,False,False,18.561,,,"LINESTRING (-8.5980354 40.6837294, -8.5982239 40.6836432)",Avenida Fernando Augusto de Oliveira,
133422703,secondary,False,True,97.173,,,"LINESTRING (-8.5980354 40.6837294, -8.5977463 40.6838367, -8.5971742 40.6840492, -8.597053 40.6840942, -8.5970004 40.6841137)",Avenida Fernando Augusto de Oliveira,
559572569,residential,False,True,147.541,,,"LINESTRING (-8.5980354 40.6837294, -8.5979986 40.6836593, -8.5977906 40.683263, -8.5976512 40.6829975, -8.5981839 40.6826405)",Avenida Manuel Álvaro Lopes Pereira,
160093602,secondary,False,False,33.721,,,"LINESTRING (-8.6018019 40.6854676, -8.6015084 40.6856736)",Rua Major Lucas Amaro Rodrigues,
160093592,secondary,True,False,60.809,,,"LINESTRING (-8.6018019 40.6854676, -8.6020229 40.685337, -8.602102 40.6852713, -8.6021181 40.6852144, -8.6021034 40.6851499, -8.6019902 40.6850635)",,
158889934,unclassified,False,True,234.006,,,"LINESTRING (-8.5998825 40.6868724, -8.5986095 40.6857557, -8.5982716 40.6854587, -8.5980624 40.6852838)",Rua Tenente Coronel José Afonso Lucas,
