osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,lanes,ref,junction,bridge
128396435,Rua do Comércio,tertiary,30,5,False,False,20.465,"LINESTRING (-8.5567203 40.6783476, -8.5567035 40.678164)",,,,
128396445,Travessa do Bocage,unclassified,,2,False,True,37.789,"LINESTRING (-8.5567203 40.6783476, -8.5562799 40.6784104)",,,,
128396435,Rua do Comércio,tertiary,30,5,False,True,50.512,"LINESTRING (-8.5567203 40.6783476, -8.5567252 40.6783831, -8.5567419 40.678505, -8.5567637 40.6786784, -8.5567741 40.6787597, -8.5567785 40.6787997)",,,,
74490319,Rua da Agra,residential,30,4,False,False,252.76700000000002,"LINESTRING (-8.55718 40.6800739, -8.5573741 40.6799994, -8.5577294 40.6798013, -8.5581679 40.6796032, -8.558455 40.6792848, -8.5585941 40.6791962, -8.558647 40.6791511, -8.5586471 40.6790755, -8.5586529 40.6790321, -8.5586643 40.6789146, -8.5586571 40.678883, -8.5585321 40.6786685, -8.5584258 40.6785224, -8.5583572 40.6784007)",,,,
74490324,Rua da Liberdade,tertiary,30,6,False,True,334.93899999999996,"LINESTRING (-8.55718 40.6800739, -8.5571997 40.6801948, -8.5572118 40.6802785, -8.5572405 40.6804765, -8.557251 40.6805347, -8.5572857 40.6807614, -8.5573186 40.6808603, -8.5573917 40.6810957, -8.5574329 40.6812599, -8.5574371 40.681276, -8.5575785 40.6818197, -8.5576534 40.6821818, -8.557677 40.6823536, -8.5576859 40.6824402, -8.5576845 40.6825991, -8.557683 40.682789, -8.55768 40.6828459, -8.5576726 40.6829226, -8.5576719 40.6829296, -8.5576601 40.6830519)",,,,
1186574192,Rua do Comércio,tertiary,30,5,False,False,33.809,"LINESTRING (-8.55718 40.6800739, -8.5570753 40.6799244, -8.5570275 40.6798548, -8.5570037 40.6798378, -8.5569725 40.679817)",,,,
74686150,Rua Manuel Dias Branco,residential,30,5,False,False,48.732,"LINESTRING (-8.5574936 40.677799, -8.5580623 40.6778768)",,,,
"[74490315, 128396435]","['Rua do Comércio', 'Rua da Fonte']",tertiary,30,5,False,True,80.84100000000001,"LINESTRING (-8.5574936 40.677799, -8.5569061 40.6779888, -8.556848 40.6780105, -8.5567282 40.6781024, -8.5567035 40.678164)",,,,
74490318,Rua Várzea 5 Outubro,tertiary,30,6,False,False,219.34599999999998,"LINESTRING (-8.5574936 40.677799, -8.5575277 40.6777346, -8.5575489 40.6775309, -8.5576449 40.6764735, -8.5576731 40.67613, -8.5576999 40.6759914, -8.5577708 40.6758463)",,,,
74499136,Rotunda do Areal,primary,30,5,True,False,28.704,"LINESTRING (-8.5605887 40.6745651, -8.5606325 40.6745811, -8.5606802 40.6745882, -8.5607287 40.6745858, -8.5607748 40.6745741, -8.5608155 40.6745538, -8.560848 40.6745264, -8.5608702 40.6744936)",2,EN 230-2,roundabout,
74499136,Rotunda do Areal,primary,30,5,True,False,13.815000000000001,"LINESTRING (-8.5608702 40.6744936, -8.5608811 40.674453, -8.5608762 40.6744118, -8.560856 40.6743733)",2,EN 230-2,roundabout,
251616484,Estrada da Cambeia,primary_link,50,6,True,False,24.17,"LINESTRING (-8.5608702 40.6744936, -8.5610106 40.6744599, -8.561138 40.6744171)",,EN 230-2,,
74499136,Rotunda do Areal,primary,30,5,True,False,21.309,"LINESTRING (-8.5606445 40.6743063, -8.5606052 40.6743177, -8.5605702 40.6743355, -8.5605412 40.6743587, -8.5605198 40.6743862, -8.5605069 40.6744166, -8.5605032 40.6744484)",2,EN 230-2,roundabout,
74499139,Rua Marquês Pombal,tertiary,30,5,False,True,170.69099999999997,"LINESTRING (-8.5569725 40.679817, -8.5564206 40.6800258, -8.5560046 40.6800865, -8.5553096 40.6801879, -8.5550388 40.6802285)",2,,,
