osmid,oneway,lanes,highway,reversed,length,geometry,ref,junction,name,bridge,maxspeed,tunnel
258321049,True,2,secondary,False,54.673,"LINESTRING (-9.2974935 38.7685509, -9.2969492 38.7687992)",EN 250,,Avenida dos Bons Amigos,,50,
77906510,False,,residential,True,34.082,"LINESTRING (-9.2974935 38.7685509, -9.2974544 38.7684924, -9.2973058 38.7682816)",,,Rua Vasco da Gama,,,
53117805,False,,residential,False,21.637,"LINESTRING (-9.2982934 38.7670185, -9.2982981 38.7670768, -9.2982851 38.7671232, -9.2982602 38.7671542, -9.298221 38.7671964)",,,Avenida Dom Nuno Álvares Pereira,,,
34261789,False,,residential,False,214.098,"LINESTRING (-9.298221 38.7671964, -9.2980024 38.7673741, -9.2978066 38.7675653, -9.2975863 38.7677005, -9.2973111 38.7678079, -9.2970507 38.7678588, -9.2970266 38.7678635, -9.2966695 38.767895, -9.2963777 38.7679285, -9.2960859 38.7679954)",,,Avenida Dom Nuno Álvares Pereira,,,
53117805,False,,residential,True,21.637,"LINESTRING (-9.298221 38.7671964, -9.2982602 38.7671542, -9.2982851 38.7671232, -9.2982981 38.7670768, -9.2982934 38.7670185)",,,Avenida Dom Nuno Álvares Pereira,,,
620747567,True,,residential,False,103.924,"LINESTRING (-9.298221 38.7671964, -9.2983034 38.7672267, -9.2983365 38.7672505, -9.2983634 38.7672907, -9.2984433 38.7674814, -9.29861 38.7678558, -9.2986366 38.7679248, -9.2986393 38.7679655, -9.2986333 38.7679922, -9.2986142 38.768036)",,,Rua Afonso de Albuquerque,,,
167920793,False,,residential,False,46.165,"LINESTRING (-9.3050311 38.7714768, -9.3045209 38.7715957)",,,Rua Ribeiro de Carvalho,,,
144469831,False,,residential,False,56.724,"LINESTRING (-9.3050311 38.7714768, -9.305045 38.77141, -9.3053154 38.771021)",,,Rua 5 de Outubro,,,
167920793,False,,residential,True,94.22000000000001,"LINESTRING (-9.3050311 38.7714768, -9.305289 38.7715425, -9.3057673 38.7716955, -9.306049 38.7717725)",,,Rua Ribeiro de Carvalho,,,
167920793,False,,residential,False,23.025,"LINESTRING (-9.3045209 38.7715957, -9.3042627 38.7715472)",,,Rua Ribeiro de Carvalho,,,
167920793,False,,residential,True,46.165,"LINESTRING (-9.3045209 38.7715957, -9.3050311 38.7714768)",,,Rua Ribeiro de Carvalho,,,
299872051,False,,residential,False,34.365,"LINESTRING (-9.3045209 38.7715957, -9.3043622 38.7718789)",,,Rua do Parque Urbano,,,
167920793,False,,residential,True,23.025,"LINESTRING (-9.3042627 38.7715472, -9.3045209 38.7715957)",,,Rua Ribeiro de Carvalho,,,
299872053,False,,residential,False,90.628,"LINESTRING (-9.3042627 38.7715472, -9.3046767 38.7707988)",,,Rua Virgílio Lory,,,
167920793,False,,residential,False,110.50399999999999,"LINESTRING (-9.3042627 38.7715472, -9.3040425 38.7714877, -9.3038126 38.7714017, -9.303344 38.7712188, -9.3032813 38.7711713, -9.3032602 38.7711019, -9.3032814 38.7710388)",,,Rua Ribeiro de Carvalho,,,
39323971,False,,residential,False,90.16,"LINESTRING (-9.3032814 38.7710388, -9.3031704 38.7709543, -9.3031273 38.7708925, -9.3031026 38.7708272, -9.303093 38.7707286, -9.3031909 38.7704081, -9.3032171 38.7702867)",,,Rua Elias Garcia,,,
39323971,False,,residential,True,125.725,"LINESTRING (-9.3032814 38.7710388, -9.3034228 38.7710695, -9.3035399 38.7710623, -9.3046767 38.7707988)",,,Rua Elias Garcia,,,
167920793,False,,residential,True,110.50400000000002,"LINESTRING (-9.3032814 38.7710388, -9.3032602 38.7711019, -9.3032813 38.7711713, -9.303344 38.7712188, -9.3038126 38.7714017, -9.3040425 38.7714877, -9.3042627 38.7715472)",,,Rua Ribeiro de Carvalho,,,
39323971,False,,residential,False,44.738,"LINESTRING (-9.3051655 38.7706698, -9.3046767 38.7707988)",,,Rua Elias Garcia,,,
167920826,True,,residential,False,26.563,"LINESTRING (-9.3051655 38.7706698, -9.3052462 38.770644, -9.3053418 38.770587, -9.3054015 38.7705256)",,,Rua Elias Garcia,,,
39323971,False,,residential,True,44.738,"LINESTRING (-9.3046767 38.7707988, -9.3051655 38.7706698)",,,Rua Elias Garcia,,,
299872053,False,,residential,True,90.628,"LINESTRING (-9.3046767 38.7707988, -9.3042627 38.7715472)",,,Rua Virgílio Lory,,,
39323971,False,,residential,False,125.725,"LINESTRING (-9.3046767 38.7707988, -9.3035399 38.7710623, -9.3034228 38.7710695, -9.3032814 38.7710388)",,,Rua Elias Garcia,,,
167920803,True,,residential,False,23.845,"LINESTRING (-9.3032207 38.7700725, -9.3032252 38.7701765, -9.3032171 38.7702867)",,,Rua Elias Garcia,,,
