osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,tunnel,lanes,maxspeed,junction
188234512,False,Faceira da Cisterna,residential,True,20.321,"LINESTRING (-7.1661513 38.8785956, -7.1662791 38.8787489)",,,,,,
163989042,True,Rua Alferes Pinto,residential,False,35.469,"LINESTRING (-7.1661513 38.8785956, -7.1660764 38.8786778, -7.1659141 38.8788557)",,,,,,
"[102591104, 1156136491, 880750179, 1156136492]",False,Viaduto entrada da cidade de Elvas,residential,True,253.309,"LINESTRING (-7.1661513 38.8785956, -7.1662105 38.8785364, -7.1663641 38.8783737, -7.1664133 38.878333, -7.1664693 38.8783083, -7.1665695 38.8782938, -7.1670779 38.8782826, -7.1671185 38.8782815, -7.1672648 38.8782844, -7.1674834 38.8782725, -7.1676913 38.8782674, -7.1678781 38.8782529, -7.1679982 38.878228, -7.1681099 38.8781835, -7.1682011 38.8781347, -7.1682842 38.8780753, -7.1683549 38.8780074, -7.1684072 38.8779355, -7.1684464 38.8778629, -7.1684726 38.8777746, -7.1684869 38.8776875)",yes,,,,,
1051151951,False,Avenida Garcia da Orta,residential,True,21.161,"LINESTRING (-7.1661513 38.8785956, -7.1660738 38.8785629, -7.1659364 38.8785049)",,,,,,
880750185,False,,primary,True,14.168,"LINESTRING (-7.1618388 38.8766461, -7.1617918 38.876662, -7.1617221 38.8766798, -7.1616835 38.8766845)",,EN 373,,,,
"[1153869287, 1153869288, 163989033, 157181545, 163989040, 485739058, 485739059]",True,,residential,False,120.693,"LINESTRING (-7.1618388 38.8766461, -7.1619272 38.8766836, -7.1620606 38.8767479, -7.1622232 38.8768242, -7.1622684 38.8768496, -7.1622966 38.8768787, -7.1623148 38.8769111, -7.1623364 38.8769807, -7.1624147 38.877235, -7.1624748 38.8774918, -7.162483 38.8775188)",yes,,yes,,,
161748693,True,,primary,False,41.555,"LINESTRING (-7.1603073 38.8774829, -7.1602051 38.8775115, -7.1601072 38.8775167, -7.1600228 38.8774808, -7.1599364 38.8773604)",,,,1,,
880750184,False,,primary,False,160.039,"LINESTRING (-7.1603073 38.8774829, -7.1603424 38.877454, -7.1606461 38.8770336, -7.1607129 38.8769567, -7.1607959 38.8768936, -7.1608889 38.8768393, -7.1609885 38.8767965, -7.1610624 38.8767698, -7.1611477 38.8767501, -7.1616835 38.8766845)",,EN 373,,,,
101823732,True,Avenida de Badajoz,primary,False,10.696,"LINESTRING (-7.1683178 38.8771696, -7.168358 38.8772061, -7.1684076 38.8772348)",,EN 4,,2,50,roundabout
101957137,False,Avenida. António Sardinha,secondary,False,72.54299999999999,"LINESTRING (-7.1686331 38.876518, -7.1686663 38.8764845, -7.1692986 38.8761241)",,ER 373,,,,
