osmid,ref,highway,oneway,reversed,length,geometry,name,junction,maxspeed,bridge,lanes,access,tunnel
1217339960,ER 255,primary,False,False,100.572,"LINESTRING (-7.4457825 38.1451669, -7.4459133 38.1451132, -7.4460567 38.1450753, -7.4469004 38.1449864)",,,,,,,
463466211,ER 255,primary,False,False,40.306,"LINESTRING (-7.4512715 38.1399496, -7.4509785 38.1396698)",,,,,,,
109928578,,residential,True,False,24.375,"LINESTRING (-7.4512715 38.1399496, -7.4513484 38.1400459, -7.4513999 38.1401433)",Largo da Latôa,,,,,,
463466211,ER 255,primary,False,True,24.782,"LINESTRING (-7.4512715 38.1399496, -7.451357 38.1399849, -7.451419 38.1399992, -7.4514719 38.1399896, -7.4515307 38.1399629)",,,,,,,
289770108,EN 258,primary,False,False,72.724,"LINESTRING (-7.4494171 38.1368518, -7.450223 38.1366907)",Avenida das Forças Armadas,,,,,,
100801677,,residential,True,False,55.653000000000006,"LINESTRING (-7.4494171 38.1368518, -7.4496645 38.136922, -7.4497701 38.1369652, -7.4498515 38.1370166, -7.4498901 38.137064, -7.4499269 38.1371184)",Rua de São Lourenco,,,,,,
289770108,EN 258,primary,False,True,152.936,"LINESTRING (-7.4494171 38.1368518, -7.4484667 38.1370737, -7.4480791 38.1371544, -7.4477269 38.1371969)",Avenida das Forças Armadas,,,,,,
289770108,EN 258,primary,False,True,72.724,"LINESTRING (-7.450223 38.1366907, -7.4494171 38.1368518)",Avenida das Forças Armadas,,,,,,
1257171305,ER 255,primary,False,True,84.663,"LINESTRING (-7.450223 38.1366907, -7.4502293 38.1367419, -7.4503169 38.1374485)",,,,,,,
289770108,EN 258,primary,False,False,152.936,"LINESTRING (-7.4477269 38.1371969, -7.4480791 38.1371544, -7.4484667 38.1370737, -7.4494171 38.1368518)",Avenida das Forças Armadas,,,,,,
984718489,EN 258,primary,False,True,84.036,"LINESTRING (-7.4477269 38.1371969, -7.4473628 38.1372122, -7.4471691 38.1372204, -7.4467674 38.1372373)",Largo José Maria Santos,,,,,,
109831324,,residential,False,True,68.541,"LINESTRING (-7.4535255 38.1426615, -7.4535857 38.1426579, -7.4538912 38.1424465, -7.4541336 38.1422865)",Rua do Sequeiro,,,,,,
984034988,ER 255,primary,False,True,121.734,"LINESTRING (-7.4535255 38.1426615, -7.453504 38.1427136, -7.4534615 38.142763, -7.452661 38.1433195, -7.4525991 38.143382, -7.4525559 38.1434325)",Rua do Sequeiro,,,,,,
984034989,ER 255,primary,False,False,29.715000000000003,"LINESTRING (-7.4535255 38.1426615, -7.4535298 38.1426008, -7.4535043 38.142547, -7.4534149 38.1424156)",Rua do Matadouro,,,,,,
984034989,ER 255,primary,False,False,22.575000000000003,"LINESTRING (-7.4531256 38.1411364, -7.4531797 38.14106, -7.4532688 38.1409681)",Rua do Matadouro,,,,,,
984034989,ER 255,primary,False,True,89.99199999999999,"LINESTRING (-7.4531256 38.1411364, -7.453087 38.1412183, -7.4530676 38.1412946, -7.45309 38.1418151, -7.4531015 38.1418542, -7.4531103 38.1418843, -7.4531253 38.1419353)",Rua do Matadouro,,,,,,
100819449,,residential,True,False,68.373,"LINESTRING (-7.452706 38.1393258, -7.4528657 38.1392224, -7.4533097 38.1389351)",Rua de Saluquia,,,,,,
463466211,ER 255,primary,False,False,82.004,"LINESTRING (-7.452706 38.1393258, -7.4523676 38.1393057, -7.4523295 38.1393141, -7.452147 38.1393546, -7.4519166 38.1395814)",,,,,,,
463466211,ER 255,primary,False,True,169.345,"LINESTRING (-7.452706 38.1393258, -7.4529022 38.1393958, -7.4534884 38.1396134, -7.4536412 38.1396721, -7.4538026 38.1397139, -7.4544319 38.1397913, -7.4545265 38.139803)",,,,,,,
289715966,,residential,False,True,10.385,"LINESTRING (-7.4499268 38.1448959, -7.4499725 38.1449821)",Rua Nova do Carmo,,,,,,
984034987,ER 255,primary,False,True,46.385,"LINESTRING (-7.4499268 38.1448959, -7.4494128 38.1447929)",Rua da Amareleja,,,,,,
984034987,ER 255,primary,False,False,184.781,"LINESTRING (-7.4499268 38.1448959, -7.4508988 38.145087, -7.4509681 38.1450963, -7.4510158 38.1450993, -7.4510569 38.1450958, -7.4510976 38.145089, -7.451131 38.1450768, -7.4511712 38.1450578, -7.4512071 38.1450334, -7.4516977 38.1445577)",Rua da Amareleja,,,,,,
463466211,ER 255,primary,False,True,22.373,"LINESTRING (-7.4515307 38.1399629, -7.4516899 38.1398054)",,,,,,,
463466211,ER 255,primary,False,False,24.782,"LINESTRING (-7.4515307 38.1399629, -7.4514719 38.1399896, -7.451419 38.1399992, -7.451357 38.1399849, -7.4512715 38.1399496)",,,,,,,
109831004,,residential,True,False,81.128,"LINESTRING (-7.4531253 38.1419353, -7.4536343 38.1418559, -7.4540351 38.1417928)",Travessa do Matadouro,,,,,,
289765416,,residential,True,False,43.241,"LINESTRING (-7.4531253 38.1419353, -7.4528263 38.1419867, -7.4526398 38.1420076)",Segunda Rua da Mouraria,,,,,,
984034989,ER 255,primary,False,False,89.992,"LINESTRING (-7.4531253 38.1419353, -7.4531103 38.1418843, -7.4531015 38.1418542, -7.45309 38.1418151, -7.4530676 38.1412946, -7.453087 38.1412183, -7.4531256 38.1411364)",Rua do Matadouro,,,,,,
984034989,ER 255,primary,False,True,59.108999999999995,"LINESTRING (-7.4531253 38.1419353, -7.4532335 38.1421108, -7.4534149 38.1424156)",Rua do Matadouro,,,,,,
109928580,,residential,True,False,47.07,"LINESTRING (-7.4504814 38.1392498, -7.4504783 38.1396731)",Largo de Santa Clara,,,,,,
463466211,ER 255,primary,False,True,13.013,"LINESTRING (-7.4504814 38.1392498, -7.4505812 38.1393366)",,,,,,,
463466211,ER 255,primary,False,False,36.579,"LINESTRING (-7.4504814 38.1392498, -7.4504766 38.139019, -7.4504735 38.1389209)",,,,,,,
463466211,ER 255,primary,False,True,40.306,"LINESTRING (-7.4509785 38.1396698, -7.4512715 38.1399496)",,,,,,,
463466211,ER 255,primary,False,False,50.794,"LINESTRING (-7.4509785 38.1396698, -7.4506256 38.1393741, -7.4505812 38.1393366)",,,,,,,
100819500,,residential,True,False,15.274999999999999,"LINESTRING (-7.4544624 38.137506, -7.4544812 38.1374701, -7.4544785 38.1374237, -7.4544543 38.1373752)",Praça Dom Afonso Henriques,roundabout,,,,,
100819449,,residential,True,False,22.567,"LINESTRING (-7.4536267 38.1387299, -7.453826 38.138601)",Rua de Saluquia,,,,,,
289489772,,residential,False,True,68.43299999999999,"LINESTRING (-7.4536267 38.1387299, -7.4540707 38.138989, -7.4542531 38.1390987)",Rua Roque Antunes,,,,,,
100819500,,residential,True,False,14.867999999999999,"LINESTRING (-7.4544543 38.1373752, -7.4544061 38.1373456, -7.4543497 38.1373351, -7.4543014 38.1373477)",Praça Dom Afonso Henriques,roundabout,,,,,
100819492,,residential,True,False,32.717,"LINESTRING (-7.4553975 38.1375839, -7.4556226 38.1378189)",Bairro 25 de Abril,,,,,,
109632524,,residential,False,False,28.986,"LINESTRING (-7.4536818 38.1367276, -7.4534181 38.1368855)",Rua Cardeal Lacerda,,,,,,
109632524,,residential,False,True,33.523,"LINESTRING (-7.4536818 38.1367276, -7.4539867 38.1365449)",Rua Cardeal Lacerda,,,,,,
109622029,,residential,False,False,32.69,"LINESTRING (-7.4554193 38.1384458, -7.4551285 38.1386305)",,,,,,,
289489451,,residential,False,False,28.871,"LINESTRING (-7.4554193 38.1384458, -7.4556667 38.1382739)",,,,,,,
289520925,,residential,True,False,75.237,"LINESTRING (-7.4554193 38.1384458, -7.4548871 38.1379142)",Rua de Sagres,,,,,,
