osmid,name,highway,oneway,reversed,length,geometry,ref,junction,lanes,maxspeed
941588514,Avenida 25 de Abril,secondary,False,True,84.199,"LINESTRING (-7.454315 38.8060191, -7.4548928 38.8054103)",,,,
231932347,Avenida Dom Dinis de Melo e Castro,secondary,False,True,82.658,"LINESTRING (-7.454315 38.8060191, -7.4540401 38.8063134, -7.4537536 38.8066201)",,,,
426190044,Rua Florbela Espanca,secondary,False,False,27.134,"LINESTRING (-7.454315 38.8060191, -7.4540703 38.8059082, -7.4540439 38.805897)",EM 255,,,
965454123,Avenida do Povo,residential,False,True,48.651,"LINESTRING (-7.454315 38.8060191, -7.4544206 38.8060833, -7.4547404 38.8063044)",,,,
33100099,,secondary,True,False,14.264999999999999,"LINESTRING (-7.4503645 38.8016491, -7.4503953 38.8016137, -7.4504139 38.8015735, -7.450419 38.8015309)",,roundabout,,
441642912,,tertiary,True,False,41.155,"LINESTRING (-7.4497811 38.80194, -7.4500289 38.8017663, -7.4501428 38.8017007)",,,2,90
33100099,,secondary,True,False,17.641,"LINESTRING (-7.4502073 38.8013663, -7.45014 38.8013729, -7.4500785 38.8013953, -7.4500288 38.8014313)",,roundabout,,
33100099,,secondary,True,False,16.476,"LINESTRING (-7.450419 38.8015309, -7.4504077 38.8014823, -7.450379 38.8014382, -7.4503353 38.8014025)",,roundabout,,
33100099,,secondary,True,False,12.708,"LINESTRING (-7.4502384 38.8017042, -7.4503075 38.801685, -7.4503645 38.8016491)",,roundabout,,
437081527,,secondary,True,False,31.766,"LINESTRING (-7.4502384 38.8017042, -7.4503215 38.801772, -7.4504792 38.8019194)",,,,
33100099,,secondary,True,False,20.607,"LINESTRING (-7.449987 38.8015722, -7.4500072 38.8016158, -7.4500418 38.8016534, -7.4500881 38.8016825, -7.4501428 38.8017007)",,roundabout,,
33100100,,tertiary,True,False,45.17,"LINESTRING (-7.449987 38.8015722, -7.4499374 38.8017388, -7.4497811 38.80194)",,,2,90
228685300,,tertiary,True,False,17.213,"LINESTRING (-7.4592342 38.8099114, -7.4592265 38.8098511, -7.4591962 38.8097599)",,,1,
147055315,Rua 1º de Maio,secondary,False,False,38.596,"LINESTRING (-7.4576106 38.8036273, -7.4579929 38.8038054)",EM 255,,,
147055315,Rua 1º de Maio,secondary,False,True,77.815,"LINESTRING (-7.4576106 38.8036273, -7.4572809 38.8034934, -7.456943 38.8033826, -7.4567983 38.8033301)",EM 255,,,
147056929,Rua Combatentes do Ultramar,residential,True,False,65.221,"LINESTRING (-7.4576106 38.8036273, -7.4575786 38.803646, -7.4573104 38.8038153, -7.457128 38.8038989, -7.45701 38.8039783)",,,,
