osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,width,name,junction
284296602,True,1,primary,50,False,145.081,"LINESTRING (-8.7498864 37.0997519, -8.7493618 37.0997763, -8.748997 37.0997763, -8.7486272 37.0997569, -8.7483913 37.09972, -8.7483409 37.0997021, -8.748277 37.0996645)",,,
61918333,False,1,unclassified,,True,189.297,"LINESTRING (-8.7433873 37.0963239, -8.7429402 37.0965672, -8.7422933 37.0969843, -8.7416927 37.0973574)",4,,
61943844,False,1,unclassified,,False,359.868,"LINESTRING (-8.7433873 37.0963239, -8.7433894 37.0961565, -8.7434486 37.0958786, -8.7434901 37.0954519, -8.7435635 37.0949792, -8.7436612 37.094594, -8.7437723 37.0943599, -8.743974 37.0939409, -8.7441629 37.0935192, -8.7442085 37.0931783)",4,,
1092146466,False,,unclassified,,True,834.019,"LINESTRING (-8.7433873 37.0963239, -8.7441177 37.0960787, -8.7444681 37.0959479, -8.7450189 37.0956931, -8.745688 37.0952864, -8.7460285 37.0950535, -8.7464359 37.0947431, -8.7469588 37.0944085, -8.7481324 37.0939671, -8.7493162 37.0935539, -8.7499322 37.0934288, -8.7500418 37.0934105, -8.7503092 37.0933657, -8.7506193 37.0934676, -8.750892 37.0935347, -8.7509845 37.0935331, -8.7510821 37.0934978, -8.7513587 37.0933828, -8.7516591 37.093293)",,Estrada Crimzônia,
1092146466,False,,unclassified,,False,834.019,"LINESTRING (-8.7516591 37.093293, -8.7513587 37.0933828, -8.7510821 37.0934978, -8.7509845 37.0935331, -8.750892 37.0935347, -8.7506193 37.0934676, -8.7503092 37.0933657, -8.7500418 37.0934105, -8.7499322 37.0934288, -8.7493162 37.0935539, -8.7481324 37.0939671, -8.7469588 37.0944085, -8.7464359 37.0947431, -8.7460285 37.0950535, -8.745688 37.0952864, -8.7450189 37.0956931, -8.7444681 37.0959479, -8.7441177 37.0960787, -8.7433873 37.0963239)",,Estrada Crimzônia,
211365306,True,2,primary,50,False,26.865,"LINESTRING (-8.7481731 37.0995803, -8.7481087 37.099574, -8.7480492 37.099576, -8.7479928 37.099591, -8.7479437 37.0996179, -8.7479059 37.0996545)",,,roundabout
211365306,True,2,primary,50,False,13.248000000000001,"LINESTRING (-8.748277 37.0996645, -8.7482485 37.0996312, -8.7482109 37.0996043, -8.7481731 37.0995803)",,,roundabout
211365306,True,2,primary,50,False,9.901,"LINESTRING (-8.7478767 37.0997677, -8.7478918 37.0998105, -8.7479204 37.0998488)",,,roundabout
211365306,True,2,primary,50,False,19.554,"LINESTRING (-8.7482691 37.0998333, -8.7482966 37.0997789, -8.7482993 37.0997203, -8.748277 37.0996645)",,,roundabout
284296605,True,1,primary,,False,144.51,"LINESTRING (-8.7482691 37.0998333, -8.7483733 37.0998018, -8.7484592 37.099798, -8.7487391 37.0998132, -8.7490262 37.0998132, -8.749318 37.0998054, -8.7496001 37.0997788, -8.7498864 37.0997519)",,,
211365306,True,2,primary,50,False,22.834000000000003,"LINESTRING (-8.7479204 37.0998488, -8.7479674 37.0998838, -8.7480254 37.0999061, -8.7480891 37.0999136, -8.7481527 37.0999056)",,,roundabout
284296612,True,1,unclassified,,False,29.148,"LINESTRING (-8.7479204 37.0998488, -8.7479218 37.0999068, -8.7478957 37.0999682, -8.7477873 37.1000774)",,,
211365306,True,2,primary,50,False,13.325999999999999,"LINESTRING (-8.7481527 37.0999056, -8.7481983 37.099889, -8.7482378 37.0998645, -8.7482691 37.0998333)",,,roundabout
211365306,True,2,primary,50,False,13.046,"LINESTRING (-8.7479059 37.0996545, -8.7478789 37.099709, -8.7478767 37.0997677)",,,roundabout
