osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,width,junction
"[464994016, 676223041, 676223040, 78007202, 78007207, 205632146, 1234630483]",True,"['1', '3']",Avenida dos Descobrimentos,tertiary,40,False,467.092,"LINESTRING (-8.669414 37.1002466, -8.6694571 37.1002974, -8.6695997 37.100436, -8.6696959 37.1005404, -8.6698561 37.1006954, -8.6699541 37.1007952, -8.6700728 37.1009174, -8.6702658 37.1011238, -8.6707747 37.1016403, -8.670821 37.1016872, -8.6709207 37.1017997, -8.6711311 37.1020461, -8.6712479 37.1021921, -8.6713987 37.1023808, -8.6714996 37.1025175, -8.6716054 37.1026485, -8.6716966 37.1027649, -8.6718876 37.1029996, -8.6719806 37.1031167, -8.672088 37.1032702, -8.6722944 37.1035522, -8.6723975 37.1036997)",,,
678612152,True,2,Avenida dos Descobrimentos,tertiary,,False,21.4,"LINESTRING (-8.6727991 37.1040073, -8.6727709 37.1038951, -8.6727357 37.1038223)",,,
19235674,True,,Rua Dom Vasco da Gama,residential,,False,56.635,"LINESTRING (-8.673771 37.1051127, -8.6737943 37.1051164, -8.6738161 37.1051257, -8.6738599 37.1051609, -8.6742225 37.1054125, -8.6742582 37.1054373)",,,
284262047,True,1,Largo das Portas de Portugal,residential,,False,71.128,"LINESTRING (-8.673771 37.1051127, -8.6736286 37.1048905, -8.6735218 37.1047532, -8.6733965 37.1047444, -8.6733456 37.1047408, -8.6732368 37.1047297)",,,
678612156,True,2,Avenida dos Descobrimentos,tertiary,,False,12.463,"LINESTRING (-8.6732368 37.1047297, -8.6731649 37.1046334)",,,
19235674,True,,Rua Dom Vasco da Gama,residential,,False,181.194,"LINESTRING (-8.6742582 37.1054373, -8.6743791 37.1055177, -8.6745042 37.1056009, -8.6746224 37.1056748, -8.6746776 37.1057132, -8.6749914 37.1059244, -8.6750431 37.1059589, -8.6754368 37.1062255, -8.6757004 37.1064106, -8.6758232 37.1064844)",,,
"[19235676, 19235677]",True,,"['Rua Victor Costa e Silva', 'Travesso do Ferro de Engomar']",residential,,False,93.33600000000001,"LINESTRING (-8.6742582 37.1054373, -8.6743285 37.1055391, -8.6745231 37.1058209, -8.6745291 37.105874, -8.6744844 37.1059327, -8.6742501 37.1060384, -8.6742282 37.1060466, -8.6741761 37.1060651)",,,
145210385,True,2,Avenida dos Descobrimentos,tertiary,,False,110.79100000000001,"LINESTRING (-8.6741761 37.1060651, -8.6737206 37.1054066, -8.6736483 37.1052964, -8.6736115 37.1052403, -8.6735755 37.1051915)",,,
19618943,False,,,residential,,False,50.972,"LINESTRING (-8.6714939 37.1000594, -8.6714478 37.1000733, -8.6711937 37.10015, -8.6710203 37.1002509, -8.6709887 37.1002693)",,,
36973169,True,,Rua General Alberto da Silveira,residential,,False,46.507999999999996,"LINESTRING (-8.6714939 37.1000594, -8.6714994 37.0999531, -8.6714867 37.0996414)",,,
