osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,bridge
574267738,True,2,Jalan Insinyur Haji Juanda,primary,False,47.404,,"LINESTRING (106.9939975 -6.2338825, 106.993575 -6.2338094)",,
121674324,True,2,,trunk_link,False,92.84700000000001,60,"LINESTRING (106.9939975 -6.2338825, 106.9939097 -6.2339173, 106.9938219 -6.2339572, 106.9937561 -6.2340026, 106.9937178 -6.2340435, 106.9936709 -6.2340985, 106.9936252 -6.2341862, 106.9935999 -6.2342425, 106.9935301 -6.2345107)",,
121661207,True,3,Jalan Insinyur Haji Juanda,primary,False,53.527,,"LINESTRING (106.9944663 -6.2339926, 106.9944233 -6.2339952, 106.9943777 -6.2339899, 106.9943415 -6.2339799, 106.9939975 -6.2338825)",,
562414428,False,4,Jalan Insinyur Haji Juanda,primary,False,268.055,,"LINESTRING (106.9944663 -6.2339926, 106.9945169 -6.234016, 106.9949209 -6.2342026, 106.9949845 -6.2342319, 106.9953722 -6.2344192, 106.9959468 -6.2347298, 106.99627 -6.2349422, 106.9965879 -6.2351511)",,
320998583,True,2,Jalan Ahmad Yani,trunk,False,7.934,60,"LINESTRING (106.9935821 -6.2337384, 106.993575 -6.2338094)",1,
297913069,True,2,Jalan Insinyur Haji Juanda,primary,False,103.134,,"LINESTRING (106.9935821 -6.2337384, 106.994007 -6.2338299, 106.9941455 -6.2338662, 106.9944066 -6.2339327, 106.9944323 -6.2339512, 106.9944663 -6.2339926)",,
121674323,True,2,Jalan Rawa Tembaga,tertiary,False,76.716,,"LINESTRING (106.9941679 -6.238706, 106.994192 -6.2385873, 106.9942135 -6.23851, 106.9942577 -6.2383994, 106.9943154 -6.238286, 106.9943222 -6.2382735, 106.994361 -6.2382021, 106.9944375 -6.2380761)",,
1106637755,True,3,Jalan Jenderal Sudirman,trunk,False,160.801,,"LINESTRING (106.9928243 -6.2337015, 106.9924541 -6.233635, 106.991389 -6.2334664)",1,
574267800,False,,,residential,True,113.051,,"LINESTRING (106.9943275 -6.2391733, 106.9948035 -6.2391879, 106.9948445 -6.2391953, 106.9948693 -6.2392139, 106.9948833 -6.2392393, 106.9949149 -6.2393686, 106.994939 -6.2393926, 106.9949719 -6.2394032, 106.9952139 -6.2394099)",,
28775347,False,2,Jalan Insinyur Haji Juanda,primary,False,66.075,,"LINESTRING (106.9972266 -6.2355696, 106.9977229 -6.2359008)",,
28775347,False,2,Jalan Insinyur Haji Juanda,primary,True,48.192,,"LINESTRING (106.9972266 -6.2355696, 106.9968671 -6.2353244)",,
121674319,True,2,Jalan Kemakmuran,tertiary,False,18.503,,"LINESTRING (106.9972266 -6.2355696, 106.997139 -6.2357114)",,
