osmid,oneway,highway,reversed,length,geometry,name,bridge,junction
382460860,True,secondary,False,47.284,"LINESTRING (112.004138 -7.8110877, 112.004307 -7.8110544, 112.0044056 -7.8110232, 112.0045488 -7.8109687)",,,
829078424,False,secondary,False,78.837,"LINESTRING (112.004138 -7.8110877, 112.0037954 -7.8110916, 112.0034225 -7.8111009)",Jalan Veteran,,
96316337,False,secondary,True,397.4359999999999,"LINESTRING (112.0012613 -7.8111368, 112.0012406 -7.8112298, 112.0012231 -7.8113095, 112.0008208 -7.8127445, 112.0005727 -7.8136114, 112.0003795 -7.8143245, 112.0003092 -7.814584)",Jalan Penanggungan,,
292732947,False,secondary,False,78.552,"LINESTRING (112.0012613 -7.8111368, 112.0012929 -7.8110146, 112.0013197 -7.8109123, 112.001436 -7.8104519)",Jalan Kawi,,
829078424,False,secondary,True,128.19,"LINESTRING (112.0012613 -7.8111368, 112.0014471 -7.8111302, 112.0017897 -7.8111249, 112.0024247 -7.8111156)",Jalan Veteran,,
1153275988,False,secondary,False,349.75300000000004,"LINESTRING (112.0012613 -7.8111368, 112.0011574 -7.8111368, 112.0010421 -7.8111381, 111.9997239 -7.8111787, 111.9996909 -7.8111794, 111.9990787 -7.8111926, 111.9990048 -7.8111949, 111.998089 -7.8112506)",Jalan Veteran,,
466273982,False,residential,False,81.958,"LINESTRING (112.002418 -7.8068273, 112.0031615 -7.8068014)",Jalan Lintasan,,
292732947,False,secondary,True,154.747,"LINESTRING (112.002418 -7.8068273, 112.0023966 -7.8069369, 112.0020569 -7.8081719)",Jalan Kawi,,
1029294631,False,residential,True,85.551,"LINESTRING (112.002418 -7.8068273, 112.0023081 -7.8068426, 112.0022048 -7.8068665, 112.0021324 -7.8069077, 112.0020197 -7.8069648, 112.0019352 -7.8069927, 112.0018601 -7.8069874, 112.0016804 -7.8069435)",,,
"[1153275992, 1153275993, 680823234]",False,residential,False,321.9160000000001,"LINESTRING (111.998089 -7.8112506, 111.9981734 -7.8116515, 111.9982631 -7.812225, 111.9982731 -7.8122891, 111.9984077 -7.8131777, 111.9984656 -7.8135001, 111.9984639 -7.8135122, 111.9984604 -7.8135215, 111.9984495 -7.8135304, 111.9984337 -7.8135375, 111.9983791 -7.8135621, 111.9983359 -7.8135816, 111.9983176 -7.8135962, 111.9982968 -7.8136274, 111.9982861 -7.8136501, 111.9981654 -7.813999)",Jalan Tambora,yes,
"[96316219, 1153275988, 1153275989]",False,secondary,False,180.89800000000002,"LINESTRING (111.998089 -7.8112506, 111.9980723 -7.8112513, 111.9980138 -7.811255, 111.9978042 -7.8112609, 111.997618 -7.8112613, 111.9974576 -7.8112654, 111.9973393 -7.8112684, 111.9964476 -7.811294)",Jalan Veteran,yes,
1153275988,False,secondary,True,349.753,"LINESTRING (111.998089 -7.8112506, 111.9990048 -7.8111949, 111.9990787 -7.8111926, 111.9996909 -7.8111794, 111.9997239 -7.8111787, 112.0010421 -7.8111381, 112.0011574 -7.8111368, 112.0012613 -7.8111368)",Jalan Veteran,,
