osmid,oneway,lanes,name,highway,access,width,reversed,length,geometry
515753832,True,2,Jalan Kertanegara,tertiary,yes,5,False,7.564,"LINESTRING (106.8015675 -6.2355638, 106.801635 -6.2355526)"
652147786,True,2,Jalan Pattimura,primary,,4,False,7.939,"LINESTRING (106.8015675 -6.2355638, 106.8015897 -6.2356317)"
28260144,False,,Jalan Raden Patah,residential,,,False,12.567,"LINESTRING (106.8012029 -6.2346695, 106.8011645 -6.2346395, 106.801136 -6.2346311, 106.8011012 -6.2346264)"
652285694,True,2,Jalan Pattimura,primary,,4,False,94.52000000000001,"LINESTRING (106.8012029 -6.2346695, 106.8008438 -6.2340681, 106.8007767 -6.233933)"
652285694,True,2,Jalan Pattimura,primary,,4,False,16.522,"LINESTRING (106.8007767 -6.233933, 106.8007283 -6.2338053, 106.8007251 -6.2337936)"
28207300,False,2,Jalan Aditiawarman,residential,,7,True,249.512,"LINESTRING (106.8042862 -6.2325741, 106.8042947 -6.234818)"
535149452,False,2,Jalan Mataram,residential,,6,True,114.31,"LINESTRING (106.8042862 -6.2325741, 106.8032521 -6.2325674)"
"[650557195, 535149452]",False,2,Jalan Mataram,residential,,6,False,88.16799999999999,"LINESTRING (106.8042862 -6.2325741, 106.8048187 -6.2325734, 106.8050838 -6.2325693)"
28260229,False,,Jalan Mataram I,residential,,,True,3.968,"LINESTRING (106.8006092 -6.233038, 106.8005733 -6.2330378)"
652285694,True,2,Jalan Pattimura,primary,,4,False,52.039,"LINESTRING (106.8006092 -6.233038, 106.8006084 -6.2327894, 106.8006076 -6.23257)"
28197757,False,2,Jalan Senopati,secondary,,8,True,161.81,"LINESTRING (106.8072545 -6.2304165, 106.8072147 -6.230402, 106.8067613 -6.2302361, 106.8066896 -6.2302121, 106.8064625 -6.2301361, 106.805874 -6.2299328)"
"[650428283, 650254719]",True,1,Jalan Senopati,secondary,,8,False,55.711999999999996,"LINESTRING (106.8072545 -6.2304165, 106.807326 -6.230437, 106.8077268 -6.2305907)"
652285694,True,2,Jalan Pattimura,primary,,4,False,76.259,"LINESTRING (106.8006076 -6.23257, 106.8006118 -6.2318842)"
652293237,False,1,Jalan Mataram,residential,,6,True,4.598,"LINESTRING (106.8006076 -6.23257, 106.800566 -6.2325697)"
652041060,True,1,Jalan Gunawarman,secondary,,6,False,20.438,"LINESTRING (106.8075858 -6.2328114, 106.8075845 -6.2326276)"
652041061,False,1,Jalan Daksa IV,residential,,5,False,16.555,"LINESTRING (106.8075858 -6.2328114, 106.8075073 -6.232759, 106.8074529 -6.2327496)"
28207293,False,2,Jalan Sriwijaya Raya,residential,,5,False,197.974,"LINESTRING (106.8032521 -6.2325674, 106.8032613 -6.2343478)"
535149452,False,2,Jalan Mataram,residential,,6,False,114.31,"LINESTRING (106.8032521 -6.2325674, 106.8042862 -6.2325741)"
535149452,False,2,Jalan Mataram,residential,,6,True,25.923,"LINESTRING (106.8032521 -6.2325674, 106.8030177 -6.2325748)"
28207293,False,2,Jalan Sriwijaya Raya,residential,,5,True,79.844,"LINESTRING (106.8032521 -6.2325674, 106.803251 -6.2324135, 106.8032586 -6.2318494)"
27989785,False,2,Jalan Galuh I,residential,,4,True,203.091,"LINESTRING (106.8050959 -6.2318493, 106.8032586 -6.2318494)"
651888141,False,2,Jalan Pulombangkeng,residential,permissive,4,True,77.848,"LINESTRING (106.8050959 -6.2318493, 106.8050966 -6.2311492)"
"[756932563, 651888141]",False,2,Jalan Pulombangkeng,residential,permissive,4,False,80.072,"LINESTRING (106.8050959 -6.2318493, 106.8050841 -6.2325207, 106.8050838 -6.2325693)"
27989799,False,2,Jalan Taman Jenggala,residential,,3,False,93.087,"LINESTRING (106.8023869 -6.2307163, 106.8015448 -6.2307102)"
658026764,False,2,Jalan Jenggala II,residential,,5,False,48.939,"LINESTRING (106.8023869 -6.2307163, 106.8023831 -6.2311564)"
535149452,False,2,Jalan Mataram,residential,,6,False,25.923,"LINESTRING (106.8030177 -6.2325748, 106.8032521 -6.2325674)"
31827490,True,2,Jalan Mataram I,residential,,5,False,78.632,"LINESTRING (106.8030177 -6.2325748, 106.8025977 -6.2326548, 106.8023247 -6.2327316)"
651893213,True,2,Jalan Pulombangkeng,residential,,4,False,14.151,"LINESTRING (106.8050792 -6.2301706, 106.8050949 -6.2302969)"
"[650557195, 535149452]",False,2,Jalan Mataram,residential,,6,True,88.16799999999999,"LINESTRING (106.8050838 -6.2325693, 106.8048187 -6.2325734, 106.8042862 -6.2325741)"
"[756932563, 651888141]",False,2,Jalan Pulombangkeng,residential,permissive,4,True,80.072,"LINESTRING (106.8050838 -6.2325693, 106.8050841 -6.2325207, 106.8050959 -6.2318493)"
1245336142,False,2,Jalan Mataram,residential,,6,False,22.34,"LINESTRING (106.8050838 -6.2325693, 106.805221 -6.2325694, 106.8052854 -6.2325774)"
27989834,False,2,Jalan Sriwijaya III,residential,,5,False,101.979,"LINESTRING (106.8032613 -6.2343478, 106.8023388 -6.2343592)"
28207293,False,2,Jalan Sriwijaya Raya,residential,,5,False,132.834,"LINESTRING (106.8032613 -6.2343478, 106.8032606 -6.2355424)"
28207293,False,2,Jalan Sriwijaya Raya,residential,,5,True,197.974,"LINESTRING (106.8032613 -6.2343478, 106.8032521 -6.2325674)"
27989834,False,2,Jalan Sriwijaya III,residential,,5,True,101.979,"LINESTRING (106.8023388 -6.2343592, 106.8032613 -6.2343478)"
650557176,False,2,Jalan Sriwijaya II,residential,,4,True,26.113,"LINESTRING (106.8023388 -6.2343592, 106.8023188 -6.2341252)"
650557176,False,2,Jalan Sriwijaya II,residential,,4,False,25.862000000000002,"LINESTRING (106.8023388 -6.2343592, 106.802343 -6.2344305, 106.8023363 -6.2344825, 106.8023215 -6.2345132, 106.8022934 -6.2345425, 106.8022608 -6.2345535)"
28207300,False,2,Jalan Aditiawarman,residential,,7,False,249.512,"LINESTRING (106.8042947 -6.234818, 106.8042862 -6.2325741)"
28207300,False,2,Jalan Aditiawarman,residential,,7,True,82.14,"LINESTRING (106.8042947 -6.234818, 106.8042923 -6.2355567)"
27989841,False,2,Jalan Daksa I,residential,,5,False,118.852,"LINESTRING (106.8042947 -6.234818, 106.8048254 -6.2348148, 106.8053699 -6.2348118)"
650557159,False,2,Jalan Daksa I,residential,,5,True,23.733,"LINESTRING (106.8075923 -6.2348276, 106.8073776 -6.2348294)"
28191657,True,2,Jalan Gunawarman,secondary,,6,False,155.733,"LINESTRING (106.8075923 -6.2348276, 106.8075963 -6.23433, 106.8075975 -6.2341801, 106.8075981 -6.2340359, 106.807593 -6.2334271)"
1231152151,False,2,Jalan Daksa IV,residential,,5,False,16.917,"LINESTRING (106.8053979 -6.2327419, 106.8055509 -6.2327454)"
"[650557186, 650420717]",False,2,Jalan Purnawarman,residential,,5,"[False, True]",25.067999999999998,"LINESTRING (106.8053979 -6.2327419, 106.8053929 -6.2326609, 106.8053833 -6.2326314, 106.8053685 -6.2326141, 106.8053256 -6.2325921, 106.8052854 -6.2325774)"
650420717,False,2,Jalan Purnawarman,residential,,5,True,77.357,"LINESTRING (106.8053979 -6.2327419, 106.8053855 -6.233173, 106.8053779 -6.2334373)"
27989865,False,2,Jalan Daksa III,residential,,5,False,10.006,"LINESTRING (106.8053779 -6.2334373, 106.8054684 -6.2334353)"
650420717,False,2,Jalan Purnawarman,residential,,5,False,77.357,"LINESTRING (106.8053779 -6.2334373, 106.8053855 -6.233173, 106.8053979 -6.2327419)"
650420717,False,2,Jalan Purnawarman,residential,,5,True,75.682,"LINESTRING (106.8053779 -6.2334373, 106.8053814 -6.2338386, 106.8053839 -6.2341179)"
28191657,True,2,Jalan Gunawarman,secondary,,6,False,26.955,"LINESTRING (106.807593 -6.2334271, 106.8075905 -6.2331847)"
650557184,False,2,Jalan Daksa III,residential,,5,True,24.327,"LINESTRING (106.807593 -6.2334271, 106.807373 -6.2334214)"
27989885,True,2,Jalan Taman Gunawarman Timur,residential,,5,False,81.718,"LINESTRING (106.8073907 -6.2341561, 106.807373 -6.2334214)"
27989887,False,2,Jalan Daksa II,residential,,5,True,221.868,"LINESTRING (106.8073907 -6.2341561, 106.8072782 -6.234154, 106.8053839 -6.2341179)"
651964833,False,1,Jalan Purnawarman,residential,,5,True,83.555,"LINESTRING (106.8058538 -6.2321661, 106.8058605 -6.2314147)"
27989890,False,1,Jalan Purnawarman,residential,,5,False,82.716,"LINESTRING (106.8058538 -6.2321661, 106.8057164 -6.2321732, 106.8055535 -6.232246, 106.8054947 -6.2322962, 106.805437 -6.2323454, 106.8053931 -6.232403, 106.805335 -6.2324941, 106.8052854 -6.2325774)"
519500171,False,1,Jalan Daksa IV,residential,,5,True,186.13,"LINESTRING (106.8058538 -6.2321661, 106.8067408 -6.2324598, 106.8070838 -6.2325695, 106.8072296 -6.2326266, 106.8074531 -6.2326882)"
652042270,True,2,Jalan Gunawarman,secondary,,6,False,15.991,"LINESTRING (106.8075766 -6.2320753, 106.8075751 -6.2319315)"
744827230,True,1,Jalan Daksa V,residential,,,False,27.975,"LINESTRING (106.8075766 -6.2320753, 106.8075391 -6.2320375, 106.8075009 -6.2320095, 106.8074559 -6.2319868, 106.8073605 -6.2319516)"
28191657,True,2,Jalan Gunawarman,secondary,,6,False,139.37900000000002,"LINESTRING (106.8072063 -6.2383065, 106.8072179 -6.2382167, 106.8072434 -6.2380674, 106.8072716 -6.2379412, 106.8072836 -6.2378874, 106.8073748 -6.2375515, 106.8075049 -6.2370901)"
650420717,False,2,Jalan Purnawarman,residential,,5,True,77.174,"LINESTRING (106.8053839 -6.2341179, 106.8053699 -6.2348118)"
27989887,False,2,Jalan Daksa II,residential,,5,False,221.868,"LINESTRING (106.8053839 -6.2341179, 106.8072782 -6.234154, 106.8073907 -6.2341561)"
650420717,False,2,Jalan Purnawarman,residential,,5,False,75.682,"LINESTRING (106.8053839 -6.2341179, 106.8053814 -6.2338386, 106.8053779 -6.2334373)"
650557184,False,2,Jalan Daksa III,residential,,5,False,24.327,"LINESTRING (106.807373 -6.2334214, 106.807593 -6.2334271)"
1231152149,False,2,Jalan Daksa III,residential,,5,True,2.62,"LINESTRING (106.807373 -6.2334214, 106.8073493 -6.2334213)"
650420719,True,2,Jalan Taman Gunawarman Timur,residential,,5,False,74.882,"LINESTRING (106.8073776 -6.2348294, 106.8073907 -6.2341561)"
650557159,False,2,Jalan Daksa I,residential,,5,False,23.733,"LINESTRING (106.8073776 -6.2348294, 106.8075923 -6.2348276)"
936170983,False,2,Jalan Daksa I,residential,,5,True,4.169,"LINESTRING (106.8073776 -6.2348294, 106.8073399 -6.2348305)"
650420717,False,2,Jalan Purnawarman,residential,,5,False,77.174,"LINESTRING (106.8053699 -6.2348118, 106.8053839 -6.2341179)"
650420717,False,2,Jalan Purnawarman,residential,,5,True,82.052,"LINESTRING (106.8053699 -6.2348118, 106.8053736 -6.2355497)"
650581195,False,2,Jalan Daksa I,residential,,5,False,7.706,"LINESTRING (106.8053699 -6.2348118, 106.8054396 -6.2348131)"
27989841,False,2,Jalan Daksa I,residential,,5,True,118.852,"LINESTRING (106.8053699 -6.2348118, 106.8048254 -6.2348148, 106.8042947 -6.234818)"
651964833,False,1,Jalan Purnawarman,residential,,5,False,83.555,"LINESTRING (106.8058605 -6.2314147, 106.8058538 -6.2321661)"
