osmid,highway,oneway,reversed,length,lanes,name,ref,geometry
680815420,residential,False,False,69.769,,,,"LINESTRING (111.6600622 -8.0854736, 111.6606954 -8.0854997)"
680815420,residential,False,True,105.139,,,,"LINESTRING (111.6600622 -8.0854736, 111.6591073 -8.0854892)"
323569999,residential,False,False,103.261,2,Jalan Terate,,"LINESTRING (111.6591073 -8.0854892, 111.6590314 -8.0864148)"
680815420,residential,False,False,105.139,,,,"LINESTRING (111.6591073 -8.0854892, 111.6600622 -8.0854736)"
680815420,residential,False,True,69.769,,,,"LINESTRING (111.6606954 -8.0854997, 111.6600622 -8.0854736)"
683831062,trunk,False,False,69.918,,Jalan Raya Pacitan-Trenggalek,21,"LINESTRING (111.6606954 -8.0854997, 111.6605945 -8.0861205)"
683829058,residential,False,False,103.843,,,,"LINESTRING (111.6552688 -8.0912332, 111.6552419 -8.0921667)"
683829058,residential,False,True,120.902,,,,"LINESTRING (111.6552688 -8.0912332, 111.6552958 -8.0906722, 111.6553354 -8.0902101, 111.6553389 -8.0901483)"
683829058,residential,False,False,120.902,,,,"LINESTRING (111.6553389 -8.0901483, 111.6553354 -8.0902101, 111.6552958 -8.0906722, 111.6552688 -8.0912332)"
"[683838497, 683829058]",residential,False,True,48.732,,,,"LINESTRING (111.6553389 -8.0901483, 111.6554005 -8.0901589, 111.6554656 -8.0901686, 111.6555293 -8.0901735, 111.6555843 -8.0901735, 111.6556285 -8.0901556, 111.6556621 -8.0901297, 111.6556835 -8.0901108, 111.6557063 -8.0900793, 111.655721 -8.0900454)"
683829058,residential,False,True,103.843,,,,"LINESTRING (111.6552419 -8.0921667, 111.6552688 -8.0912332)"
683829058,residential,False,False,86.305,,,,"LINESTRING (111.6552419 -8.0921667, 111.6552429 -8.0922531, 111.6552284 -8.0929427)"
683829058,residential,False,True,84.315,,,,"LINESTRING (111.6552126 -8.0937008, 111.6552284 -8.0929427)"
805889898,trunk,False,True,483.712,,Jalan Raya Pacitan-Trenggalek,21,"LINESTRING (111.6552126 -8.0937008, 111.6558364 -8.0931948, 111.6569254 -8.0923557, 111.6577381 -8.0917383, 111.6583201 -8.0913015, 111.6586714 -8.0910187)"
323569999,residential,False,False,99.685,2,Jalan Terate,,"LINESTRING (111.6588831 -8.0881243, 111.6588144 -8.0890182)"
323569999,residential,False,True,190.788,2,Jalan Terate,,"LINESTRING (111.6588831 -8.0881243, 111.6590314 -8.0864148)"
683829082,residential,False,False,138.116,,,,"LINESTRING (111.6588831 -8.0881243, 111.6601242 -8.0883059)"
