osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed
"[681797064, 158239694]",False,,,residential,"[False, True]",200.331,"LINESTRING (111.8961603 -8.0705173, 111.896393 -8.0698268, 111.8965343 -8.0698738, 111.8970063 -8.07006, 111.8974217 -8.0701591)",
158239694,False,,,residential,True,176.74099999999999,"LINESTRING (111.8961603 -8.0705173, 111.8960329 -8.0708555, 111.8959457 -8.0710839, 111.8958666 -8.071305, 111.895705 -8.0720375)",
158239693,False,,Jalan Yos Sudarso Gang 2,residential,False,244.673,"LINESTRING (111.895705 -8.0720375, 111.8968313 -8.0720175, 111.8979272 -8.0720263)",20
158239694,False,,,residential,False,176.741,"LINESTRING (111.895705 -8.0720375, 111.8958666 -8.071305, 111.8959457 -8.0710839, 111.8960329 -8.0708555, 111.8961603 -8.0705173)",
43392507,False,,Jalan P.Diponegoro,secondary,False,41.366,"LINESTRING (111.9012727 -8.0687542, 111.9013323 -8.0691215)",
43392507,False,,Jalan P.Diponegoro,secondary,True,25.387,"LINESTRING (111.9012727 -8.0687542, 111.9012324 -8.0685294)",
158315744,False,,Gang IV,residential,False,162.792,"LINESTRING (111.9012727 -8.0687542, 111.9015844 -8.0687795, 111.9021101 -8.0687596, 111.9024119 -8.0687702, 111.9027478 -8.068806)",
681797352,False,,,residential,True,53.363,"LINESTRING (111.900135 -8.0691414, 111.9002055 -8.0686666)",
158390851,False,,,residential,True,156.711,"LINESTRING (111.900135 -8.0691414, 111.9000849 -8.069443, 111.9000495 -8.0699931, 111.9000462 -8.070185, 111.9000522 -8.0705455)",
681797526,False,,,residential,False,137.82299999999998,"LINESTRING (111.900135 -8.0691414, 111.9007743 -8.069126, 111.9008011 -8.0691112, 111.900831 -8.0691129, 111.9008426 -8.0691393, 111.9008488 -8.0691705, 111.9008663 -8.0691811, 111.900885 -8.0691811, 111.9013323 -8.0691215)",
97027865,False,,,residential,False,43.525,"LINESTRING (111.9000522 -8.0705455, 111.9004473 -8.0705593)",
97027865,False,,,residential,True,208.888,"LINESTRING (111.9000522 -8.0705455, 111.8996257 -8.0705474, 111.898697 -8.0705343, 111.898155 -8.0705255)",
158390851,False,,,residential,False,156.711,"LINESTRING (111.9000522 -8.0705455, 111.9000462 -8.070185, 111.9000495 -8.0699931, 111.9000849 -8.069443, 111.900135 -8.0691414)",
97027865,False,,,residential,True,43.525,"LINESTRING (111.9004473 -8.0705593, 111.9000522 -8.0705455)",
158390860,False,,,residential,False,88.018,"LINESTRING (111.9004473 -8.0705593, 111.9004571 -8.0713508)",
97027865,False,,,residential,False,119.278,"LINESTRING (111.9004473 -8.0705593, 111.9009789 -8.0705827, 111.9015294 -8.0706119)",
43392507,False,,Jalan P.Diponegoro,secondary,True,71.336,"LINESTRING (111.9018089 -8.0722127, 111.9017224 -8.0715769)",
43392507,False,,Jalan P.Diponegoro,secondary,False,110.67,"LINESTRING (111.9018089 -8.0722127, 111.9018972 -8.0729872, 111.9019313 -8.0732004)",
"[158390860, 158390861]",False,,,residential,True,230.741,"LINESTRING (111.9018089 -8.0722127, 111.9004651 -8.0720897, 111.9004571 -8.0713508)",
158390854,False,,,residential,False,65.336,"LINESTRING (111.8994969 -8.0725773, 111.8996469 -8.0720088)",
158390853,False,,,residential,False,183.478,"LINESTRING (111.8994969 -8.0725773, 111.8988868 -8.0723938, 111.8983758 -8.072193, 111.8979272 -8.0720263)",
158390854,False,,,residential,True,78.869,"LINESTRING (111.8994969 -8.0725773, 111.8994556 -8.0727239, 111.8993044 -8.0732605)",
158409603,False,21,Jalan Yos Sudarso,trunk,True,36.038,"LINESTRING (111.8996316 -8.073251, 111.8993044 -8.0732605)",
158390869,False,,,residential,False,109.964,"LINESTRING (111.8996316 -8.073251, 111.8995446 -8.0736658, 111.8994705 -8.0742263)",
158409603,False,21,Jalan Yos Sudarso,trunk,False,253.34400000000002,"LINESTRING (111.8996316 -8.073251, 111.9002904 -8.0732335, 111.9004073 -8.0732426, 111.9006065 -8.0732272, 111.9017141 -8.0732048, 111.9019313 -8.0732004)",
158409603,False,21,Jalan Yos Sudarso,trunk,False,36.038,"LINESTRING (111.8993044 -8.0732605, 111.8996316 -8.073251)",
158409603,False,21,Jalan Yos Sudarso,trunk,True,177.564,"LINESTRING (111.8993044 -8.0732605, 111.8976919 -8.0732941)",
158390854,False,,,residential,False,78.869,"LINESTRING (111.8993044 -8.0732605, 111.8994556 -8.0727239, 111.8994969 -8.0725773)",
158390869,False,,,residential,False,48.857,"LINESTRING (111.8994705 -8.0742263, 111.8999095 -8.0742906)",
