osmid,oneway,lanes,name,highway,reversed,length,access,geometry,maxspeed,bridge
359307915,True,2,Jalan Braga,primary,False,11.124,,"LINESTRING (107.6099747 -6.9197157, 107.6099923 -6.9198142)",,
1227462568,True,2,Jalan Naripan,secondary,False,19.513,,"LINESTRING (107.6099747 -6.9197157, 107.61015 -6.9197383)",,
4569034,True,2,Jalan Braga,primary,False,132.215,yes,"LINESTRING (107.6099747 -6.9197157, 107.6099352 -6.9195836, 107.6096319 -6.9185764)",,
168567116,True,2,Jalan ABC,secondary,False,108.602,,"LINESTRING (107.6089914 -6.9197261, 107.6091946 -6.9197346, 107.6098643 -6.9197138, 107.6099005 -6.9197134, 107.6099747 -6.9197157)",,
955509777,True,4,Jalan Asia Afrika,primary,False,27.894,,"LINESTRING (107.6080507 -6.92126, 107.6077991 -6.9212366)",60,
4627131,True,,Jalan Cikapundung Barat,residential,False,118.89800000000001,,"LINESTRING (107.6080507 -6.92126, 107.6080614 -6.9211551, 107.6081622 -6.9204684, 107.6081943 -6.9202004)",,
4627147,True,2,Jalan ABC,secondary,False,206.654,,"LINESTRING (107.6066712 -6.9189713, 107.6067119 -6.9189496, 107.6067514 -6.9189366, 107.6067924 -6.9189312, 107.6071304 -6.9189661, 107.6073157 -6.9189903, 107.6074965 -6.9190287, 107.6076219 -6.919072, 107.6077728 -6.9191385, 107.6079125 -6.9192242, 107.6080647 -6.9193303, 107.6083693 -6.9195612)",,
319194435,True,2,Jalan Banceuy,secondary,False,85.619,,"LINESTRING (107.6066712 -6.9189713, 107.6066529 -6.9187736, 107.6065387 -6.9182135)",,
"[4627147, 168567116, 168567119]",True,2,Jalan ABC,secondary,False,71.675,,"LINESTRING (107.6083693 -6.9195612, 107.6084385 -6.9196004, 107.6085661 -6.9196522, 107.6088022 -6.9196932, 107.6088626 -6.9197052, 107.6089914 -6.9197261)",,yes
319194432,True,3,Jalan Dalem Kaum,secondary,False,17.851,,"LINESTRING (107.6075166 -6.9225267, 107.6076772 -6.9225455)",,
87148697,True,2,,tertiary,False,159.66299999999995,,"LINESTRING (107.6075166 -6.9225267, 107.6075532 -6.9224801, 107.6075645 -6.9224452, 107.6076223 -6.9218665, 107.6076488 -6.9214983, 107.6076487 -6.9214444, 107.6076364 -6.9214042, 107.607634 -6.9213964, 107.6076058 -6.9213365, 107.607523 -6.9212623, 107.6074327 -6.9212011)",,
4627126,True,2,Jalan Banceuy,secondary,False,116.476,,"LINESTRING (107.6065812 -6.9200148, 107.6066668 -6.919094, 107.6066712 -6.9189713)",,
87155592,False,,Jalan Belakang Factory,residential,False,179.255,,"LINESTRING (107.6065812 -6.9200148, 107.6066332 -6.9200208, 107.6070401 -6.9200676, 107.6073956 -6.9201085, 107.6080806 -6.9201873, 107.6081943 -6.9202004)",,
4627131,True,,Jalan Cikapundung Barat,residential,False,73.756,,"LINESTRING (107.6081943 -6.9202004, 107.6083058 -6.9197336, 107.6083693 -6.9195612)",,
87155592,False,,Jalan Belakang Factory,residential,True,179.25500000000002,,"LINESTRING (107.6081943 -6.9202004, 107.6080806 -6.9201873, 107.6073956 -6.9201085, 107.6070401 -6.9200676, 107.6066332 -6.9200208, 107.6065812 -6.9200148)",,
330544293,True,1,Jalan Balong Gede,tertiary,False,52.688,,"LINESTRING (107.6073093 -6.9243478, 107.6072989 -6.9244695, 107.6072674 -6.9248198)",,
166967706,False,,Jalan Pasundan,residential,True,76.643,,"LINESTRING (107.6088349 -6.9245314, 107.6088209 -6.9248752, 107.6088132 -6.9252203)",,
