osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
773819408,False,trunk,False,197.269,"LINESTRING (114.5894538 -3.31875, 114.5893905 -3.3185936, 114.5893634 -3.3185029, 114.5893227 -3.3182519, 114.5893165 -3.3182092, 114.5893111 -3.3180981, 114.5893299 -3.3180177, 114.5893486 -3.317924, 114.5893701 -3.3178571, 114.5894237 -3.3177339, 114.589509 -3.3175806, 114.589574 -3.3174638, 114.5897711 -3.3171036)",Jalan Letnan Jenderal R. Suprapto,4,,
286643171,True,trunk,False,58.809,"LINESTRING (114.5897711 -3.3171036, 114.5900355 -3.3166453)",Jalan Taman Sari,2,,
773819408,False,trunk,True,197.269,"LINESTRING (114.5897711 -3.3171036, 114.589574 -3.3174638, 114.589509 -3.3175806, 114.5894237 -3.3177339, 114.5893701 -3.3178571, 114.5893486 -3.317924, 114.5893299 -3.3180177, 114.5893111 -3.3180981, 114.5893165 -3.3182092, 114.5893227 -3.3182519, 114.5893634 -3.3185029, 114.5893905 -3.3185936, 114.5894538 -3.31875)",Jalan Letnan Jenderal R. Suprapto,4,,
286643168,True,trunk,False,7.114,"LINESTRING (114.5902546 -3.3166199, 114.5902765 -3.3166628, 114.5902792 -3.3166784)",Bundaran Taman Sari,1,,roundabout
286643168,True,trunk,False,32.559999999999995,"LINESTRING (114.5901838 -3.3168285, 114.5901421 -3.3168317, 114.5901014 -3.3168215, 114.5900661 -3.316799, 114.5900398 -3.3167664, 114.5900251 -3.3167273, 114.5900236 -3.3166855, 114.5900355 -3.3166453)",Bundaran Taman Sari,1,,roundabout
289701311,True,trunk,False,55.513,"LINESTRING (114.5901838 -3.3168285, 114.5900063 -3.3169178, 114.5899616 -3.3169406, 114.5899239 -3.3169675, 114.5897711 -3.3171036)",Jalan Taman Sari,2,,
286643168,True,trunk,False,24.375999999999998,"LINESTRING (114.5900595 -3.316611, 114.5900931 -3.3165861, 114.590133 -3.3165731, 114.5901782 -3.316574, 114.5902205 -3.3165902, 114.5902546 -3.3166199)",Bundaran Taman Sari,1,,roundabout
289701310,True,trunk,False,40.809000000000005,"LINESTRING (114.5900595 -3.316611, 114.5900668 -3.3165539, 114.5900999 -3.3164526, 114.5901154 -3.3163895, 114.5901304 -3.3162524)",Jalan Taman Sari,2,,
286643168,True,trunk,False,4.652,"LINESTRING (114.5900355 -3.3166453, 114.5900595 -3.316611)",Bundaran Taman Sari,1,,roundabout
286643175,True,secondary,False,27.586,"LINESTRING (114.5904537 -3.316802, 114.5902058 -3.3168193)",,,,
1068570132,False,secondary,True,88.84,"LINESTRING (114.5904537 -3.316802, 114.5911276 -3.316768, 114.5912531 -3.316765)",Jalan AS Musaffa,2,,
783268500,False,secondary,True,102.13899999999998,"LINESTRING (114.5912531 -3.316765, 114.5912661 -3.3168397, 114.5912795 -3.3168678, 114.5913054 -3.3169013, 114.5913552 -3.3169368, 114.5914116 -3.3169495, 114.5914585 -3.3169575, 114.5917989 -3.3169678, 114.5920623 -3.3169636)",Jalan AS Musaffa,2,,
1068570131,False,secondary,True,216.62800000000001,"LINESTRING (114.5912531 -3.316765, 114.5912241 -3.3164866, 114.5912153 -3.3164298, 114.5911847 -3.3162328, 114.591176 -3.3161598, 114.5911622 -3.3160388, 114.5911525 -3.3159406, 114.5911172 -3.3155813, 114.5910979 -3.315284, 114.5911061 -3.3150529, 114.5911134 -3.3149813, 114.5911293 -3.3148268)",Jalan Mayjen D.I. Panjaitan,2,,
1068570132,False,secondary,False,88.84,"LINESTRING (114.5912531 -3.316765, 114.5911276 -3.316768, 114.5904537 -3.316802)",Jalan AS Musaffa,2,,
