osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,width,access,ref
"[266986809, 963714226]",True,2,"['Jalan Merdeka', 'Jalan Faqih Jalaluddin']",primary,False,52.839,"LINESTRING (104.7593438 -2.9892227, 104.759423 -2.9891616, 104.759434 -2.9891352, 104.7594385 -2.9891145, 104.7594385 -2.9890937, 104.7594252 -2.9890559, 104.759394 -2.9890051, 104.7593465 -2.9889416, 104.7592805 -2.9888345)",,,,,
1195527283,True,,,primary,False,53.345,"LINESTRING (104.7593438 -2.9892227, 104.7594811 -2.9891529, 104.7595471 -2.9891168, 104.7596846 -2.9890545, 104.7597828 -2.9890738)",,,,,
476274155,False,,,primary_link,False,10.478,"LINESTRING (104.7569289 -2.9905336, 104.7569338 -2.9906277)",30,,,,
476274156,False,,,residential,False,27.392999999999997,"LINESTRING (104.7569289 -2.9905336, 104.7568911 -2.9904513, 104.7568606 -2.990385, 104.756826 -2.9903097)",,,,,
963714226,True,2,Jalan Merdeka,primary,False,305.223,"LINESTRING (104.7569289 -2.9905336, 104.7572221 -2.990377, 104.7576214 -2.9901637, 104.7579119 -2.9900086, 104.7580464 -2.9899367, 104.7583156 -2.9897891, 104.7585094 -2.9896819, 104.7585921 -2.9896364, 104.7589146 -2.9894589, 104.7593438 -2.9892227)",,,,,
476274155,False,,,primary_link,True,10.478,"LINESTRING (104.7569338 -2.9906277, 104.7569289 -2.9905336)",30,,,,
755033447,True,,Jalan Merdeka,primary,False,55.39,"LINESTRING (104.7569338 -2.9906277, 104.7564977 -2.9908695)",,,,,
122220188,True,,Jalan Rumah Bari,tertiary,False,116.51399999999998,"LINESTRING (104.7569338 -2.9906277, 104.7569689 -2.990736, 104.7570595 -2.990887, 104.7574139 -2.9914777, 104.7574496 -2.9915372)",,,,,
"[122062735, 43129034, 755033447]",True,,Jalan Merdeka,primary,False,130.858,"LINESTRING (104.75632 -2.9909644, 104.7560131 -2.9911204, 104.7559742 -2.9911402, 104.7557621 -2.9912486, 104.7554501 -2.9913937, 104.7552544 -2.991464)",,yes,,,
963714226,True,2,Jalan Merdeka,primary,False,94.297,"LINESTRING (104.7561833 -2.9909395, 104.7569289 -2.9905336)",,,,,
918146496,False,,,residential,False,40.379999999999995,"LINESTRING (104.7561833 -2.9909395, 104.7561273 -2.9907859, 104.7560978 -2.9906225, 104.7560897 -2.9906064, 104.756075 -2.990601)",,,,,
826839578,False,,Jalan Brigjend. Dhani Effendi,tertiary,False,12.251,"LINESTRING (104.7534652 -2.9871819, 104.7535162 -2.9872796)",,,,,
826839578,False,,Jalan Brigjend. Dhani Effendi,tertiary,True,14.924,"LINESTRING (104.7534652 -2.9871819, 104.7533941 -2.987068)",,,,,
"[122232882, 122232883, 122232884]",False,,Jalan Patinayah,residential,"[False, True]",41.717,"LINESTRING (104.7534652 -2.9871819, 104.7535285 -2.98715, 104.7535555 -2.9871349, 104.7537624 -2.9870195, 104.7537975 -2.9870083)",,yes,1.52,,
290633805,True,,Jalan Datuk M. Akib,tertiary,False,22.508,"LINESTRING (104.7560551 -2.9878115, 104.7558564 -2.9878515)",,,6,destination,
