osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge,access
112937725,False,2,Jalan Letnan Jenderal Sukowati,tertiary,False,128.603,"LINESTRING (110.5034809 -7.3314671, 110.5029881 -7.3313712, 110.5026904 -7.3312948, 110.502345 -7.3312077)",,,
253642525,True,,Jalan Kesambi,tertiary,False,150.49599999999998,"LINESTRING (110.5034809 -7.3314671, 110.5034856 -7.3313939, 110.503491 -7.3312961, 110.5035118 -7.3310986, 110.5036654 -7.3301269)",,,
253642527,True,,Jalan Pemotongan,tertiary,False,81.21300000000001,"LINESTRING (110.5037458 -7.3295589, 110.5037125 -7.3295564, 110.5032355 -7.3294864, 110.5031806 -7.3294645, 110.5031578 -7.3294186, 110.5031423 -7.3293793, 110.5031266 -7.3293142)",,,
258590547,False,2,Jalan Pemotongan,tertiary,False,3.524,"LINESTRING (110.5031041 -7.328407, 110.5030887 -7.3283997, 110.503076 -7.328392)",,,
113107863,False,,Jalan Kalinongko,residential,True,139.531,"LINESTRING (110.4978235 -7.3316845, 110.4984326 -7.3318936, 110.4990191 -7.3320949)",,,
301439801,False,2,Jalan Osamaliki,primary,False,204.15599999999998,"LINESTRING (110.4978235 -7.3316845, 110.4978771 -7.3318042, 110.4979147 -7.3319465, 110.4979496 -7.3321354, 110.4980622 -7.3326981, 110.4980931 -7.3328776, 110.4981105 -7.3330373, 110.4981065 -7.3332035, 110.4980797 -7.3334855)",,,
301439801,False,2,Jalan Osamaliki,primary,True,70.914,"LINESTRING (110.4978235 -7.3316845, 110.4977028 -7.3315675, 110.4975234 -7.3314567, 110.4972838 -7.3313494)",,,
301439801,False,2,Jalan Osamaliki,primary,False,77.99,"LINESTRING (110.4952719 -7.3280718, 110.4952704 -7.3281247, 110.495262 -7.3285666, 110.4952727 -7.3287728)",,,
301439801,False,2,Jalan Osamaliki,primary,True,55.965,"LINESTRING (110.4952719 -7.3280718, 110.4952849 -7.3276408, 110.4952888 -7.3275688)",,,
"[667628589, 667628590, 667628591, 667628592, 258590549]",False,2,Jalan Stadion,unclassified,True,205.824,"LINESTRING (110.4952719 -7.3280718, 110.495443 -7.328067, 110.4954976 -7.3280646, 110.4958301 -7.3280458, 110.495885 -7.3280415, 110.4964851 -7.327992, 110.496711 -7.3279718, 110.4969652 -7.3279641, 110.4971342 -7.3279654)",20,yes,
253648183,False,2,Jalan Merak,unclassified,False,3.969,"LINESTRING (110.4962155 -7.3309483, 110.4961815 -7.33096)",,,
301439801,False,2,Jalan Osamaliki,primary,False,48.077,"LINESTRING (110.4962155 -7.3309483, 110.4962497 -7.3309729, 110.496302 -7.3309988, 110.4966165 -7.3311139)",,,
301439801,False,2,Jalan Osamaliki,primary,True,77.692,"LINESTRING (110.4962155 -7.3309483, 110.4961941 -7.330917, 110.4961699 -7.3308612, 110.4960353 -7.3305045, 110.4959527 -7.3303011)",,,
301439801,False,2,Jalan Osamaliki,primary,True,6.036,"LINESTRING (110.4952888 -7.3275688, 110.4952857 -7.3275146)",,,
301439801,False,2,Jalan Osamaliki,primary,False,55.965,"LINESTRING (110.4952888 -7.3275688, 110.4952849 -7.3276408, 110.4952719 -7.3280718)",,,
40503971,True,,Jalan Semeru,unclassified,False,148.192,"LINESTRING (110.50344 -7.3338154, 110.503424 -7.333709, 110.5034132 -7.3334496, 110.5034092 -7.3331383, 110.503432 -7.3324845)",,,
301439789,False,,Jalan Jenderal Achmad Yani,tertiary,False,157.84699999999998,"LINESTRING (110.50344 -7.3338154, 110.502976 -7.3340495, 110.5025885 -7.334241, 110.5023504 -7.3343481, 110.5021486 -7.3344253)",,,
