osmid,oneway,lanes,ref,name,highway,width,est_width,reversed,length,geometry,maxspeed
374144401,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.61,False,262.476,"LINESTRING (106.0512037 -6.0165333, 106.0516557 -6.0167847, 106.0526542 -6.0172709, 106.0530189 -6.017449, 106.0533261 -6.0175883)",
674696529,False,,,,residential,,,False,134.813,"LINESTRING (106.0512037 -6.0165333, 106.0512688 -6.0163806, 106.0513231 -6.0162713, 106.0513546 -6.0162219, 106.0513747 -6.0162032, 106.0513975 -6.0161906, 106.0514385 -6.0161862, 106.0514793 -6.0161886, 106.0515471 -6.0161925, 106.0516423 -6.0161913, 106.0517046 -6.0161665, 106.051763 -6.0161365, 106.0518287 -6.0160839, 106.0518857 -6.0160312, 106.0520325 -6.0158438, 106.0520557 -6.0158136)",
155690247,False,,,Jalan Sastradikarta,tertiary,,,False,19.839,"LINESTRING (106.0515072 -6.0148049, 106.0515659 -6.0147701, 106.051598 -6.0147261, 106.0516249 -6.0146768)",
155690247,False,,,Jalan Sastradikarta,tertiary,,,True,193.353,"LINESTRING (106.0515072 -6.0148049, 106.0512145 -6.0149142, 106.0511836 -6.0149292, 106.0511612 -6.0149549, 106.0508604 -6.0154897, 106.050499 -6.0161445)",
"[674697882, 1043603123]",False,,,,"['residential', 'living_street']",,,False,166.264,"LINESTRING (106.0515072 -6.0148049, 106.0515622 -6.0149052, 106.0515769 -6.0149325, 106.051586 -6.0149542, 106.0515878 -6.0149674, 106.0515873 -6.0149809, 106.0515739 -6.0150189, 106.0513962 -6.0153263, 106.0513607 -6.015397, 106.0513727 -6.015431, 106.0513955 -6.0154663, 106.0515431 -6.015525, 106.0517684 -6.0156264, 106.0519105 -6.0156957, 106.0520557 -6.0158136)",
374144401,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.61,False,89.117,"LINESTRING (106.050499 -6.0161445, 106.0512037 -6.0165333)",
827255627,False,,,Jalan Sastradikarta,tertiary_link,,,True,7.271,"LINESTRING (106.050499 -6.0161445, 106.0504675 -6.0162019)",
155690247,False,,,Jalan Sastradikarta,tertiary,,,False,193.353,"LINESTRING (106.050499 -6.0161445, 106.0508604 -6.0154897, 106.0511612 -6.0149549, 106.0511836 -6.0149292, 106.0512145 -6.0149142, 106.0515072 -6.0148049)",
155690282,False,,,,residential,,,True,148.671,"LINESTRING (106.0562731 -6.0170221, 106.0549843 -6.0169662, 106.05493 -6.0169628)",
458901897,False,2,,Jalan Kyai Haji Aliyudin,residential,3.5,,False,134.179,"LINESTRING (106.0562731 -6.0170221, 106.0568538 -6.0169167, 106.0574608 -6.0167768)",
529903459,False,2,,Jalan Kapten P.Tendean,tertiary,5,4.55,False,71.224,"LINESTRING (106.0562731 -6.0170221, 106.0563456 -6.0166654, 106.0564153 -6.0163976)",
529903459,False,2,,Jalan Kapten P.Tendean,tertiary,5,4.55,True,102.037,"LINESTRING (106.0562731 -6.0170221, 106.0561766 -6.0173869, 106.0560167 -6.0179034)",
155690282,False,,,,residential,,,False,166.181,"LINESTRING (106.0541636 -6.0179364, 106.0543815 -6.0170599, 106.0544218 -6.0169962, 106.0544539 -6.0169741, 106.0544899 -6.0169598, 106.054529 -6.0169514, 106.0545675 -6.0169509, 106.0546471 -6.0169485, 106.05493 -6.0169628)",
374144401,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.61,False,193.992,"LINESTRING (106.0541636 -6.0179364, 106.0549179 -6.0182525, 106.0554039 -6.0184386, 106.055785 -6.0186019)",
665359709,True,2,1,Jalan Jendral Ahmad Yani,trunk,5.5,5.78,False,112.609,"LINESTRING (106.055785 -6.0186019, 106.0567279 -6.0189844)",
529903459,False,2,,Jalan Kapten P.Tendean,tertiary,5,4.55,False,68.027,"LINESTRING (106.055785 -6.0186019, 106.0558661 -6.0183572, 106.0559801 -6.0180217)",
"[665359708, 821766030]",False,,,Jalan D.I. Panjaitan,tertiary,,,True,7.8629999999999995,"LINESTRING (106.055785 -6.0186019, 106.0557772 -6.0186323, 106.0557635 -6.0186692)",
156383264,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.78,False,156.586,"LINESTRING (106.0526541 -6.0173482, 106.0513848 -6.016724)",
"[245827073, 1057142483]",False,,,Jalan Nurul Ikhlas,residential,,,True,203.26500000000001,"LINESTRING (106.0526541 -6.0173482, 106.0524342 -6.0179694, 106.0524186 -6.0179967, 106.0524015 -6.0180071, 106.0523734 -6.0180089, 106.0520842 -6.0179524, 106.0516047 -6.0178697, 106.0512909 -6.0178456)",
156383264,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.78,False,123.409,"LINESTRING (106.0557635 -6.0186692, 106.0547322 -6.0182451)",
665359705,False,2,,Jalan Pagebangan,tertiary,5.5,5.30,True,150.5,"LINESTRING (106.0557635 -6.0186692, 106.0555905 -6.0192248, 106.0553635 -6.0199629)",30
"[665359708, 821766030]",False,,,Jalan D.I. Panjaitan,tertiary,,,False,7.8629999999999995,"LINESTRING (106.0557635 -6.0186692, 106.0557772 -6.0186323, 106.055785 -6.0186019)",
156383264,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.78,False,52.981,"LINESTRING (106.0541716 -6.0180271, 106.0537311 -6.0178397)",
1053489966,False,,,Jalan Stasiun KA,residential,,,True,33.773,"LINESTRING (106.0541716 -6.0180271, 106.0540897 -6.0183197)",
1053489966,False,,,Jalan Stasiun KA,residential,,,False,33.773,"LINESTRING (106.0540897 -6.0183197, 106.0541716 -6.0180271)",
"[672287652, 672287653]",False,,,Jalan Nurul Ikhlas,residential,,,True,248.978,"LINESTRING (106.0540897 -6.0183197, 106.0535678 -6.0182225, 106.0531938 -6.0181438, 106.0531873 -6.0181466, 106.0531862 -6.018153, 106.0529405 -6.0194475)",
1053489966,False,,,Jalan Stasiun KA,residential,,,True,143.61999999999998,"LINESTRING (106.0540897 -6.0183197, 106.0540256 -6.0186118, 106.0539256 -6.0189646, 106.0538851 -6.0190896, 106.0537532 -6.0194688, 106.0537073 -6.0195504)",
245827072,False,,,Jalan Stasiun KA,residential,,,True,34.279,"LINESTRING (106.0512909 -6.0178456, 106.0513115 -6.017538)",
245827072,False,,,Jalan Stasiun KA,residential,,,False,286.445,"LINESTRING (106.0512909 -6.0178456, 106.0512849 -6.0181592, 106.051311 -6.0184752, 106.0513506 -6.0185872, 106.0513821 -6.0186393, 106.0514405 -6.0187086, 106.0517073 -6.018912, 106.0517878 -6.018968, 106.0519078 -6.0190327, 106.0522968 -6.0191854, 106.052736 -6.0193655, 106.0529405 -6.0194475)",
"[245827073, 1057142483]",False,,,Jalan Nurul Ikhlas,residential,,,False,203.265,"LINESTRING (106.0512909 -6.0178456, 106.0516047 -6.0178697, 106.0520842 -6.0179524, 106.0523734 -6.0180089, 106.0524015 -6.0180071, 106.0524186 -6.0179967, 106.0524342 -6.0179694, 106.0526541 -6.0173482)",
156383264,True,2,1,Jalan Raya Cilegon,trunk,5.5,5.78,False,62.138,"LINESTRING (106.0513848 -6.016724, 106.0509443 -6.0164907, 106.0508902 -6.0164589)",
245827072,False,,,Jalan Stasiun KA,residential,,,False,39.314,"LINESTRING (106.0513848 -6.016724, 106.0513584 -6.0169557, 106.0513502 -6.0170758)",
374144404,False,,,,residential,,4.01,True,84.535,"LINESTRING (106.0537073 -6.0195504, 106.0544527 -6.0197191)",
245827072,False,,,Jalan Stasiun KA,residential,,,True,87.767,"LINESTRING (106.0537073 -6.0195504, 106.0536312 -6.0195762, 106.05354 -6.0195869, 106.0534595 -6.0195895, 106.0533562 -6.0195802, 106.0532489 -6.0195562, 106.0529405 -6.0194475)",
1053489966,False,,,Jalan Stasiun KA,residential,,,False,143.62,"LINESTRING (106.0537073 -6.0195504, 106.0537532 -6.0194688, 106.0538851 -6.0190896, 106.0539256 -6.0189646, 106.0540256 -6.0186118, 106.0540897 -6.0183197)",
529903459,False,2,,Jalan Kapten P.Tendean,tertiary,5,4.55,False,5.077,"LINESTRING (106.0573051 -6.0139479, 106.0573259 -6.0139072)",
529903459,False,2,,Jalan Kapten P.Tendean,tertiary,5,4.55,True,169.592,"LINESTRING (106.0573051 -6.0139479, 106.0571824 -6.014262, 106.0570121 -6.0146861, 106.0568565 -6.0151116, 106.0567707 -6.015377)",
1271309383,False,,,Jalan K.H. Wasyid,living_street,,,False,61.688,"LINESTRING (106.0573051 -6.0139479, 106.0575083 -6.0140173, 106.0576618 -6.0140613, 106.0578405 -6.0141016)",
