osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
350585922,Jalan Niaga,tertiary,False,True,63.409,"LINESTRING (108.9883004 0.9070004, 108.9880334 0.9064965)",,,
266821234,Jalan Niaga,tertiary,False,True,91.87100000000001,"LINESTRING (108.9883004 0.9070004, 108.9885029 0.9073132, 108.9887349 0.907703)",,,
351186065,,residential,True,False,32.969,"LINESTRING (108.9883004 0.9070004, 108.9881407 0.9070992, 108.9880495 0.9071584)",,,
266821179,Jalan S.M. Tsafioddin,tertiary,False,True,35.303999999999995,"LINESTRING (108.9850159 0.9076049, 108.9850863 0.9076353, 108.9851361 0.9076551, 108.9851897 0.9076745, 108.9852385 0.9076895, 108.9852755 0.907698, 108.9853164 0.9077033)",,,
266821189,Jalan Hermansyah,tertiary,False,True,47.105000000000004,"LINESTRING (108.9850159 0.9076049, 108.9851139 0.9077979, 108.9852129 0.9079799)",,,
246091684,Jalan Bawal,tertiary,False,False,86.388,"LINESTRING (108.9912535 0.9088378, 108.9912388 0.9083966, 108.9912254 0.9080614)",,,
314359070,Jalan Bawal,tertiary,False,True,89.844,"LINESTRING (108.9912535 0.9088378, 108.991271 0.9092374, 108.9912706 0.9096454)",,,
350585918,Setia Budi,secondary,True,False,58.158,"LINESTRING (108.9912535 0.9088378, 108.9909927 0.9088428, 108.9907305 0.9088479)",2,,
188159816,,tertiary,True,False,42.264,"LINESTRING (108.9871877 0.9070009, 108.9868151 0.9069256)",,,
266821210,,tertiary,False,True,37.612,"LINESTRING (108.9871877 0.9070009, 108.9873089 0.9069175, 108.9874687 0.9068126)",,,
293140656,,residential,False,True,49.789,"LINESTRING (108.987253 0.9076725, 108.9871296 0.9077503, 108.9869888 0.9078348, 108.9868708 0.9079058)",,,
770600011,Jalan P. Diponegoro,primary,True,False,87.50999999999999,"LINESTRING (108.987253 0.9076725, 108.9874649 0.9080319, 108.9876604 0.9083458)",2,,
188159814,Setia Budi,secondary,True,False,40.664,"LINESTRING (108.989206 0.9088872, 108.9891574 0.9092071, 108.9891433 0.9092468)",,,
266821234,Jalan Niaga,tertiary,False,False,89.642,"LINESTRING (108.989206 0.9088872, 108.9892023 0.9086554, 108.9891956 0.9085629, 108.9891849 0.9084831, 108.989144 0.9083899, 108.9890863 0.9082927, 108.9889899 0.9081333)",,,
350586909,Jalan P. Diponegoro,primary,True,False,327.22,"LINESTRING (108.9868151 0.9069256, 108.9865509 0.9065924, 108.9864262 0.9064214, 108.9863835 0.9063593, 108.9861922 0.9060963, 108.9861772 0.9060763, 108.9861151 0.9059937, 108.9859676 0.9057959, 108.9858113 0.9055981, 108.9855243 0.9051985, 108.9854177 0.9050564, 108.985073 0.9045548)",,,
771810985,,primary,True,False,46.201,"LINESTRING (108.9868151 0.9069256, 108.9868628 0.906986, 108.9869635 0.9071602, 108.987013 0.9072883)",,,
188159807,Jalan Sejahtera,tertiary,True,False,25.868,"LINESTRING (108.9877729 0.9073275, 108.9876568 0.9071259)",,,
