osmid,oneway,highway,reversed,length,bridge,lanes,ref,maxspeed,geometry,name,junction,access
599906051,True,primary_link,False,7.004,,,,,"LINESTRING (19.3029675 49.0852426, 19.3028978 49.0851992)",,,
38731224,False,primary,False,74.01,yes,2,59,50,"LINESTRING (19.3029675 49.0852426, 19.3033403 49.0857454, 19.3033811 49.0857926, 19.3034165 49.0858396)",,,
299857944,True,primary,False,34.536,,3,18,50,"LINESTRING (19.3031759 49.0848506, 19.302973 49.0849307, 19.3028805 49.0849605, 19.302765 49.0850053)",Nábrežie M.R. Štefánika,,
599906053,True,primary_link,False,48.216,,,,,"LINESTRING (19.3031759 49.0848506, 19.3030667 49.0849644, 19.30298 49.0850335, 19.3029626 49.085137, 19.3029675 49.0852426)",,,
29174495,False,residential,False,17.181,,,,,"LINESTRING (19.3083122 49.0819663, 19.3081376 49.0818624)",,,
38731248,True,primary,False,70.026,,2,18,50,"LINESTRING (19.3083122 49.0819663, 19.3077812 49.0822879, 19.3076038 49.0823921)",Nábrežie M.R. Štefánika,,
"[29174496, 29174495]",False,residential,True,133.298,,,,,"LINESTRING (19.3073334 49.0808228, 19.307479 49.0812192, 19.3075335 49.0813464, 19.3075766 49.0814169, 19.3076327 49.0814956, 19.3077165 49.0815796, 19.3078323 49.0816695, 19.3080136 49.081791, 19.3080758 49.0818229, 19.3081376 49.0818624)",Zarevúca,,
29174497,True,residential,False,27.766999999999996,,,,,"LINESTRING (19.3073334 49.0808228, 19.3073021 49.0808192, 19.3072726 49.0808115, 19.3072462 49.0807999, 19.307224 49.080785, 19.307207 49.0807674, 19.3071959 49.0807479, 19.3071912 49.0807273, 19.307193 49.0807066, 19.3072014 49.0806865, 19.307216 49.080668, 19.307236 49.0806518, 19.3072607 49.0806388)",Zarevúca,roundabout,
38731259,True,residential,False,25.928,,,,,"LINESTRING (19.3074616 49.0806587, 19.3074864 49.080686, 19.3074968 49.0807171, 19.3074849 49.0807641, 19.3074455 49.0807979, 19.307412 49.0808127, 19.3073737 49.0808212, 19.3073334 49.0808228)",Zarevúca,roundabout,
"[119903730, 461699652]",False,residential,True,121.30600000000001,,,,,"LINESTRING (19.3074616 49.0806587, 19.307539 49.080632, 19.3076037 49.0806097, 19.3076492 49.0805937, 19.3078618 49.0805259, 19.3083461 49.0803492, 19.3085709 49.0802718, 19.3089294 49.0801435)",Zarevúca,,no
37906109,False,residential,False,208.174,,,,,"LINESTRING (19.3072607 49.0806388, 19.3070989 49.0804365, 19.3070104 49.0803616, 19.3068257 49.0802055, 19.3063215 49.0797792, 19.3061692 49.079613, 19.3060715 49.0794765, 19.3058384 49.0790344)",Zarevúca,,
38731259,True,residential,False,16.151,,,,,"LINESTRING (19.3072607 49.0806388, 19.3072939 49.0806281, 19.30733 49.080623, 19.3073669 49.0806237, 19.3074025 49.0806302, 19.3074347 49.0806421, 19.3074616 49.0806587)",Zarevúca,roundabout,
38731231,False,residential,False,100.74700000000001,,,,,"LINESTRING (19.2968218 49.081626, 19.2976596 49.0814938, 19.2978179 49.0814996, 19.2981803 49.081513)",Dušana Makovického,,
"[363858452, 38731276]",False,residential,True,204.723,,,,,"LINESTRING (19.2968218 49.081626, 19.2968751 49.0816611, 19.2972585 49.0819141, 19.2980739 49.082426, 19.2985871 49.0827464, 19.2988558 49.082896)",Karola Salvu,,
38731231,False,residential,True,100.74700000000001,,,,,"LINESTRING (19.2981803 49.081513, 19.2978179 49.0814996, 19.2976596 49.0814938, 19.2968218 49.081626)",Dušana Makovického,,
