osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,width
378492440,2,,secondary,50,False,False,34.887,507,"LINESTRING (17.5796947 47.8940262, 17.5800914 47.8941926)",,,
30879502,,Krátky Rad,secondary,50,False,True,236.725,507,"LINESTRING (17.5796947 47.8940262, 17.5788019 47.8936456, 17.5782162 47.8933422, 17.5773082 47.8928081, 17.577183 47.8927319)",,,
"[1193400581, 95628454]",2,Žabia,residential,50,False,False,42.025999999999996,,"LINESTRING (17.5796947 47.8940262, 17.5797342 47.8940008, 17.5797869 47.8939721, 17.5801697 47.8938252)",,,
30879502,,Krátky Rad,secondary,50,False,False,236.72500000000002,507,"LINESTRING (17.577183 47.8927319, 17.5773082 47.8928081, 17.5782162 47.8933422, 17.5788019 47.8936456, 17.5796947 47.8940262)",,,
95628461,,Školská,residential,,False,False,290.782,,"LINESTRING (17.577183 47.8927319, 17.5772312 47.8927005, 17.5785303 47.8918536, 17.579973 47.8909047)",,,
632369827,2,Krátky Rad,secondary,50,False,False,16.88,507,"LINESTRING (17.577183 47.8927319, 17.5770257 47.8926399, 17.5770124 47.8926321)",,,
95628457,,Bočná,residential,,False,False,251.94799999999998,,"LINESTRING (17.5814962 47.8918819, 17.5824066 47.8912522, 17.5826034 47.8911264, 17.5827911 47.891108, 17.5830382 47.8911693, 17.5834044 47.8910742, 17.5836012 47.8910957, 17.583885 47.8909606, 17.5841126 47.8907352)",,,
95628465,,Komenského,residential,,False,False,156.494,,"LINESTRING (17.5814962 47.8918819, 17.5821114 47.8922968, 17.5823384 47.8924761, 17.5824189 47.8925533, 17.5828401 47.8929573)",,,
95628465,,Komenského,residential,,False,True,157.179,,"LINESTRING (17.5814962 47.8918819, 17.5807935 47.8914311, 17.579973 47.8909047)",,,
95628462,,Parková cesta,residential,,False,False,28.372,,"LINESTRING (17.584297 47.893533, 17.58449 47.8937529)",,,
95628462,,Parková cesta,residential,,False,True,106.559,,"LINESTRING (17.584297 47.893533, 17.5841068 47.8934102, 17.5835707 47.8929957, 17.5833575 47.8928122)",,,
"[1193400581, 95628454]",2,Žabia,residential,50,False,True,42.025999999999996,,"LINESTRING (17.5801697 47.8938252, 17.5797869 47.8939721, 17.5797342 47.8940008, 17.5796947 47.8940262)",,,
95629118,,Žabia,residential,,False,False,41.47,,"LINESTRING (17.5801697 47.8938252, 17.5801528 47.8939854, 17.58013 47.8941161, 17.5800914 47.8941926)",,,
1193400774,2,Žabia,residential,50,False,False,223.356,,"LINESTRING (17.5801697 47.8938252, 17.5809363 47.8934728, 17.5812284 47.8933507, 17.5813695 47.8932938, 17.5814695 47.8932552, 17.5815807 47.8932199, 17.5816775 47.8931968, 17.5819512 47.8931424, 17.5828401 47.8929573)",,,
95628461,,Školská,residential,,False,True,290.782,,"LINESTRING (17.579973 47.8909047, 17.5785303 47.8918536, 17.5772312 47.8927005, 17.577183 47.8927319)",,,
95628465,,Komenského,residential,,False,False,157.179,,"LINESTRING (17.579973 47.8909047, 17.5807935 47.8914311, 17.5814962 47.8918819)",,,
37669501,,Žabia,residential,,False,True,55.157,,"LINESTRING (17.5841126 47.8907352, 17.584151 47.8907966, 17.5843894 47.8911952)",,,
95628457,,Bočná,residential,,False,True,251.94799999999998,,"LINESTRING (17.5841126 47.8907352, 17.583885 47.8909606, 17.5836012 47.8910957, 17.5834044 47.8910742, 17.5830382 47.8911693, 17.5827911 47.891108, 17.5826034 47.8911264, 17.5824066 47.8912522, 17.5814962 47.8918819)",,,
378492440,2,,secondary,50,False,True,34.887,507,"LINESTRING (17.5800914 47.8941926, 17.5796947 47.8940262)",,,
95629118,,Žabia,residential,,False,True,41.47,,"LINESTRING (17.5800914 47.8941926, 17.58013 47.8941161, 17.5801528 47.8939854, 17.5801697 47.8938252)",,,
"[1126200769, 1126200770, 363809150]",2,Športová,secondary,50,False,False,31.029000000000003,507,"LINESTRING (17.5800914 47.8941926, 17.5801553 47.894218, 17.5803271 47.8942902, 17.5804465 47.8943381)",,yes,
