osmid,ref,name,highway,oneway,reversed,length,bridge,lanes,geometry,maxspeed,width,junction
"[112080096, 40017546, 112080095]",572,Hradská,secondary,False,False,64.25,yes,2,"LINESTRING (17.2057733 48.1485337, 17.2058375 48.1485098, 17.2064609 48.1482555, 17.2064895 48.1482441, 17.206515 48.1482356)",,,
61677716,572,Hradská,secondary,False,True,73.50800000000001,,2,"LINESTRING (17.2057733 48.1485337, 17.2055639 48.1486271, 17.2053634 48.1487215, 17.204984 48.1489321)",,,
"[345733440, 31750023]",,Hradská,residential,True,False,75.002,,1,"LINESTRING (17.2067798 48.1473105, 17.2068684 48.1473805, 17.2069121 48.147423, 17.2069401 48.1474668, 17.2069695 48.1475238, 17.2069787 48.1475546, 17.2069969 48.1476082, 17.2070038 48.1476619, 17.207003 48.1477364, 17.2069876 48.1477923, 17.2069928 48.1478448, 17.2069981 48.1478937, 17.2070349 48.1479375)",,,
"[399125632, 257360804]",,Hradská,residential,True,False,84.22399999999999,,"['1', '2']","LINESTRING (17.2058546 48.1468734, 17.2062635 48.1470908, 17.2065924 48.1472302, 17.2067798 48.1473105)",,,
29046145,,Arménska,residential,False,False,51.951,,,"LINESTRING (17.2039683 48.1456315, 17.2038249 48.1451742)",,,
257360807,,Podunajská,residential,False,False,341.3620000000001,,2,"LINESTRING (17.2039683 48.1456315, 17.2037863 48.1455431, 17.2037018 48.145506, 17.2036086 48.1454689, 17.2032311 48.1453234, 17.202474 48.1450353, 17.2017677 48.1447625, 17.2015688 48.1446912, 17.2013441 48.1446058, 17.201025 48.1444819, 17.2008396 48.1444082, 17.2006692 48.1443242, 17.2005039 48.1442384, 17.2000761 48.1440058)",,,
"[249304998, 257360807]",,Podunajská,residential,False,"[False, True]",124.85600000000001,,2,"LINESTRING (17.2039683 48.1456315, 17.2040971 48.1457058, 17.2042352 48.1457935, 17.2043667 48.1458803, 17.2044935 48.1459697, 17.2046866 48.1461072, 17.204773 48.1461773, 17.2048598 48.1462447, 17.204982 48.1463327, 17.2051029 48.146426, 17.2051274 48.1464438)",,,
61677716,572,Hradská,secondary,False,False,73.508,,2,"LINESTRING (17.204984 48.1489321, 17.2053634 48.1487215, 17.2055639 48.1486271, 17.2057733 48.1485337)",,,
61931434,,Priehradná,residential,False,True,132.535,,,"LINESTRING (17.204984 48.1489321, 17.2049186 48.1489029, 17.2046304 48.1487745, 17.2045735 48.1487491, 17.2044831 48.1487281, 17.2039348 48.1486087, 17.2033565 48.1484591)",,,
34509263,,Stavbárska,residential,True,False,211.724,,,"LINESTRING (17.2028888 48.1414855, 17.2029972 48.1414683, 17.2042848 48.1412958, 17.2049862 48.1412063, 17.2056876 48.1411151)",,,
249304986,,Hradská,residential,False,False,232.57100000000003,,2,"LINESTRING (17.2028888 48.1414855, 17.2029783 48.1416974, 17.2030021 48.1417515, 17.2030738 48.1419142, 17.2032046 48.1422231, 17.2033022 48.1424536, 17.2033665 48.1425999, 17.2034343 48.142744, 17.2036395 48.1431095, 17.2037428 48.1432825, 17.2038504 48.1434744)",,,
