osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,access
30113693,Hlavná,residential,False,True,62.331,"LINESTRING (20.9405876 48.8551656, 20.9405805 48.8552015, 20.9404575 48.8554368, 20.9402865 48.8556883)",,,,
57355990,Nemocničná,residential,False,False,125.484,"LINESTRING (20.9405876 48.8551656, 20.9405524 48.8551808, 20.9401203 48.8553676, 20.9396726 48.8555659, 20.9392349 48.8558514)",,,,
57775513,Hlavná,residential,False,False,97.01,"LINESTRING (20.9405876 48.8551656, 20.9416045 48.855641, 20.941679 48.8556573)",,,,
57775513,Hlavná,residential,False,True,275.046,"LINESTRING (20.9405876 48.8551656, 20.9402416 48.8549485, 20.939613 48.8545395, 20.9391851 48.8542197, 20.9389301 48.854059, 20.9386921 48.853963, 20.9378091 48.8535125)",,,,
"[57768393, 30113675, 57768383]",,residential,False,False,68.179,"LINESTRING (20.942158 48.8557715, 20.9424057 48.8555873, 20.9424785 48.8555517, 20.9428254 48.8554009, 20.9428662 48.8553801)",yes,,,
57775513,Hlavná,residential,False,True,37.322,"LINESTRING (20.942158 48.8557715, 20.942064 48.8557418, 20.941986 48.8557247, 20.941679 48.8556573)",,,,
243890425,Hnilecká,secondary,False,False,24.766,"LINESTRING (20.9428662 48.8553801, 20.9431429 48.8555084)",,2,546,
"[57768393, 30113675, 57768383]",,residential,False,True,68.179,"LINESTRING (20.9428662 48.8553801, 20.9428254 48.8554009, 20.9424785 48.8555517, 20.9424057 48.8555873, 20.942158 48.8557715)",yes,,,
754313234,Hnilecká,secondary,False,False,264.756,"LINESTRING (20.9428662 48.8553801, 20.9415409 48.8545637, 20.9406567 48.8540359, 20.9402795 48.853721)",,,546,
30115326,Sídlisko SNP,residential,False,False,149.258,"LINESTRING (20.9401358 48.8576769, 20.9393348 48.8573711, 20.9383711 48.8570033)",,,,
30115327,Športová,residential,False,True,100.86800000000001,"LINESTRING (20.9401358 48.8576769, 20.940468 48.8574033, 20.940968 48.8571131, 20.9410099 48.8569981)",,,,
57355990,Nemocničná,residential,False,True,44.073,"LINESTRING (20.9377243 48.8567893, 20.9382862 48.8566464)",,,,
30115173,Slovenská,residential,False,True,81.30099999999999,"LINESTRING (20.9377243 48.8567893, 20.9375668 48.8567264, 20.9374897 48.8566759, 20.9372319 48.8563358, 20.9371231 48.8561946)",,,,
30115326,Sídlisko SNP,residential,False,True,53.635,"LINESTRING (20.9377243 48.8567893, 20.9378747 48.8568048, 20.9383711 48.8570033)",,,,
57355990,Nemocničná,residential,False,False,92.936,"LINESTRING (20.9377243 48.8567893, 20.9376623 48.8568655, 20.9375422 48.8569616, 20.9368365 48.8573799)",,,,
"[754313232, 57768377]","['Hlavná', 'Banícke námestie']",residential,False,False,188.31099999999998,"LINESTRING (20.9333338 48.8504405, 20.9333661 48.8504814, 20.933422 48.850557, 20.9335067 48.8506839, 20.9335558 48.8507521, 20.9337013 48.8509506, 20.9337629 48.8510326, 20.9338219 48.8510993, 20.9338819 48.8511587, 20.9340376 48.8512886, 20.9341503 48.8513705, 20.9342214 48.851419, 20.9346186 48.8516928, 20.9347774 48.8518232)",,,,
131438701,Banícke námestie,residential,False,True,161.032,"LINESTRING (20.9333338 48.8504405, 20.9332708 48.8503719, 20.9331648 48.8502566, 20.933068 48.8501389, 20.9329178 48.849988, 20.9327102 48.8497985, 20.932602 48.849681, 20.9325152 48.8495779, 20.932468 48.8495125, 20.9324213 48.849434, 20.9323646 48.8493007, 20.9323105 48.8491704)",,,,
"[589940491, 589940492]",Banícke námestie,residential,False,False,76.654,"LINESTRING (20.9333338 48.8504405, 20.9332601 48.8504644, 20.9329713 48.8505469, 20.9330682 48.850798, 20.9331248 48.8509629)",,,,
131349161,Banícke námestie,residential,False,True,5.054,"LINESTRING (20.9332471 48.8518412, 20.9333159 48.8518372)",,,,
131349161,Banícke námestie,residential,False,False,73.791,"LINESTRING (20.9332471 48.8518412, 20.9330517 48.8520448, 20.932775 48.8522756, 20.9326706 48.8523846)",,,,
131349161,Banícke námestie,residential,False,False,104.608,"LINESTRING (20.9331248 48.8509629, 20.933151 48.8510285, 20.9333167 48.8513245, 20.9334417 48.8515308, 20.9334601 48.8515725, 20.9334673 48.8516207, 20.933461 48.851666, 20.9334368 48.8517187, 20.9333981 48.8517642, 20.9333159 48.8518372)",,,,
324002520,Banícke námestie,residential,False,False,71.345,"LINESTRING (20.9331248 48.8509629, 20.9330228 48.8508884, 20.9329739 48.850831, 20.9328833 48.8507186, 20.932831 48.8506429, 20.9328239 48.8506347, 20.9327752 48.8505787, 20.9326917 48.85051, 20.9325976 48.8504274)",,,,
"[589940491, 589940492]",Banícke námestie,residential,False,True,76.654,"LINESTRING (20.9331248 48.8509629, 20.9330682 48.850798, 20.9329713 48.8505469, 20.9332601 48.8504644, 20.9333338 48.8504405)",,,,
30113922,Požiarnická,residential,False,False,57.543,"LINESTRING (20.9355876 48.8544242, 20.9348797 48.8546497)",,,,
30115173,Slovenská,residential,False,False,23.268,"LINESTRING (20.9355876 48.8544242, 20.9358195 48.8545674)",,,,
30115173,Slovenská,residential,False,True,122.732,"LINESTRING (20.9355876 48.8544242, 20.9353991 48.8541406, 20.9351964 48.8537921, 20.93512 48.8536681, 20.93503 48.8535651, 20.9349055 48.8534179)",,,,
30113922,Požiarnická,residential,False,True,170.883,"LINESTRING (20.9349055 48.8534179, 20.934233 48.8536081, 20.9341932 48.8536194, 20.9345638 48.8542167, 20.9348147 48.8545606)",,,,
30115173,Slovenská,residential,False,False,122.73199999999999,"LINESTRING (20.9349055 48.8534179, 20.93503 48.8535651, 20.93512 48.8536681, 20.9351964 48.8537921, 20.9353991 48.8541406, 20.9355876 48.8544242)",,,,
30115173,Slovenská,residential,False,True,68.248,"LINESTRING (20.9349055 48.8534179, 20.9345597 48.8530139, 20.9344386 48.8528867)",,,,
30115173,Slovenská,residential,False,False,68.248,"LINESTRING (20.9344386 48.8528867, 20.9345597 48.8530139, 20.9349055 48.8534179)",,,,
30115173,Slovenská,residential,False,True,58.009,"LINESTRING (20.9344386 48.8528867, 20.934338 48.8528159, 20.9342988 48.8527572, 20.9342317 48.8525999, 20.9341901 48.8525338, 20.9341369 48.8524703, 20.9340912 48.8524264)",,,,
57355995,,residential,False,False,111.505,"LINESTRING (20.9344386 48.8528867, 20.9340954 48.8528746, 20.933979 48.85287, 20.9338746 48.8528551, 20.9337603 48.8528291, 20.9336252 48.8527971, 20.9335174 48.8527617, 20.9334086 48.8527132, 20.9330438 48.8525508)",,,,
131349161,Banícke námestie,residential,False,False,5.054,"LINESTRING (20.9333159 48.8518372, 20.9332471 48.8518412)",,,,
30115173,Slovenská,residential,False,False,86.78099999999999,"LINESTRING (20.9333159 48.8518372, 20.9334436 48.8519575, 20.933637 48.8521045, 20.933807 48.8522274, 20.9340912 48.8524264)",,,,
