osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
1038663618,3374,tertiary,50,False,False,27.517,"LINESTRING (21.523303 48.6281568, 21.5234884 48.6283718)",,
120003205,,residential,,False,False,256.55199999999996,"LINESTRING (21.523303 48.6281568, 21.5242057 48.6276427, 21.524663 48.6273954, 21.5248843 48.6272634, 21.5249951 48.6271948, 21.5250733 48.6271331, 21.5251297 48.6270737, 21.5251847 48.6269664, 21.5252799 48.6268281, 21.5253433 48.6267125, 21.5253322 48.6266641, 21.5252705 48.6266092, 21.5251176 48.6264656)",,
"[1082023233, 21158130, 1082023234]",552,secondary,50,False,False,192.812,"LINESTRING (21.5241022 48.629207, 21.524202 48.6291284, 21.5243129 48.6290519, 21.5243686 48.6290144, 21.5244591 48.628963, 21.5246435 48.6288637, 21.5247834 48.6287877, 21.5250178 48.6286605, 21.5254582 48.6284219, 21.5255883 48.6283496, 21.526082 48.6280727)",2,yes
21158130,552,secondary,50,False,True,28.62,"LINESTRING (21.5241022 48.629207, 21.5240196 48.6293056, 21.5239086 48.6294303)",2,
1038663618,3374,tertiary,50,False,True,103.488,"LINESTRING (21.5241022 48.629207, 21.5240538 48.6291168, 21.5240077 48.6290399, 21.5239135 48.628883, 21.5238686 48.6288249, 21.5237824 48.6287131, 21.5235494 48.6284426, 21.5234884 48.6283718)",,
91324252,,residential,,False,False,326.16299999999995,"LINESTRING (21.5227905 48.6311316, 21.5219727 48.6319106, 21.5215945 48.6322766, 21.5212615 48.6326026, 21.5212062 48.6326566, 21.5207322 48.6331151, 21.5204519 48.6333978, 21.5203036 48.6335607)",,
91324252,,residential,,False,True,166.66899999999998,"LINESTRING (21.5227905 48.6311316, 21.5229021 48.6310127, 21.5230504 48.6308186, 21.5233943 48.6303134, 21.5237393 48.6297719)",,
1056928766,552,secondary,50,False,True,50.759,"LINESTRING (21.5266251 48.6277907, 21.526082 48.6280727)",2,
1076895134,,residential,,False,False,73.565,"LINESTRING (21.5266251 48.6277907, 21.526747 48.6278541, 21.5268422 48.6279237, 21.5268879 48.6279698, 21.5269147 48.6280434, 21.5269053 48.6281338, 21.5268892 48.6282322, 21.5268517 48.6283749)",,
1076895134,,residential,,False,True,290.543,"LINESTRING (21.5266251 48.6277907, 21.5267692 48.627812, 21.5269516 48.6277965, 21.5270914 48.6277878, 21.5271668 48.6277979, 21.5272634 48.6278196, 21.5273901 48.6278604, 21.5276165 48.6279257, 21.528013 48.6280301, 21.5283644 48.6281176, 21.5290403 48.6283253, 21.5297839 48.6285731, 21.5302717 48.6287166)",,
91324209,,residential,,False,True,41.641999999999996,"LINESTRING (21.519691 48.6345007, 21.5196088 48.634492, 21.5191771 48.6343482)",,
91324252,,residential,,False,True,115.583,"LINESTRING (21.519691 48.6345007, 21.5201983 48.6339443, 21.5203036 48.6335607)",,
91324252,,residential,,False,False,115.583,"LINESTRING (21.5203036 48.6335607, 21.5201983 48.6339443, 21.519691 48.6345007)",,
91324252,,residential,,False,True,326.163,"LINESTRING (21.5203036 48.6335607, 21.5204519 48.6333978, 21.5207322 48.6331151, 21.5212062 48.6326566, 21.5212615 48.6326026, 21.5215945 48.6322766, 21.5219727 48.6319106, 21.5227905 48.6311316)",,
91324266,,residential,,False,True,124.572,"LINESTRING (21.5203036 48.6335607, 21.5200751 48.6336017, 21.5199208 48.6336681, 21.5197624 48.6337697, 21.5195842 48.6339296, 21.5194236 48.6340954, 21.5192308 48.6342879, 21.5191771 48.6343482)",,
1076895134,,residential,,False,False,290.54299999999995,"LINESTRING (21.5302717 48.6287166, 21.5297839 48.6285731, 21.5290403 48.6283253, 21.5283644 48.6281176, 21.528013 48.6280301, 21.5276165 48.6279257, 21.5273901 48.6278604, 21.5272634 48.6278196, 21.5271668 48.6277979, 21.5270914 48.6277878, 21.5269516 48.6277965, 21.5267692 48.627812, 21.5266251 48.6277907)",,
91324209,,residential,,False,False,41.641999999999996,"LINESTRING (21.5191771 48.6343482, 21.5196088 48.634492, 21.519691 48.6345007)",,
91324266,,residential,,False,False,124.572,"LINESTRING (21.5191771 48.6343482, 21.5192308 48.6342879, 21.5194236 48.6340954, 21.5195842 48.6339296, 21.5197624 48.6337697, 21.5199208 48.6336681, 21.5200751 48.6336017, 21.5203036 48.6335607)",,
91324252,,residential,,False,False,39.97,"LINESTRING (21.5239086 48.6294303, 21.5237393 48.6297719)",,
