osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,junction
5203025,4,533,Školská,secondary,50,False,False,20.624,"LINESTRING (20.5635873 48.9450981, 20.5637148 48.9452636)",,,
"[858264808, 39214257]",2,,Zimná,residential,,True,False,291.851,"LINESTRING (20.5635873 48.9450981, 20.5637336 48.9450257, 20.5638962 48.9449575, 20.5639204 48.9449473, 20.5644595 48.9447204, 20.5651056 48.9444476, 20.5655033 48.9442791, 20.5657517 48.9441878, 20.5662076 48.9440266, 20.5668139 48.9438121, 20.5670055 48.943743)",,,
"[250563155, 252806183]",5,533,Elektrárenská,secondary,50,False,True,79.517,"LINESTRING (20.5635873 48.9450981, 20.5634903 48.9450107, 20.5633984 48.9449307, 20.5629041 48.9445416)",,,
"[220473200, 1211079114, 1211079115, 256063654]",3,3244,Duklianska,tertiary,50,False,False,111.616,"LINESTRING (20.5585942 48.9468703, 20.5584401 48.9469353, 20.5583793 48.9469574, 20.5582 48.9470225, 20.558075 48.9470707, 20.5579066 48.9471357, 20.5573007 48.9474038)",,,
252806187,3,3244,Štefánikovo námestie,tertiary,50,False,True,112.14699999999999,"LINESTRING (20.5585942 48.9468703, 20.5587469 48.9467859, 20.5597049 48.9464383, 20.5598083 48.9464027, 20.5599207 48.946367)",,,
"[256063664, 89368886]","['2', '3']",,Starosaská,residential,,False,True,195.351,"LINESTRING (20.5585942 48.9468703, 20.5585235 48.9468085, 20.5584952 48.9467838, 20.558055 48.9463077, 20.5579438 48.9461874, 20.5572151 48.9454374, 20.557165 48.9453858)",,,
52896332,,,Kukučínova,residential,,False,False,66.80000000000001,"LINESTRING (20.5602977 48.9422042, 20.5601815 48.9422523, 20.5601495 48.9422656, 20.56002 48.9423047, 20.5599657 48.9423135, 20.5598667 48.9422989, 20.559831 48.9422885, 20.5597588 48.9422358, 20.5595631 48.942093)",,,
"[89010793, 908209874, 252806188]","['2', '4']",533,"['Elektrárenská', 'M. Gorkého']",secondary,50,False,True,126.356,"LINESTRING (20.5602977 48.9422042, 20.5601795 48.9419785, 20.5601017 48.9418072, 20.5597888 48.9411183)",,,
"[840046874, 12127900, 252806189, 12127903]",4,533,Elektrárenská,secondary,50,False,False,208.08599999999998,"LINESTRING (20.5602977 48.9422042, 20.5603432 48.9422692, 20.5604731 48.9424563, 20.5606086 48.9426332, 20.5606198 48.9426467, 20.5606382 48.9426683, 20.5607317 48.9427802, 20.5608401 48.9428965, 20.5609476 48.9429963, 20.561064 48.9431032, 20.5614998 48.9434688, 20.561698 48.9436156, 20.5617351 48.9436445, 20.5618756 48.9437498)",yes,,
89368888,,,Elektrárenská,residential,,False,False,73.69,"LINESTRING (20.5629041 48.9445416, 20.5626801 48.9446405, 20.5624203 48.9447552, 20.5622849 48.9447568, 20.5620208 48.9448365)",,delivery,
"[250563155, 252806183]",5,533,Elektrárenská,secondary,50,False,False,79.517,"LINESTRING (20.5629041 48.9445416, 20.5633984 48.9449307, 20.5634903 48.9450107, 20.5635873 48.9450981)",,,
250563155,5,533,Elektrárenská,secondary,50,False,True,115.73400000000001,"LINESTRING (20.5629041 48.9445416, 20.5627668 48.9444324, 20.5626758 48.9443627, 20.5621624 48.9439695, 20.561988 48.9438359, 20.5618756 48.9437498)",,,
52837082,,,Hviezdoslavova,residential,,False,True,310.86099999999993,"LINESTRING (20.5648161 48.9470752, 20.5649364 48.9470765, 20.5650806 48.9470781, 20.5661822 48.94709, 20.5663086 48.9470803, 20.5674881 48.9469881, 20.5675649 48.9469799, 20.567877 48.9469399, 20.5681822 48.94689, 20.5684077 48.9468462, 20.5687844 48.9467859, 20.5689503 48.946781, 20.5690263 48.9467788)",,,
209195840,,,Hviezdoslavova,residential,,True,False,63.443,"LINESTRING (20.5648161 48.9470752, 20.5646076 48.947098, 20.5639926 48.9472505)",,,
252806184,4,533,Školská,secondary,50,False,True,122.952,"LINESTRING (20.5648161 48.9470752, 20.5647209 48.9469032, 20.5646764 48.9468229, 20.5642221 48.9460406)",,,
"[840046874, 12127900, 252806189, 12127903]",4,533,Elektrárenská,secondary,50,False,True,208.08600000000004,"LINESTRING (20.5618756 48.9437498, 20.5617351 48.9436445, 20.561698 48.9436156, 20.5614998 48.9434688, 20.561064 48.9431032, 20.5609476 48.9429963, 20.5608401 48.9428965, 20.5607317 48.9427802, 20.5606382 48.9426683, 20.5606198 48.9426467, 20.5606086 48.9426332, 20.5604731 48.9424563, 20.5603432 48.9422692, 20.5602977 48.9422042)",yes,,
250563155,5,533,Elektrárenská,secondary,50,False,False,115.73400000000002,"LINESTRING (20.5618756 48.9437498, 20.561988 48.9438359, 20.5621624 48.9439695, 20.5626758 48.9443627, 20.5627668 48.9444324, 20.5629041 48.9445416)",,,
"[1132065473, 908209871]","['2', '3']",,"['Stará cesta', 'Rázusova']",residential,,False,False,94.59899999999999,"LINESTRING (20.5618756 48.9437498, 20.5617962 48.9438024, 20.5617397 48.9438399, 20.5615502 48.9439291, 20.5614635 48.9439699, 20.5609338 48.9442192, 20.5608438 48.9442616)",,,
"[908209872, 908209873, 252806181]","['2', '3']",,Rázusova,residential,,False,True,169.821,"LINESTRING (20.5618756 48.9437498, 20.5619525 48.943703, 20.5619997 48.9436742, 20.5620284 48.9436567, 20.5624089 48.9434249, 20.5625463 48.9433411, 20.5627181 48.9432365, 20.5628933 48.9431253, 20.5631058 48.9429903, 20.5635733 48.9427063)",,,
89368886,2,,Starosaská,residential,,False,False,7.915,"LINESTRING (20.5571067 48.9453258, 20.557165 48.9453858)",,,
