osmid,lanes,highway,oneway,reversed,length,ref,name,maxspeed,geometry,junction,bridge
171509934,2,residential,False,False,8.709,,,,"LINESTRING (17.2191715 48.2541412, 17.2192667 48.2540952)",,
"[799252076, 4304652]","['2', '3']",secondary,True,False,178.035,502,Krajinská cesta,50,"LINESTRING (17.2191715 48.2541412, 17.2189835 48.2540591, 17.2187331 48.2539245, 17.2182283 48.2536597, 17.2177334 48.2534021, 17.2172901 48.2531457)",,
801319214,2,residential,False,False,96.273,,Pezinská,40,"LINESTRING (17.2191715 48.2541412, 17.2190488 48.2541959, 17.2187967 48.2542997, 17.2187327 48.2543239, 17.2186598 48.2543446, 17.2179833 48.2544729)",,
171509937,,residential,False,False,11.316,,,,"LINESTRING (17.2161551 48.2524514, 17.2162852 48.252398)",,
"[4424018, 799252071, 935828415]",3,living_street,False,False,153.94,,Prostredná,,"LINESTRING (17.2161551 48.2524514, 17.2160765 48.2524837, 17.2160238 48.2525054, 17.2158183 48.2526122, 17.2145107 48.2532976)",,
349540514,,residential,False,True,86.557,,SNP,40,"LINESTRING (17.2176781 48.2517155, 17.218626 48.2512599)",,
349540514,,residential,False,False,128.07500000000002,,SNP,40,"LINESTRING (17.2176781 48.2517155, 17.2163856 48.2523568, 17.2163429 48.2523743, 17.2162852 48.252398)",,
602741525,,residential,False,True,101.167,,Dukelská,40,"LINESTRING (17.214555 48.25089, 17.2154305 48.2501915)",,
602741525,,residential,False,False,101.167,,Dukelská,40,"LINESTRING (17.2154305 48.2501915, 17.214555 48.25089)",,
4391767,,residential,True,False,237.511,,Partizánska,40,"LINESTRING (17.2154305 48.2501915, 17.2157452 48.2504048, 17.2176124 48.2516704, 17.2176781 48.2517155)",,
4391769,1,residential,True,False,128.419,,Mierová,40,"LINESTRING (17.218626 48.2512599, 17.2174158 48.2504326)",,
349540514,,residential,False,False,86.557,,SNP,40,"LINESTRING (17.218626 48.2512599, 17.2176781 48.2517155)",,
171509937,,residential,False,True,11.316,,,,"LINESTRING (17.2162852 48.252398, 17.2161551 48.2524514)",,
349540514,,residential,False,True,128.075,,SNP,40,"LINESTRING (17.2162852 48.252398, 17.2163429 48.2523743, 17.2163856 48.2523568, 17.2176781 48.2517155)",,
"[799252073, 799252074]",2,secondary,True,False,111.54499999999999,502,Krajinská cesta,50,"LINESTRING (17.2162852 48.252398, 17.2167979 48.2527258, 17.2172826 48.2530353, 17.2173722 48.2530926)",,
