osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction
4275576,2,487,Kysucká cesta,secondary,False,False,17.045,"LINESTRING (18.6215017 49.4053009, 18.6216253 49.4054314)",,,
269592478,1,487,Kysucká cesta,secondary,True,False,36.677,"LINESTRING (18.6215017 49.4053009, 18.6213273 49.405138, 18.6211808 49.4050477)",,,
4214166,,,Jašíkova,residential,True,False,43.387,"LINESTRING (18.6272002 49.4067327, 18.626968 49.4066774, 18.6266652 49.4065601)",,,
"[699350065, 602931932, 132076862]",,,Jašíkova,residential,False,"[False, True]",89.957,"LINESTRING (18.6272002 49.4067327, 18.6271865 49.4067659, 18.6271908 49.4068179, 18.6273314 49.4070174, 18.6275353 49.4073132, 18.627631 49.4074809)",,,
699560018,,,Jašíkova,residential,False,True,306.002,"LINESTRING (18.6272002 49.4067327, 18.6281839 49.4068953, 18.6284979 49.4068892, 18.6288949 49.4066525, 18.6297916 49.4058864, 18.6298877 49.4058043, 18.6302553 49.4054492, 18.6302932 49.4054147)",,,
99852882,,,Pod Brehom,residential,False,True,12.364,"LINESTRING (18.6249513 49.403296, 18.625013 49.4032755, 18.6251024 49.4032441)",50,,
"[448035306, 449114154]",,,Jašíkova,residential,False,False,24.863,"LINESTRING (18.6249513 49.403296, 18.6248257 49.4032048, 18.6247389 49.4031209)",50,,
"[448035306, 690149019, 55638828, 690149021]",,,"['Nádražná', 'Jašíkova', 'Štúrova']",residential,False,"[False, True]",234.43,"LINESTRING (18.6249513 49.403296, 18.6251446 49.4034383, 18.6251988 49.4034611, 18.6255363 49.4035489, 18.6263264 49.4037576, 18.627176 49.4038698, 18.6272575 49.4038828, 18.627339 49.4039027, 18.6274298 49.4039319, 18.6276608 49.4040224, 18.6277475 49.4040615, 18.6278572 49.4041309)","['40', '50']",,
55638842,,,M. R. Štefánika,residential,False,False,41.199,"LINESTRING (18.6240881 49.4021325, 18.6238566 49.401794)",,,
"[55638849, 226839772]",,,Školská,residential,False,False,330.412,"LINESTRING (18.6240881 49.4021325, 18.6247686 49.4019031, 18.6252268 49.4018901, 18.6257946 49.4020133, 18.6261247 49.4020133, 18.6264022 49.4020133, 18.6265505 49.4019952, 18.6266833 49.4019608, 18.6268317 49.401882, 18.627205 49.401583, 18.6278534 49.4010392)",,,
449114154,,,Jašíkova,residential,False,True,120.26599999999999,"LINESTRING (18.6240881 49.4021325, 18.6242572 49.4023774, 18.6243623 49.4026053, 18.6244753 49.4028382, 18.6246637 49.4030511, 18.6247389 49.4031209)",50,,
99708375,,,Hlinenská cesta,residential,False,False,102.959,"LINESTRING (18.6277795 49.409073, 18.6278088 49.4089785, 18.6279067 49.4085483, 18.6278868 49.4084485, 18.6277943 49.4082863, 18.6277607 49.4081673)",,,
178609513,,,Cintorínska,residential,False,True,35.315,"LINESTRING (18.6277795 49.409073, 18.6277177 49.4090708, 18.6272921 49.4090559)",,,
23139900,,,Pod Kempou,residential,False,False,106.54,"LINESTRING (18.6277607 49.4081673, 18.6280113 49.4080893, 18.628929 49.407964, 18.6291818 49.4079337)",50,,
99708375,,,Hlinenská cesta,residential,False,True,102.959,"LINESTRING (18.6277607 49.4081673, 18.6277943 49.4082863, 18.6278868 49.4084485, 18.6279067 49.4085483, 18.6278088 49.4089785, 18.6277795 49.409073)",,,
