osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,tunnel,width
382141796,3,Dohnányho,tertiary,50,False,True,28.737,"LINESTRING (17.5850336 48.3714693, 17.5851891 48.3712324)",,,,
382141798,3,Kollárova,residential,50,False,False,32.432,"LINESTRING (17.5850336 48.3714693, 17.5848853 48.3714273, 17.5848323 48.371409, 17.5846454 48.3713343)",,,,
386770310,3,Hospodárska,tertiary,50,False,False,32.003,"LINESTRING (17.5850336 48.3714693, 17.584975 48.3715489, 17.5848416 48.3717273)",,,,
556299732,3,Kollárova,residential,50,False,True,29.313,"LINESTRING (17.5850336 48.3714693, 17.5851631 48.3715042, 17.5854085 48.3715551)",,,,
140853131,3,Hospodárska,tertiary,50,False,True,73.768,"LINESTRING (17.5817528 48.3771535, 17.5818831 48.3766957, 17.5819062 48.3766273, 17.5819162 48.3766064, 17.5819614 48.3765053)",,,,
"[1072685764, 1072685763, 187986572]",1,Hospodárska,tertiary,50,True,False,117.79599999999999,"LINESTRING (17.5817528 48.3771535, 17.5817477 48.3773304, 17.5816771 48.3775964, 17.5816723 48.3776117, 17.5815928 48.3778707, 17.5815209 48.3780555, 17.581449 48.3781887)",,,,
4310644,,A. Sládkoviča,residential,30,False,True,75.971,"LINESTRING (17.5833161 48.3740281, 17.583258 48.3740116, 17.5831858 48.3739945, 17.5828189 48.3738865, 17.5823809 48.3737445)",,,,
8064341,,Hospodárska,tertiary,50,False,False,136.926,"LINESTRING (17.5833161 48.3740281, 17.5829863 48.37451, 17.5828752 48.3746838, 17.5828521 48.374723, 17.5827545 48.3748887, 17.5826937 48.3750023, 17.5826363 48.3751096, 17.5826064 48.3751649)",,,,
"[1191864097, 1191864098, 8064341]",,Hospodárska,tertiary,50,False,True,225.01500000000001,"LINESTRING (17.5833161 48.3740281, 17.5838889 48.3731889, 17.5840676 48.3729205, 17.5841115 48.3728546, 17.5842731 48.3726119, 17.5843559 48.3724876, 17.5843817 48.3724474, 17.5845538 48.3721791)",,,,
4310644,,A. Sládkoviča,residential,30,False,False,106.32799999999999,"LINESTRING (17.5807901 48.3731815, 17.5808725 48.3732111, 17.5809086 48.3732238, 17.5819458 48.3736092, 17.582047 48.3736476)",,,,
8064339,2,Andreja Hlinku,residential,30,False,False,92.38000000000002,"LINESTRING (17.5807901 48.3731815, 17.5807452 48.373237, 17.5805407 48.3735048, 17.5803888 48.3737118, 17.580276 48.3739007, 17.5802571 48.3739323)",,,,
85643946,2,Andreja Hlinku,residential,30,False,True,149.135,"LINESTRING (17.5807901 48.3731815, 17.5808333 48.3731325, 17.5809038 48.3730589, 17.5810124 48.3729545, 17.5818968 48.3721228, 17.5819417 48.3720802)",,,,
4310642,4,Kollárova,residential,50,False,True,110.035,"LINESTRING (17.5834157 48.3707771, 17.5838381 48.3709867, 17.5843382 48.371212, 17.5846454 48.3713343)",,,,
"[85643946, 8064340]",2,Andreja Hlinku,residential,30,False,False,182.14700000000002,"LINESTRING (17.5834157 48.3707771, 17.5833312 48.3708029, 17.5832731 48.3708462, 17.5832465 48.3708701, 17.5830514 48.3710458, 17.582985 48.3711048, 17.582938 48.3711465, 17.5828973 48.3711847, 17.5827572 48.371316, 17.5827382 48.3713339, 17.5825895 48.3714732, 17.5821698 48.371864, 17.581989 48.3720353, 17.5819417 48.3720802)",,,,
"[1080942432, 1195656836, 1195656837]",,Jána Bottu,residential,50,False,False,181.451,"LINESTRING (17.5748695 48.3729641, 17.574897 48.3729072, 17.5750303 48.3726349, 17.5750437 48.3726079, 17.5750582 48.3725786, 17.5753846 48.3719118, 17.5754981 48.3716787, 17.5755738 48.3715209, 17.5756359 48.3714139)",,,,
"[1080942432, 1195656836, 1195656837]",,Jána Bottu,residential,50,False,True,181.451,"LINESTRING (17.5756359 48.3714139, 17.5755738 48.3715209, 17.5754981 48.3716787, 17.5753846 48.3719118, 17.5750582 48.3725786, 17.5750437 48.3726079, 17.5750303 48.3726349, 17.574897 48.3729072, 17.5748695 48.3729641)",,,,
1242507727,,,residential,50,True,False,17.823999999999998,"LINESTRING (17.5756359 48.3714139, 17.5756122 48.371411, 17.5755894 48.3714056, 17.5755682 48.371398, 17.5755491 48.3713882, 17.5755325 48.3713766, 17.5755189 48.3713634, 17.5755085 48.3713489, 17.5755017 48.3713335, 17.5754985 48.3713176, 17.5754992 48.3713016)",roundabout,,,
8064337,,,residential,,False,False,12.992,"LINESTRING (17.5792196 48.375844, 17.5791629 48.3759546)",,,,
4400534,1,Študentská,residential,50,True,False,93.97399999999999,"LINESTRING (17.5792196 48.375844, 17.5792809 48.3758568, 17.5803582 48.3760928, 17.5804282 48.3761081)",,,,
8064339,2,Andreja Hlinku,residential,30,False,True,128.574,"LINESTRING (17.5792196 48.375844, 17.5792311 48.3758202, 17.5792499 48.3757811, 17.5792696 48.3757441, 17.5795864 48.3751269, 17.5797734 48.3747882, 17.5797933 48.3747524)",,,,
