osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,access
4463006,False,2,tertiary,50,False,22.323999999999998,"LINESTRING (21.2534053 48.7165157, 21.2534383 48.7164415, 21.253453 48.7164127, 21.2534979 48.7163245)",,
298309893,True,1,tertiary,50,False,18.218,"LINESTRING (21.2534053 48.7165157, 21.2534651 48.71644, 21.2534929 48.7164106, 21.253535 48.7163767)",,
326217425,False,3,tertiary,50,True,28.687,"LINESTRING (21.2534053 48.7165157, 21.2533725 48.7165894, 21.2532876 48.7167617)",Moyzesova,
1118301595,True,2,tertiary,50,False,25.22,"LINESTRING (21.2534053 48.7165157, 21.2532617 48.7165208, 21.2530621 48.7165287)",Štúrova,
"[870895460, 554638341, 554638342, 114102502, 992989519, 992989520, 992989521]",True,"['2', '3', '4']",tertiary,50,False,392.80699999999996,"LINESTRING (21.2467769 48.7141513, 21.2470149 48.7144465, 21.2472873 48.7147872, 21.2473511 48.7148667, 21.2474003 48.714935, 21.2474525 48.7150128, 21.247513 48.7151266, 21.2475515 48.7152149, 21.2475834 48.7153088, 21.247619 48.7154432, 21.2476467 48.7155423, 21.2476682 48.7156047, 21.247703 48.715674, 21.2477373 48.7157246, 21.2477812 48.7157778, 21.2478291 48.7158236, 21.2478865 48.7158703, 21.2479526 48.7159158, 21.2480369 48.715962, 21.248121 48.7159991, 21.2482291 48.7160364, 21.2484089 48.7160822, 21.2488823 48.7161939, 21.248944 48.7162086, 21.2490057 48.7162232, 21.249559 48.7163539, 21.2498237 48.7164157, 21.2499569 48.7164389, 21.2500695 48.716451, 21.2501909 48.7164589)",Štúrova,
992989525,True,4,tertiary,50,False,14.931,"LINESTRING (21.2529859 48.7163556, 21.2531877 48.7163382)",Štúrova,
50178349,True,,residential,,False,268.039,"LINESTRING (21.2529859 48.7163556, 21.2530149 48.7163392, 21.2530434 48.716308, 21.2530572 48.7162766, 21.2530681 48.7162383, 21.253067 48.716187, 21.253024 48.7158879, 21.2527582 48.7140382, 21.2527486 48.713971)",Rázusova,
4860972,True,,unclassified,,False,28.961999999999996,"LINESTRING (21.2561275 48.7163732, 21.2561336 48.7163103, 21.2561376 48.7162809, 21.2561515 48.7161952, 21.2561549 48.7161135)",,
1118301593,True,2,tertiary,50,False,67.759,"LINESTRING (21.2561275 48.7163732, 21.2559944 48.7163759, 21.2555522 48.7164002, 21.2552069 48.7164207)",Štúrova,
4866538,False,,residential,50,False,58.155,"LINESTRING (21.2502026 48.7188617, 21.2500916 48.7188537, 21.2494451 48.7187124)",Floriánska,
