osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,tunnel
"[754276570, 287143226]",3,Piaristická,residential,False,True,112.36,"LINESTRING (18.0839332 48.3084744, 18.0839749 48.308577, 18.0839873 48.3086074, 18.084035 48.3087247, 18.0842107 48.3092184, 18.0842924 48.3094561)",,,,
34580539,,Mostná,tertiary,False,False,99.783,"LINESTRING (18.0914337 48.315934, 18.0912465 48.3158246, 18.0907108 48.3155113, 18.0903872 48.3153704)",50,,,
34580539,,Mostná,tertiary,False,True,107.594,"LINESTRING (18.0914337 48.315934, 18.0921119 48.3164174, 18.0922094 48.316479, 18.0923106 48.3165455, 18.0924314 48.3166379)",50,,,
34580544,,Podzámska,residential,False,False,37.588,"LINESTRING (18.0914337 48.315934, 18.0913495 48.3159954, 18.0910944 48.3161857)",,,,
34580539,,Mostná,tertiary,False,True,99.783,"LINESTRING (18.0903872 48.3153704, 18.0907108 48.3155113, 18.0912465 48.3158246, 18.0914337 48.315934)",50,,,
285738525,,Kmeťkova,tertiary,False,True,140.906,"LINESTRING (18.0903872 48.3153704, 18.0907265 48.3150587, 18.0914837 48.3143341)",50,,,
"[754276567, 33781892, 285738527]",2,Mostná,tertiary,False,False,374.29100000000005,"LINESTRING (18.0903872 48.3153704, 18.0898542 48.315172, 18.0894559 48.3150331, 18.0893009 48.3149896, 18.0891488 48.3149721, 18.0888032 48.3149454, 18.0882049 48.3148996, 18.0878134 48.3148638, 18.0873436 48.3148371, 18.0870531 48.314831, 18.0861066 48.3148111, 18.0854926 48.3147377)",50,,,
"[117821473, 117821475, 28152815]",3,"['Kmeťkova', 'Chrenovský most', 'Slančíkovej']",tertiary,False,"[False, True]",116.185,"LINESTRING (18.0932715 48.3127765, 18.0933691 48.3126554, 18.0934267 48.3126026, 18.0938723 48.3121836, 18.0941884 48.3119305)",50,yes,,
"[289074835, 289074836]",3,Kmeťkova,tertiary,False,"[False, True]",95.05000000000001,"LINESTRING (18.0932715 48.3127765, 18.0931443 48.3128931, 18.092817 48.3131461, 18.0924557 48.3134366)",50,,,
"[289074840, 289074841]",3,Wilsonovo nábrežie,tertiary,False,"[False, True]",125.09799999999998,"LINESTRING (18.0932715 48.3127765, 18.0931702 48.3126639, 18.0928168 48.3123619, 18.0924777 48.3120985, 18.0922376 48.3118878)",50,,,
"[289074842, 34580538]",3,Wilsonovo nábrežie,tertiary,False,True,59.534000000000006,"LINESTRING (18.0932715 48.3127765, 18.0934281 48.3129204, 18.0935916 48.3130544, 18.0937474 48.3132079)",50,,,
539302075,,Fraňa Mojtu,residential,True,False,19.441,"LINESTRING (18.0886082 48.3098334, 18.0885019 48.3096735)",,,,
289203079,,Fraňa Mojtu,residential,False,True,32.492999999999995,"LINESTRING (18.0886082 48.3098334, 18.0887557 48.3100459, 18.0887924 48.3100987)",,,,
539302076,,Palárikova,residential,False,True,21.146,"LINESTRING (18.0886082 48.3098334, 18.0885279 48.3098342, 18.0883223 48.3098362)",,,,
"[288099464, 23973535]",,Palárikova,residential,False,False,145.06400000000002,"LINESTRING (18.0863777 48.3100068, 18.0866054 48.3099896, 18.0872857 48.3099302, 18.0874669 48.3099144, 18.0883223 48.3098362)",,,,
101364013,,Štefánikova trieda,residential,False,True,131.73999999999998,"LINESTRING (18.0863777 48.3100068, 18.0862291 48.3093824, 18.0860988 48.3089827, 18.0860656 48.3088408)",,,,
34580228,,Ďurková,tertiary,False,False,146.826,"LINESTRING (18.0854926 48.3147377, 18.0853929 48.3147237, 18.0848225 48.3146433, 18.0844017 48.3145484, 18.0840122 48.3144293, 18.0836659 48.3142626)",50,,,
34580231,2,Farská,residential,False,False,69.611,"LINESTRING (18.0854926 48.3147377, 18.0854961 48.3148628, 18.0855096 48.3149633, 18.0855511 48.3152729, 18.0855948 48.3153572)",,,,
"[33781892, 285738527, 754276567]",2,Mostná,tertiary,False,True,374.29099999999994,"LINESTRING (18.0854926 48.3147377, 18.0861066 48.3148111, 18.0870531 48.314831, 18.0873436 48.3148371, 18.0878134 48.3148638, 18.0882049 48.3148996, 18.0888032 48.3149454, 18.0891488 48.3149721, 18.0893009 48.3149896, 18.0894559 48.3150331, 18.0898542 48.315172, 18.0903872 48.3153704)",50,,,
754276568,1,Farská,residential,True,False,154.219,"LINESTRING (18.0854926 48.3147377, 18.0855248 48.3138681, 18.0854751 48.3133521)",,,,
754276569,,Farská,residential,True,False,115.47900000000001,"LINESTRING (18.0857702 48.3109466, 18.0861315 48.3102792, 18.0861489 48.3102479, 18.0862646 48.3100651, 18.0863197 48.3100235, 18.0863777 48.3100068)",,,,
23973558,,Na vŕšku,residential,False,False,10.849,"LINESTRING (18.0854751 48.3133521, 18.0853284 48.313351)",,,,
"[754276568, 23973544]",1,Farská,residential,True,False,270.424,"LINESTRING (18.0854751 48.3133521, 18.0854462 48.3131861, 18.0854309 48.3130639, 18.0853872 48.3124338, 18.0854686 48.3118967, 18.085599 48.3114025, 18.0857702 48.3109466)",,,,
"[23973560, 23973557]",,"['Mariánska', 'Jozefa Vuruma']",residential,True,False,102.943,"LINESTRING (18.0844511 48.3133131, 18.0845544 48.3131642, 18.0846324 48.3130567, 18.0846701 48.3129182, 18.0844146 48.3127937, 18.0843674 48.3127714, 18.084058 48.312625)",,,,
