osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge,junction,ref,maxspeed,width
4361509,2,Kpt. J. Nálepku,residential,False,False,6.501,"LINESTRING (18.6066611 48.2124477, 18.6067354 48.2124788)",,,,,
4677001,,A. Sládkoviča,residential,False,True,151.617,"LINESTRING (18.6066611 48.2124477, 18.6064575 48.2125427, 18.6062924 48.2126199, 18.6054943 48.2129932, 18.6054379 48.2130193, 18.6049835 48.2132284)",,,,,
448106886,,Tyršova,residential,False,True,59.23,"LINESTRING (18.6060036 48.2152404, 18.6063873 48.2157077)",,,,,
23069758,2,Mlynská,residential,False,False,102.317,"LINESTRING (18.6044701 48.2173422, 18.6043116 48.2174477, 18.6040074 48.2176456, 18.6039778 48.2176633, 18.6037512 48.217799, 18.6034433 48.2179556)",,,,,
"[270533107, 41182724, 270533108]","['1', '2']",Ľ. Štúra,residential,True,False,325.267,"LINESTRING (18.6044701 48.2173422, 18.6043949 48.2172832, 18.6036909 48.2167303, 18.6019809 48.2153875, 18.6019281 48.215346, 18.60191 48.2153305, 18.6017512 48.2151947, 18.6016302 48.2151121)",yes,,,,
"[669497933, 669497934]",3,Mlynská,residential,False,True,133.97,"LINESTRING (18.6044701 48.2173422, 18.604616 48.2172197, 18.605006 48.2169442, 18.6055651 48.2165317, 18.6056869 48.2164518)",,,,,
41060330,,Kalvínske námestie,residential,False,False,40.024,"LINESTRING (18.6034433 48.2179556, 18.6038175 48.2182152)",,,,,
23069758,2,Mlynská,residential,False,True,102.31700000000001,"LINESTRING (18.6034433 48.2179556, 18.6037512 48.217799, 18.6039778 48.2176633, 18.6040074 48.2176456, 18.6043116 48.2174477, 18.6044701 48.2173422)",,,,,
238134331,2,M. R. Štefánika,residential,False,False,49.771,"LINESTRING (18.6034433 48.2179556, 18.6032343 48.2179348, 18.6031783 48.2179265, 18.6031175 48.2179148, 18.6029755 48.217888, 18.602899 48.2178784, 18.6027866 48.2178643)",,,,,
238134331,2,M. R. Štefánika,residential,False,True,47.266,"LINESTRING (18.5994563 48.2175219, 18.6000892 48.2175753)",,,,,
"[4362488, 1030997617, 288708196]",1,M. R. Štefánika,residential,True,False,51.955,"LINESTRING (18.5994563 48.2175219, 18.5991708 48.2175183, 18.5990721 48.2175067, 18.5989255 48.2174932, 18.5987601 48.2174757)",yes,,,,
42084758,,M. R. Štefánika,residential,False,False,37.314,"LINESTRING (18.5994563 48.2175219, 18.5994068 48.2176196, 18.5993692 48.2178507)",,,,,
"[4677000, 270533073, 270533072]",,A. Sládkoviča,residential,True,False,183.21700000000004,"LINESTRING (18.6016302 48.2151121, 18.6017253 48.2150303, 18.6018259 48.2149485, 18.60191 48.2148858, 18.6019455 48.2148593, 18.6020552 48.2147807, 18.6026432 48.2143593, 18.6027414 48.214289, 18.6027794 48.2142618, 18.6031849 48.2140522, 18.6032778 48.2140041, 18.6033757 48.2139535)",yes,,,,
124101481,,,residential,False,True,46.333999999999996,"LINESTRING (18.6016302 48.2151121, 18.6015902 48.2151425, 18.6015059 48.2152025, 18.6014715 48.2152177, 18.6011503 48.2153766)",,,,,
"[463336883, 403351413]",3,Ľ. Štúra,residential,False,True,128.52800000000002,"LINESTRING (18.6016302 48.2151121, 18.6015166 48.2150157, 18.6014778 48.2149911, 18.6009331 48.2146283, 18.6007132 48.2145211, 18.6003492 48.2143397)",,,,,
124101476,,A. Sládkoviča,residential,False,False,30.011,"LINESTRING (18.6033757 48.2139535, 18.6037353 48.2138293)",,,,,
