osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,junction
249355292,True,2,66,primary,50,False,183.042,"LINESTRING (20.2934398 49.0515173, 20.2937194 49.0531532)",,,
"[4209118, 819180951]",True,"['1', '2']",,primary_link,50,False,226.036,"LINESTRING (20.2934398 49.0515173, 20.2936365 49.0519261, 20.2936678 49.0519846, 20.2937042 49.0520382, 20.2937356 49.0520733, 20.2937834 49.0521188, 20.2938442 49.0521692, 20.2939592 49.0522281, 20.2941268 49.052279, 20.294276 49.0522935, 20.2944658 49.0522853, 20.294649 49.0522325, 20.2948054 49.0521326, 20.2949176 49.0520241, 20.2949883 49.0518964, 20.2950052 49.0517589, 20.2949588 49.0516194, 20.2949189 49.0515641)",,,
28022674,True,,,primary_link,50,False,70.505,"LINESTRING (20.2949189 49.0515641, 20.2947744 49.0514882, 20.2946028 49.051428, 20.294335 49.0513887, 20.2940255 49.0513571)",,,
28022675,True,1,,primary_link,50,False,41.518,"LINESTRING (20.2949189 49.0515641, 20.2948891 49.051465, 20.2949056 49.0513732, 20.2949569 49.05127, 20.2950104 49.0512078)",,,
"[214130248, 4634134]",False,3,18,primary,50,False,73.766,"LINESTRING (20.2940255 49.0513571, 20.29429 49.0513323, 20.294752 49.0512532, 20.2950104 49.0512078)",,,
"[28022673, 4634133, 28022670]",False,"['2', '3']",18,primary,50,True,112.81000000000002,"LINESTRING (20.2940255 49.0513571, 20.2937085 49.0513869, 20.2933428 49.0514004, 20.2929529 49.0514069, 20.2928372 49.0514043, 20.2927163 49.0513988, 20.2924825 49.0513872)",yes,,
"[28021232, 22873910]",False,4,3080,tertiary,50,True,123.33500000000001,"LINESTRING (20.2919749 49.0552471, 20.2927636 49.0549234, 20.293042 49.0548112, 20.2934106 49.0546597)",yes,,
323141223,True,2,3080,tertiary,,False,64.724,"LINESTRING (20.2919749 49.0552471, 20.2915433 49.0555405, 20.2913629 49.0556689)",,,
28022143,True,2,66,primary,50,False,38.68,"LINESTRING (20.2949891 49.0546538, 20.2946774 49.0546005, 20.2944708 49.0545813)",,Štefánikova,
"[906141953, 906141954, 249330351]",False,4,66,primary,50,True,191.37099999999998,"LINESTRING (20.2949891 49.0546538, 20.2953314 49.0547591, 20.2963867 49.0550837, 20.2973665 49.055385)",,Štefánikova,
"[137893454, 137893455, 22873903]",True,1,,residential,50,False,40.518,"LINESTRING (20.2973665 49.055385, 20.2973247 49.0554541, 20.2972377 49.0555975, 20.2972225 49.055623, 20.2972048 49.0556521, 20.2971614 49.0557237)",yes,Mnoheľova,
"[23840896, 969148218]",False,,,residential,,False,129.79,"LINESTRING (20.2973665 49.055385, 20.2974179 49.0552852, 20.2976187 49.054871, 20.2976802 49.0547549, 20.2979327 49.0542784)",,Mnoheľova,
249330344,False,4,66,primary,50,True,113.237,"LINESTRING (20.2973665 49.055385, 20.2975132 49.0554321, 20.2987606 49.0558349)",,Štefánikova,
