osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,name,width,access,junction
"[4844036, 242200759]","['2', '3']",18,primary,50,False,True,131.40200000000002,"LINESTRING (19.7276638 49.0381787, 19.7268132 49.0378642, 19.7263724 49.0376924, 19.7261057 49.0375847)",,,,,
"[4844036, 242200759]","['2', '3']",18,primary,50,False,False,131.402,"LINESTRING (19.7261057 49.0375847, 19.7263724 49.0376924, 19.7268132 49.0378642, 19.7276638 49.0381787)",,,,,
"[4834528, 4844036, 242200752]",2,18,primary,50,False,True,307.413,"LINESTRING (19.7261057 49.0375847, 19.7259185 49.0375084, 19.7258824 49.0374943, 19.7253885 49.0373008, 19.7249228 49.0371294, 19.7247732 49.0370753, 19.7246467 49.0370283, 19.724535 49.036997, 19.7244572 49.036976, 19.7244087 49.0369652, 19.7243317 49.0369529, 19.7242692 49.0369447, 19.7242088 49.0369376, 19.7241111 49.036929, 19.7240238 49.0369229, 19.723926 49.036924, 19.7238406 49.0369252, 19.7237284 49.0369293, 19.7236115 49.0369412, 19.7234831 49.036962, 19.72338 49.0369855, 19.7222481 49.0372945)",yes,SNP,,,
23497562,,2341,tertiary,,False,True,125.668,"LINESTRING (19.7261057 49.0375847, 19.726273 49.0374882, 19.7269279 49.0374475, 19.7277636 49.0373736)",,,4,,
23502989,,,residential,,False,False,49.69,"LINESTRING (19.7200764 49.0377065, 19.7200529 49.0376664, 19.7197969 49.037299)",,Moyzesova,,,
242200752,2,18,primary,50,False,False,165.203,"LINESTRING (19.7200764 49.0377065, 19.7202111 49.0376902, 19.7204375 49.0376655, 19.7206872 49.0376298, 19.7210081 49.0375786, 19.7212133 49.0375384, 19.7214392 49.0374876, 19.7215647 49.0374611, 19.7221192 49.0373271, 19.7222481 49.0372945)",,SNP,,,
242200752,2,18,primary,50,False,True,101.235,"LINESTRING (19.7200764 49.0377065, 19.7196211 49.0377476, 19.7188026 49.0378203, 19.7187 49.0378276)",,SNP,,,
4834531,,,residential,,False,False,170.61399999999998,"LINESTRING (19.7256355 49.0376327, 19.7258363 49.0374065, 19.7259025 49.0373637, 19.7260018 49.0373344, 19.7262036 49.0373039, 19.7268124 49.0372437, 19.7277147 49.0371378)",,Pri železnici,,,
4834532,,,residential,,False,True,213.25900000000001,"LINESTRING (19.7256355 49.0376327, 19.7258045 49.0378373, 19.7258997 49.0379344, 19.7264414 49.0384868, 19.7271945 49.0392549)",,Hradná,,,
23502942,,,residential,,False,False,173.421,"LINESTRING (19.7256355 49.0376327, 19.7245351 49.0379263, 19.7238449 49.0380615, 19.7233937 49.0381493)",,Pri železnici,,,
