osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,bridge,geometry
81121654,548,Štóska,secondary,50,False,False,11.489,,,"LINESTRING (20.8878145 48.7018102, 20.8879163 48.7017317)"
"[58269776, 294230212, 292582374, 292582375]",,Štóska,residential,50,False,False,163.51500000000001,1,yes,"LINESTRING (20.8878145 48.7018102, 20.8877232 48.7017654, 20.887686 48.7017399, 20.8874549 48.701581, 20.8872921 48.7014876, 20.887112 48.7013993, 20.8869731 48.7013486, 20.8868876 48.7013158, 20.8868139 48.7012879, 20.8864972 48.7011436, 20.8862756 48.7010567, 20.886179 48.7010189, 20.8861522 48.7009987, 20.8861255 48.7009678, 20.8861048 48.7009414, 20.8860922 48.7009096)"
81121654,548,Štóska,secondary,50,False,True,329.44399999999996,,,"LINESTRING (20.8878145 48.7018102, 20.887572 48.7020804, 20.8873496 48.702359, 20.8870253 48.7028275, 20.8867269 48.7032988, 20.8863466 48.7039385, 20.8862547 48.7041001, 20.8862045 48.704179, 20.8861775 48.7042208, 20.8861467 48.704258, 20.8860886 48.7043141, 20.8860206 48.7043712, 20.8858874 48.7044726)"
58276457,,Mariánske námestie,residential,50,True,False,218.25400000000002,,,"LINESTRING (20.8920192 48.6998664, 20.8920741 48.6999087, 20.8921926 48.7000107, 20.8923224 48.7001222, 20.8925016 48.7002463, 20.8926911 48.7003733, 20.89271 48.7003839, 20.8931208 48.700634, 20.8932216 48.7006982, 20.8936792 48.7009918, 20.8937492 48.701037, 20.8937652 48.7010466, 20.8937889 48.70105, 20.893825 48.7010572, 20.893876 48.7010507, 20.8939243 48.7010337, 20.8940086 48.7010004, 20.8941555 48.7009074)"
"[292586576, 291685498]",548,"['Kováčska', 'Štóska']",secondary,50,False,False,41.395999999999994,,,"LINESTRING (20.8920192 48.6998664, 20.8923095 48.6998088, 20.8924622 48.6997785, 20.8924929 48.6997708, 20.8925209 48.6997625, 20.8925549 48.6997514)"
292586576,548,Štóska,secondary,50,False,True,133.368,,,"LINESTRING (20.8920192 48.6998664, 20.8918848 48.6998983, 20.8913818 48.7000394, 20.890833 48.7002166, 20.8906153 48.7002845, 20.8904993 48.7003266, 20.8903732 48.7003722)"
292582363,,Mariánske námestie,residential,50,False,False,70.187,,,"LINESTRING (20.8941555 48.7009074, 20.8943317 48.7010799, 20.8943569 48.7011051, 20.8944219 48.7011704, 20.8945484 48.7013082, 20.8946581 48.7014438)"
301462442,,Mariánske námestie,residential,50,True,False,162.595,,,"LINESTRING (20.8941555 48.7009074, 20.8940749 48.7008313, 20.8940097 48.7007698, 20.8935735 48.7004598, 20.8930692 48.7001088, 20.8929515 48.7000271, 20.892657 48.6998328)"
"[112399701, 112399725, 112399711]",,Grunt,residential,"['40', '50']",False,False,57.903999999999996,,yes,"LINESTRING (20.891499 48.6991652, 20.8914553 48.6991302, 20.8914121 48.699102, 20.8913515 48.6990623, 20.8912616 48.6990099, 20.8911008 48.6989276, 20.8909064 48.6988231)"
301462443,,Mariánske námestie,residential,50,True,False,87.288,,,"LINESTRING (20.891499 48.6991652, 20.8915657 48.6993118, 20.891586 48.6993388, 20.8916762 48.6994588, 20.8918268 48.6996333, 20.891958 48.6998178, 20.8919879 48.6998422, 20.8920192 48.6998664)"
