osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,ref,junction
23563377,2,Prievidzská,residential,50,False,False,115.666,"LINESTRING (18.5841618 48.7808699, 18.5843128 48.7808565, 18.5856669 48.7805614)",,,
25975270,2,Školská,residential,50,False,False,73.328,"LINESTRING (18.5841618 48.7808699, 18.5841946 48.7809293, 18.584489 48.7814931)",,,
"[1009884693, 43695973]",,Rekreačná,residential,,False,True,119.827,"LINESTRING (18.5841618 48.7808699, 18.58408 48.7808702, 18.5840199 48.7808703, 18.5838513 48.7808983, 18.583408 48.7809682, 18.5825679 48.7811006)",,,
183249099,2,Sládkovičova,residential,50,False,True,40.204,"LINESTRING (18.5841618 48.7808699, 18.584127 48.780807, 18.5840975 48.7807537, 18.583979 48.780529)",,,
"[4452588, 4452589]",2,"['Zámok a okolie', 'Hurbanovo námestie']",residential,50,False,"[False, True]",299.87699999999995,"LINESTRING (18.5827484 48.7787596, 18.5825477 48.7787734, 18.5823105 48.7788554, 18.5818111 48.7790248, 18.5815192 48.779124, 18.5814503 48.7791468, 18.580676 48.7794049, 18.5798329 48.779686, 18.5795541 48.7797788, 18.5792558 48.7794895)",,,
4848513,,Sládkovičova,residential,,False,True,39.819,"LINESTRING (18.5827484 48.7787596, 18.5826935 48.7786593, 18.5824904 48.7784464)",,,
"[183249099, 87059694]",2,Sládkovičova,residential,50,False,False,184.42499999999995,"LINESTRING (18.5827484 48.7787596, 18.5828937 48.7788767, 18.5829713 48.7789592, 18.5830043 48.7789999, 18.5832312 48.7792799, 18.5832745 48.7793332, 18.5833608 48.7794397, 18.5834689 48.7796029, 18.5836628 48.7798956, 18.5838397 48.7802447)",,,
4848513,,Sládkovičova,residential,,False,False,39.819,"LINESTRING (18.5824904 48.7784464, 18.5826935 48.7786593, 18.5827484 48.7787596)",,,
4452588,2,Zámok a okolie,residential,50,False,True,224.95,"LINESTRING (18.5775673 48.7778006, 18.5777372 48.7779463, 18.5787089 48.7789278, 18.5792558 48.7794895)",,,
27304300,2,Zámok a okolie,residential,50,False,False,39.705,"LINESTRING (18.5775673 48.7778006, 18.5773323 48.7777395, 18.5770433 48.777732)",,,
4452588,2,Zámok a okolie,residential,50,False,False,224.95,"LINESTRING (18.5792558 48.7794895, 18.5787089 48.7789278, 18.5777372 48.7779463, 18.5775673 48.7778006)",,,
"[4452588, 4452589]",2,"['Zámok a okolie', 'Hurbanovo námestie']",residential,50,False,"[False, True]",299.877,"LINESTRING (18.5792558 48.7794895, 18.5795541 48.7797788, 18.5798329 48.779686, 18.580676 48.7794049, 18.5814503 48.7791468, 18.5815192 48.779124, 18.5818111 48.7790248, 18.5823105 48.7788554, 18.5825477 48.7787734, 18.5827484 48.7787596)",,,
