osmid,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction
219243874,residential,30,False,False,107.206,,,"LINESTRING (-1.0857029 13.0860279, -1.0855145 13.0869744)",
219243874,residential,30,False,True,76.28,,,"LINESTRING (-1.0857029 13.0860279, -1.0857605 13.0853442)",
77223770,primary,,False,False,91.56700000000001,2,N 15,"LINESTRING (-1.0857029 13.0860279, -1.0855082 13.0859872, -1.0853414 13.0859598, -1.0848677 13.0859041)",
77223770,primary,,False,True,88.103,2,N 15,"LINESTRING (-1.0857029 13.0860279, -1.0858247 13.086065, -1.0859374 13.0861032, -1.0864609 13.0863141)",
77223770,primary,,False,True,90.945,2,N 15,"LINESTRING (-1.0864609 13.0863141, -1.0872254 13.0866524)",
219243864,residential,30,False,True,68.92,,,"LINESTRING (-1.0864609 13.0863141, -1.0866933 13.0857371)",
77223770,primary,,False,False,88.10300000000001,2,N 15,"LINESTRING (-1.0864609 13.0863141, -1.0859374 13.0861032, -1.0858247 13.086065, -1.0857029 13.0860279)",
314192470,primary,80,False,True,27.323,2,N 15,"LINESTRING (-1.084803 13.0861416, -1.0848677 13.0859041)",
649265535,primary,,True,False,22.338,,N 15,"LINESTRING (-1.084803 13.0861416, -1.0847207 13.0863258)",
77223770,primary,,False,False,23.257,2,N 15,"LINESTRING (-1.0874158 13.0867491, -1.0872254 13.0866524)",
316833196,residential,30,False,True,26.155,,,"LINESTRING (-1.0874158 13.0867491, -1.0873418 13.086973)",
217858019,residential,30,False,False,348.848,2,,"LINESTRING (-1.0849189 13.0835985, -1.0816987 13.0836627)",
217858415,residential,50,False,False,37.488,,,"LINESTRING (-1.0849189 13.0835985, -1.0846461 13.083391)",
217858415,residential,50,False,True,68.84,,,"LINESTRING (-1.0849189 13.0835985, -1.0854261 13.0839716)",
217858019,residential,30,False,True,245.212,2,,"LINESTRING (-1.0794357 13.0837286, -1.0816987 13.0836627)",
217858414,residential,,False,True,47.915,,,"LINESTRING (-1.0794357 13.0837286, -1.079419 13.083298)",
217858414,residential,,False,False,41.563,,,"LINESTRING (-1.0794357 13.0837286, -1.0794411 13.0838742, -1.0794476 13.0841022)",
217858414,residential,,False,False,17.608,,,"LINESTRING (-1.0794476 13.0841022, -1.0794519 13.0842605)",
217858414,residential,,False,True,41.563,,,"LINESTRING (-1.0794476 13.0841022, -1.0794411 13.0838742, -1.0794357 13.0837286)",
217858021,residential,30,False,True,86.678,2,,"LINESTRING (-1.0853644 13.0841618, -1.0845642 13.0841737)",
316834517,secondary,80,False,False,9.576,2,,"LINESTRING (-1.0853644 13.0841618, -1.0853401 13.0842446)",
316834517,secondary,80,False,True,22.180999999999997,2,,"LINESTRING (-1.0853644 13.0841618, -1.0853993 13.0840574, -1.0854261 13.0839716)",
217858021,residential,30,False,False,322.031,2,,"LINESTRING (-1.0794519 13.0842605, -1.0824247 13.0842083)",
217858414,residential,,False,False,71.486,,,"LINESTRING (-1.0794519 13.0842605, -1.0794717 13.0849031)",
217858414,residential,,False,True,17.608,,,"LINESTRING (-1.0794519 13.0842605, -1.0794476 13.0841022)",
217858026,residential,30,False,False,64.314,2,,"LINESTRING (-1.0851683 13.084757, -1.0845747 13.0847722)",
316834517,secondary,80,False,False,131.641,2,,"LINESTRING (-1.0851683 13.084757, -1.0848677 13.0859041)",
316834517,secondary,80,False,True,59.938,2,,"LINESTRING (-1.0851683 13.084757, -1.0853401 13.0842446)",
217858017,residential,,False,False,105.387,,,"LINESTRING (-1.0832184 13.084807, -1.082711 13.0856157)",
217858017,residential,,False,True,108.728,,,"LINESTRING (-1.0832184 13.084807, -1.0824247 13.0842083)",
217858026,residential,30,False,False,405.938,2,,"LINESTRING (-1.0832184 13.084807, -1.0820931 13.0848359, -1.0794717 13.0849031)",
217858026,residential,30,False,True,30.108999999999998,2,,"LINESTRING (-1.0832184 13.084807, -1.083268 13.0848057, -1.0834963 13.0847999)",
217858024,residential,30,False,True,38.150999999999996,2,,"LINESTRING (-1.0830576 13.0856255, -1.082891 13.0855946, -1.0828326 13.0855913, -1.082711 13.0856157)",
217857951,primary,,False,False,29.544,2,N 15,"LINESTRING (-1.0821772 13.086461, -1.0819045 13.0864675)",
217858017,residential,,False,False,39.111,,,"LINESTRING (-1.0821772 13.086461, -1.082215 13.0868108)",
217857951,primary,,False,True,101.493,2,N 15,"LINESTRING (-1.0821772 13.086461, -1.0824671 13.086454, -1.083114 13.0864384)",
217858017,residential,,False,True,110.351,,,"LINESTRING (-1.0821772 13.086461, -1.0824372 13.0860493, -1.082711 13.0856157)",
217858017,residential,,False,False,5.261,,,"LINESTRING (-1.079387 13.081911, -1.0794236 13.0819421)",
217858414,residential,,False,False,39.926,,,"LINESTRING (-1.079387 13.081911, -1.0793801 13.08227)",
217858414,residential,,False,True,47.312,,,"LINESTRING (-1.079387 13.081911, -1.0793709 13.0814858)",
217858412,residential,30,False,False,350.779,2,,"LINESTRING (-1.0841551 13.0830275, -1.0809169 13.0830828)",
217858415,residential,50,False,False,104.597,,,"LINESTRING (-1.0841551 13.0830275, -1.0833829 13.0824626)",
217858415,residential,50,False,True,66.797,,,"LINESTRING (-1.0841551 13.0830275, -1.0844458 13.083242, -1.0846461 13.083391)",
217858412,residential,30,False,True,163.135,2,,"LINESTRING (-1.0794112 13.0831207, -1.0809169 13.0830828)",
217858414,residential,,False,False,19.733,,,"LINESTRING (-1.0794112 13.0831207, -1.079419 13.083298)",
217858414,residential,,False,True,61.702,,,"LINESTRING (-1.0794112 13.0831207, -1.0794131 13.0825658)",
217858414,residential,,False,False,47.915,,,"LINESTRING (-1.079419 13.083298, -1.0794357 13.0837286)",
217858414,residential,,False,True,19.733,,,"LINESTRING (-1.079419 13.083298, -1.0794112 13.0831207)",
217858415,residential,50,False,False,68.84,,,"LINESTRING (-1.0854261 13.0839716, -1.0849189 13.0835985)",
316834517,secondary,80,False,True,13.546,2,,"LINESTRING (-1.0854261 13.0839716, -1.085462 13.0838549)",
316834517,secondary,80,False,False,22.180999999999997,2,,"LINESTRING (-1.0854261 13.0839716, -1.0853993 13.0840574, -1.0853644 13.0841618)",
217857951,primary,,False,True,34.788,2,N 15,"LINESTRING (-1.0795198 13.0865249, -1.0798409 13.0865172)",
217858414,residential,,False,True,91.596,,,"LINESTRING (-1.0795198 13.0865249, -1.0794954 13.0857015)",
217858414,residential,,False,False,47.312,,,"LINESTRING (-1.0793709 13.0814858, -1.079387 13.081911)",
217858414,residential,,False,True,26.187,,,"LINESTRING (-1.0793709 13.0814858, -1.0793689 13.0812503)",
217858414,residential,,False,False,33.085,,,"LINESTRING (-1.0793801 13.08227, -1.0794131 13.0825658)",
217858414,residential,,False,True,39.926,,,"LINESTRING (-1.0793801 13.08227, -1.079387 13.081911)",
217858415,residential,50,False,True,104.597,,,"LINESTRING (-1.0833829 13.0824626, -1.0841551 13.0830275)",
649262077,residential,,False,True,342.367,,,"LINESTRING (-1.0833829 13.0824626, -1.080223 13.0825445)",
649262080,residential,,False,False,80.059,,,"LINESTRING (-1.0833829 13.0824626, -1.0838257 13.0818861)",
217858415,residential,50,False,False,105.19200000000001,,,"LINESTRING (-1.0833829 13.0824626, -1.0831586 13.0822921, -1.0827035 13.0819312, -1.0826068 13.081907)",
217858414,residential,,False,False,61.702,,,"LINESTRING (-1.0794131 13.0825658, -1.0794112 13.0831207)",
217858414,residential,,False,True,33.085,,,"LINESTRING (-1.0794131 13.0825658, -1.0793801 13.08227)",
649262077,residential,,False,False,87.751,,,"LINESTRING (-1.0794131 13.0825658, -1.080223 13.0825445)",
217857951,primary,,False,True,151.87,2,N 15,"LINESTRING (-1.083114 13.0864384, -1.084516 13.0864146)",
